Market,Selection,Odds,matchup,timestamp
Money Line – Game,Ammerud,4.1,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 124.5,2.13,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 125,1.694,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 125,2.08,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 125.5,1.735,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 125.5,2.02,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 126,1.781,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 126,1.97,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 126.5,1.826,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 127,1.877,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 124.5,1.657,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 127,1.862,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 127.5,1.806,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 128,1.99,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 128,1.757,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 128.5,2.05,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 128.5,1.714,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 129,2.1,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 129,1.68,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 129.5,2.16,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 129.5,1.641,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 127.5,1.934,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -6.5,1.568,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Under 126.5,1.917,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -7.0,1.609,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +6.5,2.26,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +11.5,1.564,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -11.5,2.27,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +11.0,1.606,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -11.0,2.19,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +10.5,1.657,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -10.5,2.11,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +10.0,1.714,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -10.0,2.03,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +9.5,1.787,Ammerud vs Asker,2025-10-05 16:32:59
Money Line – Game,Asker,1.179,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +9.0,1.869,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -9.5,1.952,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -7.5,1.662,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +7.5,2.1,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -8.0,1.719,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +7.0,2.18,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -8.5,1.787,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +8.5,1.943,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Asker -9.0,1.869,Ammerud vs Asker,2025-10-05 16:32:59
Handicap – Game,Ammerud +8.0,2.03,Ammerud vs Asker,2025-10-05 16:32:59
Total – Game,Over 127,1.877,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 125,2.08,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 125.5,1.735,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 125.5,2.02,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 126,1.781,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 126,1.97,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 125,1.694,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 126.5,1.826,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 126.5,1.917,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 127,1.862,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 128.5,2.05,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 127.5,1.806,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 128,1.99,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 128,1.757,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Under 128.5,1.714,Ammerud vs Asker,2025-10-05 16:41:39
Total – Game,Over 129,2.1,Ammerud vs Asker,2025-10-05 16:41:39
