team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,4.1,1.179,9.0,1.869,-9.0,1.869,127,1.877,127,1.862,2025-10-05 16:32:59
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,4.1,1.179,9.0,1.869,-9.0,1.869,127,1.877,127,1.862,2025-10-05 16:41:39
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,6.71,1.059,14.5,1.847,-14.5,1.892,128,1.877,128,1.854,2025-10-05 16:49:45
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,6.71,1.059,14.5,1.847,-14.5,1.892,128,1.877,128,1.854,2025-10-05 17:03:26
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,6.71,1.059,14.5,1.847,-14.5,1.892,128,1.877,128,1.854,2025-10-05 17:11:09
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,6.71,1.059,14.5,1.847,-14.5,1.892,128,1.877,128,1.854,2025-10-05 17:24:12
Ammerud,Asker,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-asker/1616812862/,6.71,1.059,14.5,1.847,-14.5,1.892,128,1.877,128,1.854,2025-10-05 17:32:12
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.64,1.02,18.0,1.854,-18.0,1.813,137,1.806,137,1.862,2025-11-25 03:40:23
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.64,1.02,18.0,1.854,-18.0,1.813,137,1.806,137,1.862,2025-11-25 05:48:32
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.64,1.02,18.0,1.854,-18.0,1.813,137,1.806,137,1.862,2025-11-25 06:02:40
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.64,1.02,18.0,1.854,-18.0,1.813,137,1.806,137,1.862,2025-11-25 06:55:19
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.63,1.02,18.0,1.847,-18.0,1.819,137,1.826,137,1.84,2025-11-25 07:35:45
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,7.63,1.02,18.0,1.847,-18.0,1.819,137,1.826,137,1.84,2025-11-25 08:03:54
Ammerud,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/ammerud-vs-ullern/1619772693/,10.0,1.02,21.0,1.869,-21.0,1.869,138,1.961,138,1.787,2025-11-25 18:03:14
Baerum,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ullern/1621810517/,2.02,1.74,2.0,1.847,-2.0,1.884,133,1.854,133,1.884,2026-01-06 17:52:11
Baerum,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ullern/1621810517/,2.02,1.74,2.0,1.847,-2.0,1.884,133,1.854,133,1.884,2026-01-06 18:02:18
Asker,Ulriken,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/asker-vs-ulriken/1624747352/,9.78,1.021,21.0,1.884,-21.0,1.854,138,1.869,138,1.869,2026-02-25 17:46:51
Baerum,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ullern/1624780384/,4.77,1.094,10.5,1.787,-10.5,1.877,131,1.892,131,1.775,2026-02-26 12:00:52
Baerum,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ullern/1624780384/,4.77,1.094,10.5,1.787,-10.5,1.877,131,1.892,131,1.775,2026-02-26 12:54:13
Baerum,Ullern,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ullern/1624780384/,4.91,1.122,10.5,1.806,-10.5,1.934,131,1.934,131,1.806,2026-02-26 16:10:54
Baerum,Ammerud,https://www.pinnacle.com/en/basketball/norway-kvinneligaen/baerum-vs-ammerud/1625306658/,1.161,4.300,-9.5,1.854,+9.5,1.884,147.5,1.900,147.5,1.833,2026-03-05 18:25:44
