team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Sportivo Luqueno,San Alfonzo,https://www.pinnacle.com/en/basketball/paraguay-primera/sportivo-luqueno-vs-san-alfonzo/1615434429/,6.08,1.075,12.5,1.892,-12.5,1.847,144.5,1.884,144.5,1.854,2025-09-18 23:16:31
Sportivo Luqueno,San Alfonzo,https://www.pinnacle.com/en/basketball/paraguay-primera/sportivo-luqueno-vs-san-alfonzo/1615434429/,4.64,1.138,12.0,1.884,-12.0,1.847,144.5,1.892,144.5,1.847,2025-09-18 23:22:59
Sportivo Luqueno,San Alfonzo,https://www.pinnacle.com/en/basketball/paraguay-primera/sportivo-luqueno-vs-san-alfonzo/1615434429/,4.64,1.138,12.0,1.884,-12.0,1.847,144.5,1.892,144.5,1.847,2025-09-18 23:29:13
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 19:21:48
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 19:26:36
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 19:43:42
Colonias Gold,Felix Perez Cardozo,https://www.pinnacle.com/en/basketball/paraguay-primera/colonias-gold-vs-felix-perez-cardozo/1615441778/,1.214,3.43,-8.0,1.84,8.0,1.826,151.0,1.819,151.0,1.847,2025-09-21 19:58:06
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 20:02:30
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 20:30:05
Ciudad Nueva,Deportivo San Jose,https://www.pinnacle.com/en/basketball/paraguay-primera/ciudad-nueva-vs-deportivo-san-jose/1615436371/,,,33.5,1.813,-33.5,1.854,146.0,1.84,146.0,1.826,2025-09-21 20:35:25
