Market,Selection,Odds,matchup,timestamp
Money Line – Game,Terrafirma Dyip,2.57,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Money Line – Game,Timplados Hotshots,1.386,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Handicap – Game,Terrafirma Dyip +4.5,1.917,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Handicap – Game,Timplados Hotshots -4.5,1.729,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Total – Game,Over 204.5,1.729,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Total – Game,Under 204.5,1.917,Terrafirma Dyip vs Timplados Hotshots,2026-04-06 23:55:08
Money Line – Game,NLEX Road Warriors,1.165,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Money Line – Game,Macau Black Bears,3.69,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Handicap – Game,NLEX Road Warriors -8.5,1.813,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Handicap – Game,Macau Black Bears +8.5,1.826,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Total – Game,Over 216.5,1.84,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Total – Game,Under 216.5,1.8,NLEX Road Warriors vs Macau Black Bears,2026-04-13 20:33:25
Money Line – Game,NLEX Road Warriors,1.165,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Money Line – Game,Macau Black Bears,3.69,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Handicap – Game,NLEX Road Warriors -8.5,1.813,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Handicap – Game,Macau Black Bears +8.5,1.826,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Total – Game,Over 216.5,1.84,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Total – Game,Under 216.5,1.8,NLEX Road Warriors vs Macau Black Bears,2026-04-13 21:11:51
Money Line – Game,NLEX Road Warriors,1.165,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Money Line – Game,Macau Black Bears,3.69,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Handicap – Game,NLEX Road Warriors -8.5,1.813,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Handicap – Game,Macau Black Bears +8.5,1.826,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Total – Game,Over 216.5,1.84,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Total – Game,Under 216.5,1.8,NLEX Road Warriors vs Macau Black Bears,2026-04-13 22:05:25
Money Line – Game,NLEX Road Warriors,1.146,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Money Line – Game,Macau Black Bears,3.87,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Handicap – Game,NLEX Road Warriors -9.5,1.833,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Handicap – Game,Macau Black Bears +9.5,1.806,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Total – Game,Over 216.5,1.787,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Total – Game,Under 216.5,1.854,NLEX Road Warriors vs Macau Black Bears,2026-04-13 23:11:36
Money Line – Game,Blackwater Bossing,3.27,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Money Line – Game,Tropang Giga,1.199,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Handicap – Game,Blackwater Bossing +9.5,1.763,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Handicap – Game,Tropang Giga -9.5,1.833,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Total – Game,Over 204.5,1.813,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Total – Game,Under 204.5,1.787,Blackwater Bossing vs Tropang Giga,2026-04-13 23:11:36
Money Line – Game,Macau Black Bears,1.606,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Money Line – Game,Titan Ultra Giant Risers,2.04,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Handicap – Game,Macau Black Bears -1.0,1.699,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Handicap – Game,Titan Ultra Giant Risers +1.0,1.909,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Total – Game,Over 217.5,1.793,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Total – Game,Under 217.5,1.806,Macau Black Bears vs Titan Ultra Giant Risers,2026-04-21 00:01:38
Money Line – Game,Rain or Shine Elasto Painters,1.051,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Money Line – Game,Phoenix Fuel Masters,5.04,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Handicap – Game,Rain or Shine Elasto Painters -11.5,1.8,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Handicap – Game,Phoenix Fuel Masters +11.5,1.8,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Total – Game,Over 222.5,1.813,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Total – Game,Under 222.5,1.787,Rain or Shine Elasto Painters vs Phoenix Fuel Masters,2026-04-21 00:01:38
Money Line – Game,Macau Black Bears,1.555,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Money Line – Game,Blackwater Bossing,2.120,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Handicap – Game,Macau Black Bears -3.0,1.800,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Handicap – Game,Blackwater Bossing +3.0,1.800,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Total – Game,Over 223.5,1.813,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Total – Game,Under 223.5,1.787,Macau Black Bears vs Blackwater Bossing,2026-04-27 23:41:24
Money Line – Game,Meralco Bolts,1.740,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
Money Line – Game,San Miguel Beermen,1.862,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
Handicap – Game,Meralco Bolts -2.0,1.813,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
Handicap – Game,San Miguel Beermen +2.0,1.787,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
Total – Game,Over 213.5,1.793,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
Total – Game,Under 213.5,1.806,Meralco Bolts vs San Miguel Beermen,2026-04-27 23:41:24
