team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Terrafirma Dyip,Timplados Hotshots,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/terrafirma-dyip-vs-timplados-hotshots/1627602282/,2.57,1.386,4.5,1.917,-4.5,1.729,204.5,1.729,204.5,1.917,2026-04-06 23:55:08
NLEX Road Warriors,Macau Black Bears,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/nlex-road-warriors-vs-macau-black-bears/1628207163/,1.165,3.69,-8.5,1.813,8.5,1.826,216.5,1.84,216.5,1.8,2026-04-13 20:33:25
NLEX Road Warriors,Macau Black Bears,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/nlex-road-warriors-vs-macau-black-bears/1628207163/,1.165,3.69,-8.5,1.813,8.5,1.826,216.5,1.84,216.5,1.8,2026-04-13 21:11:51
NLEX Road Warriors,Macau Black Bears,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/nlex-road-warriors-vs-macau-black-bears/1628207163/,1.165,3.69,-8.5,1.813,8.5,1.826,216.5,1.84,216.5,1.8,2026-04-13 22:05:25
NLEX Road Warriors,Macau Black Bears,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/nlex-road-warriors-vs-macau-black-bears/1628207163/,1.146,3.87,-9.5,1.833,9.5,1.806,216.5,1.787,216.5,1.854,2026-04-13 23:11:36
Blackwater Bossing,Tropang Giga,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/blackwater-bossing-vs-tropang-giga/1628222081/,3.24,1.204,9.5,1.74,-9.5,1.862,204.5,1.813,204.5,1.781,2026-04-13 23:11:36
Macau Black Bears,Titan Ultra Giant Risers,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/macau-black-bears-vs-titan-ultra-giant-risers/1628751434/,1.606,2.04,-1.0,1.699,1.0,1.909,217.5,1.793,217.5,1.806,2026-04-21 00:01:38
Rain or Shine Elasto Painters,Phoenix Fuel Masters,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/rain-or-shine-elasto-painters-vs-phoenix-fuel-masters/1628768444/,1.051,5.04,-11.5,1.8,11.5,1.8,222.5,1.813,222.5,1.787,2026-04-21 00:01:38
Macau Black Bears,Blackwater Bossing,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/macau-black-bears-vs-blackwater-bossing/1629349224/,1.555,2.120,-3.0,1.800,+3.0,1.800,223.5,1.813,223.5,1.787,2026-04-27 23:41:24
Meralco Bolts,San Miguel Beermen,https://www.pinnacle.com/en/basketball/philippines-pba-commissioners-cup/meralco-bolts-vs-san-miguel-beermen/1629355882/,1.740,1.862,-2.0,1.813,+2.0,1.787,213.5,1.793,213.5,1.806,2026-04-27 23:41:24
