Market,Selection,Odds,matchup,timestamp
Money Line – Game,Meralco Bolts,1.09,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Total – Game,Under 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Total – Game,Over 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Handicap – Game,NLEX Road Warriors +8.5,1.806,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Money Line – Game,NLEX Road Warriors,3.67,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Money Line – Game,San Miguel Beermen,1.166,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Handicap – Game,San Miguel Beermen -8.5,1.833,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:42:44
Total – Game,Over 193.5,1.8,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Handicap – Game,Titan Ultra Giant Risers +12.5,1.781,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Handicap – Game,Meralco Bolts -12.5,1.862,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Money Line – Game,Titan Ultra Giant Risers,4.61,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Total – Game,Under 193.5,1.84,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:42:44
Money Line – Game,NLEX Road Warriors,3.67,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Total – Game,Over 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Handicap – Game,NLEX Road Warriors +8.5,1.806,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Handicap – Game,San Miguel Beermen -8.5,1.833,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Money Line – Game,San Miguel Beermen,1.166,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Total – Game,Under 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:49:32
Total – Game,Over 193.5,1.8,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Handicap – Game,Titan Ultra Giant Risers +12.5,1.781,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Handicap – Game,Meralco Bolts -12.5,1.862,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Money Line – Game,Titan Ultra Giant Risers,4.61,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Money Line – Game,Meralco Bolts,1.09,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Total – Game,Under 193.5,1.84,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:49:32
Total – Game,Under 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Total – Game,Over 193.5,1.819,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Handicap – Game,NLEX Road Warriors +8.5,1.806,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Money Line – Game,NLEX Road Warriors,3.67,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Money Line – Game,San Miguel Beermen,1.166,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Handicap – Game,San Miguel Beermen -8.5,1.833,San Miguel Beermen vs NLEX Road Warriors,2025-10-07 23:55:57
Total – Game,Over 193.5,1.8,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:55:57
Handicap – Game,Titan Ultra Giant Risers +12.5,1.781,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:55:57
Handicap – Game,Meralco Bolts -12.5,1.862,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:55:57
Money Line – Game,Titan Ultra Giant Risers,4.61,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:55:57
Money Line – Game,Meralco Bolts,1.09,Meralco Bolts vs Titan Ultra Giant Risers,2025-10-07 23:55:57
