team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
UE Red Warriors,NU Bulldogs,https://www.pinnacle.com/en/basketball/philippines-uaap/ue-red-warriors-vs-nu-bulldogs/1615838144/,3.1,1.268,6.5,1.833,-6.5,1.833,148.5,1.833,148.5,1.833,2025-09-20 23:43:40
UE Red Warriors,NU Bulldogs,https://www.pinnacle.com/en/basketball/philippines-uaap/ue-red-warriors-vs-nu-bulldogs/1615838144/,3.1,1.268,6.5,1.833,-6.5,1.833,148.5,1.833,148.5,1.833,2025-09-20 23:48:09
UE Red Warriors,NU Bulldogs,https://www.pinnacle.com/en/basketball/philippines-uaap/ue-red-warriors-vs-nu-bulldogs/1615838144/,3.1,1.268,6.5,1.833,-6.5,1.833,148.5,1.833,148.5,1.833,2025-09-20 23:59:58
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,,,,,,,,,,,2025-09-23 18:03:31
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,,,,,,,,,,,2025-09-23 18:03:31
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.917,1.757,1.5,1.833,-1.5,1.833,147.5,1.84,147.5,1.826,2025-09-23 18:38:18
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.42,2.52,-4.5,1.833,4.5,1.833,148.5,1.833,148.5,1.833,2025-09-23 18:38:18
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.729,1.943,-1.0,1.769,1.0,1.9,147.5,1.84,147.5,1.826,2025-09-23 18:58:44
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 18:58:44
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 19:04:55
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.729,1.943,-1.0,1.769,1.0,1.9,147.5,1.84,147.5,1.826,2025-09-23 19:04:55
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.729,1.943,-1.0,1.769,1.0,1.9,147.5,1.84,147.5,1.826,2025-09-23 19:22:34
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 19:22:34
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.729,1.943,-1.0,1.769,1.0,1.9,147.5,1.84,147.5,1.826,2025-09-23 19:26:13
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 19:26:13
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.689,2.0,-2.0,1.833,2.0,1.833,147.5,1.847,147.5,1.819,2025-09-23 20:31:52
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 20:31:52
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.689,2.0,-2.0,1.833,2.0,1.833,147.5,1.847,147.5,1.819,2025-09-23 20:37:42
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.359,2.71,-5.0,1.763,5.0,1.909,148.5,1.833,148.5,1.833,2025-09-23 20:37:42
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.337,2.79,-6.0,1.869,6.0,1.8,148.5,1.833,148.5,1.833,2025-09-23 21:26:09
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.588,2.16,-2.5,1.787,2.5,1.884,147.5,1.84,147.5,1.826,2025-09-23 21:26:09
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.588,2.16,-2.5,1.787,2.5,1.884,147.5,1.84,147.5,1.826,2025-09-23 21:58:26
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.337,2.79,-6.0,1.869,6.0,1.8,148.5,1.833,148.5,1.833,2025-09-23 21:58:26
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.588,2.16,-2.5,1.787,2.5,1.884,147.5,1.84,147.5,1.826,2025-09-23 22:27:29
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.337,2.79,-6.0,1.869,6.0,1.8,148.5,1.833,148.5,1.833,2025-09-23 22:27:29
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.561,2.2,-3.0,1.819,3.0,1.847,147.5,1.84,147.5,1.826,2025-09-23 22:59:38
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.306,2.92,-6.0,1.781,6.0,1.884,148.5,1.826,148.5,1.84,2025-09-23 22:59:38
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.561,2.2,-3.0,1.819,3.0,1.847,147.5,1.84,147.5,1.826,2025-09-23 23:27:55
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.306,2.92,-6.0,1.781,6.0,1.884,148.5,1.826,148.5,1.84,2025-09-23 23:27:55
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.306,2.92,-6.0,1.781,6.0,1.884,148.5,1.826,148.5,1.84,2025-09-23 23:45:07
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.561,2.2,-3.0,1.819,3.0,1.847,147.5,1.84,147.5,1.826,2025-09-23 23:45:07
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.561,2.2,-3.0,1.819,3.0,1.847,147.5,1.84,147.5,1.826,2025-09-23 23:50:16
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.306,2.92,-6.0,1.781,6.0,1.884,148.5,1.826,148.5,1.84,2025-09-23 23:50:16
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.469,2.53,-4.5,1.862,4.5,1.877,147.5,1.862,147.5,1.877,2025-09-24 02:00:34
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.306,2.92,-6.0,1.781,6.0,1.884,148.5,1.826,148.5,1.84,2025-09-24 02:00:34
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.431,2.64,-5.0,1.847,5.0,1.892,147.5,1.862,147.5,1.877,2025-09-24 03:50:52
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 03:50:52
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 03:59:53
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.431,2.64,-5.0,1.847,5.0,1.892,147.5,1.862,147.5,1.877,2025-09-24 03:59:53
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 04:09:06
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.404,2.73,-6.0,1.884,6.0,1.854,147.5,1.854,147.5,1.884,2025-09-24 04:09:06
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.276,3.3,-6.5,1.826,6.5,1.909,146.5,1.952,146.5,1.793,2025-09-24 04:52:23
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 04:52:23
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.276,3.3,-6.5,1.826,6.5,1.909,146.5,1.952,146.5,1.793,2025-09-24 05:03:19
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 05:03:19
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.261,3.39,-7.0,1.854,7.0,1.884,145.5,1.9,145.5,1.84,2025-09-24 05:32:43
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 05:32:43
ADMU Blue Eagles,UE Red Warriors,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-ue-red-warriors/1616040218/,1.277,3.29,-7.0,1.877,7.0,1.862,144.5,1.943,144.5,1.806,2025-09-24 06:02:45
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.847,6.5,1.892,148.5,1.877,148.5,1.862,2025-09-24 06:02:45
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.311,3.11,-6.5,1.833,6.5,1.909,148.5,1.884,148.5,1.854,2025-09-24 06:44:56
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.311,3.11,-6.5,1.833,6.5,1.909,148.5,1.884,148.5,1.854,2025-09-24 07:05:05
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.311,3.11,-6.5,1.833,6.5,1.909,148.5,1.884,148.5,1.854,2025-09-24 07:18:07
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.308,3.12,-6.5,1.819,6.5,1.925,148.5,1.877,148.5,1.862,2025-09-24 07:35:29
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.322,3.06,-6.5,1.862,6.5,1.877,148.5,1.917,148.5,1.819,2025-09-24 07:50:21
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.322,3.06,-6.5,1.862,6.5,1.877,148.5,1.917,148.5,1.819,2025-09-24 08:03:15
UP Fighting Maroons,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/up-fighting-maroons-vs-adamson-soaring-falcons/1616031546/,1.317,3.08,-6.5,1.854,6.5,1.884,148.5,1.952,148.5,1.793,2025-09-24 08:12:07
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 22:27:03
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 22:34:57
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 22:45:43
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 22:51:46
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 22:58:25
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.93,-9.0,1.8,9.0,1.862,156.0,1.813,156.0,1.854,2025-09-30 23:03:43
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.156,3.92,-9.0,1.819,9.0,1.847,154.0,1.826,154.0,1.84,2025-09-30 23:25:24
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.156,3.92,-9.0,1.819,9.0,1.847,154.0,1.826,154.0,1.84,2025-09-30 23:30:16
DLSU Green Archers,FEU Tamaraws,https://www.pinnacle.com/en/basketball/philippines-uaap/dlsu-green-archers-vs-feu-tamaraws/1616613646/,1.155,3.92,-9.0,1.806,9.0,1.854,155.5,1.847,155.5,1.819,2025-09-30 23:57:15
UST Growling Tigers,NU Bulldogs,https://www.pinnacle.com/en/basketball/philippines-uaap/ust-growling-tigers-vs-nu-bulldogs/1616616605/,2.15,1.591,3.0,1.8,-3.0,1.862,150.5,1.833,150.5,1.833,2025-09-30 23:57:15
NU Bulldogs,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/nu-bulldogs-vs-adamson-soaring-falcons/1617087839/,1.347,2.76,-6.0,1.869,6.0,1.8,136.5,1.84,136.5,1.826,2025-10-07 22:33:29
NU Bulldogs,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/nu-bulldogs-vs-adamson-soaring-falcons/1617087839/,1.347,2.76,-6.0,1.869,6.0,1.8,136.5,1.84,136.5,1.826,2025-10-07 22:44:49
NU Bulldogs,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/nu-bulldogs-vs-adamson-soaring-falcons/1617087839/,1.348,2.75,-6.0,1.877,6.0,1.787,133.5,1.819,133.5,1.847,2025-10-07 22:58:51
ADMU Blue Eagles,UP Fighting Maroons,https://www.pinnacle.com/en/basketball/philippines-uaap/admu-blue-eagles-vs-up-fighting-maroons/1617085673/,2.0,1.689,2.0,1.833,-2.0,1.833,145.5,1.813,145.5,1.854,2025-10-07 23:05:43
NU Bulldogs,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/nu-bulldogs-vs-adamson-soaring-falcons/1617087839/,1.348,2.75,-6.0,1.877,6.0,1.787,133.5,1.819,133.5,1.847,2025-10-07 23:05:43
NU Bulldogs,Adamson Soaring Falcons,https://www.pinnacle.com/en/basketball/philippines-uaap/nu-bulldogs-vs-adamson-soaring-falcons/1617087839/,1.348,2.75,-6.0,1.877,6.0,1.787,133.5,1.819,133.5,1.847,2025-10-07 23:25:28
