Market,Selection,Odds,matchup,timestamp
Money Line – Game,Inowroclaw,2.33,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 163.5,2.11,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 164,1.709,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 164,2.06,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 164.5,1.751,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 164.5,2.0,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 165,1.793,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 165,1.952,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 165.5,1.847,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 165.5,1.892,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 163.5,1.675,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 166,1.84,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 166.5,1.787,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 167,2.01,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 167,1.74,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 167.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 167.5,1.699,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 168,2.13,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 168,1.662,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 168.5,2.18,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Under 168.5,1.628,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 166.5,1.961,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -1.0,1.584,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 166,1.9,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -1.5,1.617,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +1.0,2.23,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Money Line – Game,LKS Lodz,1.552,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +6.0,1.54,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -6.0,2.32,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +5.5,1.581,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -5.5,2.24,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +5.0,1.628,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +4.5,1.689,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -4.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +4.0,1.757,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -5.0,2.15,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -2.0,1.675,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +3.5,1.833,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -3.5,1.909,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +3.0,1.909,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -3.0,1.819,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +2.5,1.99,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -2.5,1.751,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +2.0,2.08,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,LKS Lodz -4.0,1.99,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Handicap – Game,Inowroclaw +1.5,2.17,Inowroclaw vs LKS Lodz,2025-09-20 16:33:30
Total – Game,Over 165.5,1.847,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 165,1.952,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 165,1.793,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 164.5,2.0,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 163.5,2.11,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 164,2.06,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 164,1.709,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 165.5,1.892,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 164.5,1.751,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 166,1.9,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 168.5,1.628,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 166.5,1.961,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 166.5,1.787,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 167,2.01,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 167,1.74,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 167.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 167.5,1.699,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 168,2.13,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 168,1.662,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 168.5,2.18,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 163.5,1.675,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Under 166,1.84,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -1.0,1.584,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -4.0,1.99,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -1.5,1.617,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +1.0,2.23,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Money Line – Game,Inowroclaw,2.33,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Money Line – Game,LKS Lodz,1.552,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +6.0,1.54,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -6.0,2.32,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +5.5,1.581,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -5.5,2.24,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -5.0,2.15,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +4.5,1.689,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -4.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +5.0,1.628,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -2.0,1.675,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +3.5,1.833,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -3.5,1.909,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +3.0,1.909,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -3.0,1.819,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +2.5,1.99,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,LKS Lodz -2.5,1.751,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +2.0,2.08,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +4.0,1.757,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Handicap – Game,Inowroclaw +1.5,2.17,Inowroclaw vs LKS Lodz,2025-09-20 16:51:06
Total – Game,Over 165.5,1.84,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 165,1.952,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 165,1.793,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 164.5,2.01,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 163.5,2.12,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 164,2.06,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 164,1.709,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 165.5,1.9,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 164.5,1.746,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 166,1.892,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 168.5,1.632,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 166.5,1.952,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 166.5,1.793,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 167,2.01,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 167,1.746,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 167.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 167.5,1.704,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 168,2.12,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 168,1.666,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 168.5,2.18,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 163.5,1.671,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Under 166,1.847,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -1.5,1.54,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +4.5,1.793,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -2.0,1.591,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Money Line – Game,Inowroclaw,2.47,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Money Line – Game,LKS Lodz,1.49,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +6.5,1.571,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -6.5,2.26,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +6.0,1.617,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -6.0,2.18,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +5.5,1.666,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -5.5,2.1,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +5.0,1.724,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -5.0,2.02,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +1.5,2.32,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -4.5,1.943,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -2.5,1.649,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +2.5,2.12,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -3.0,1.709,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +3.0,2.04,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +2.0,2.22,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +3.5,1.961,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -4.0,1.862,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,Inowroclaw +4.0,1.877,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Handicap – Game,LKS Lodz -3.5,1.781,Inowroclaw vs LKS Lodz,2025-09-20 17:02:59
Total – Game,Over 165.5,1.84,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 163.5,1.671,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 163.5,2.12,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 164,1.709,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 164,2.06,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 164.5,1.746,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 164.5,2.01,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 165,1.793,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 165,1.952,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 165.5,1.9,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 167,2.01,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 166,1.847,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 166.5,1.952,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 166.5,1.793,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 168.5,1.632,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 167,1.746,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 167.5,2.07,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 167.5,1.704,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 168,2.12,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Under 168,1.666,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Handicap – Game,LKS Lodz -1.5,1.54,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 166,1.892,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Total – Game,Over 168.5,2.18,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Handicap – Game,Inowroclaw +1.5,2.32,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Handicap – Game,Inowroclaw +2.0,2.22,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Handicap – Game,LKS Lodz -2.0,1.591,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Money Line – Game,Inowroclaw,2.47,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
Money Line – Game,LKS Lodz,1.49,Inowroclaw vs LKS Lodz,2025-09-20 17:25:07
