Market,Selection,Odds,matchup,timestamp
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 22:56:01
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:02:47
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:23:16
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:28:12
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:42:24
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:48:16
Total – Game,Under 169.5,1.884,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
Total – Game,Over 169.5,1.9,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
Handicap – Game,GTK Gliwice +17.5,1.869,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
Money Line – Game,GTK Gliwice,9.49,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
Money Line – Game,Anwil Wloclawek,1.037,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
Handicap – Game,Anwil Wloclawek -17.5,1.917,Anwil Wloclawek vs GTK Gliwice,2025-10-05 23:56:28
