team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 22:56:01
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:02:47
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:23:16
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:28:12
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:42:24
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:48:16
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-05 23:56:28
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 00:01:06
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 01:56:21
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 03:09:56
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 03:17:28
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 03:59:52
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 04:05:13
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 04:33:49
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 04:40:35
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 04:49:21
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 04:54:15
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 05:28:50
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 05:36:24
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 05:45:47
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 05:59:08
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 06:40:14
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 07:00:12
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.037,9.49,-17.5,1.917,17.5,1.869,169.5,1.9,169.5,1.884,2025-10-06 07:07:44
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 07:46:15
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 07:57:51
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 08:04:44
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 08:36:57
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 08:45:01
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 09:32:35
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 09:39:17
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 09:49:01
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:00:46
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:06:15
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:34:20
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:40:09
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:50:51
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.043,8.86,-16.0,1.869,16.0,1.917,169.5,1.925,169.5,1.862,2025-10-06 10:58:44
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.049,9.39,-16.0,1.884,16.0,1.934,169.5,1.943,169.5,1.877,2025-10-06 11:23:49
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.049,9.39,-16.0,1.884,16.0,1.934,169.5,1.943,169.5,1.877,2025-10-06 11:29:07
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.049,9.39,-16.0,1.884,16.0,1.934,169.5,1.943,169.5,1.877,2025-10-06 11:43:25
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.049,9.39,-16.0,1.884,16.0,1.934,169.5,1.943,169.5,1.877,2025-10-06 11:58:18
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.049,9.39,-16.0,1.884,16.0,1.934,169.5,1.943,169.5,1.877,2025-10-06 12:06:34
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.048,9.45,-16.0,1.869,16.0,1.952,169.5,1.934,169.5,1.884,2025-10-06 13:38:16
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.048,9.45,-16.0,1.869,16.0,1.952,169.5,1.934,169.5,1.884,2025-10-06 13:57:27
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.048,9.45,-16.0,1.869,16.0,1.952,169.5,1.934,169.5,1.884,2025-10-06 14:04:19
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.047,9.54,-16.0,1.847,16.0,1.97,169.5,1.934,169.5,1.884,2025-10-06 14:30:00
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.047,9.54,-16.0,1.847,16.0,1.97,169.5,1.934,169.5,1.884,2025-10-06 14:38:54
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.047,9.54,-16.0,1.847,16.0,1.97,169.5,1.934,169.5,1.884,2025-10-06 14:48:47
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.051,9.17,-16.0,1.943,16.0,1.869,169.5,1.943,169.5,1.869,2025-10-06 14:54:27
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.051,9.17,-16.0,1.943,16.0,1.869,169.5,1.943,169.5,1.869,2025-10-06 15:30:52
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.051,9.17,-16.0,1.943,16.0,1.869,169.5,1.943,169.5,1.869,2025-10-06 15:37:55
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.051,9.17,-16.0,1.943,16.0,1.869,169.5,1.943,169.5,1.869,2025-10-06 15:47:26
Anwil Wloclawek,GTK Gliwice,https://www.pinnacle.com/en/basketball/poland-basket-liga/anwil-wloclawek-vs-gtk-gliwice/1616864335/,1.051,9.17,-16.0,1.943,16.0,1.869,169.5,1.943,169.5,1.869,2025-10-06 16:01:18
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-12 23:24:56
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-12 23:31:17
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-12 23:43:13
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-12 23:48:39
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-12 23:56:51
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 00:03:15
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 02:02:11
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 02:08:17
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 03:19:40
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 03:26:51
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 03:54:34
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 04:34:17
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.23,1.641,2.0,2.01,-2.0,1.793,164.0,1.847,164.0,1.934,2025-10-13 04:40:22
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.24,1.632,2.5,1.917,-2.5,1.869,164.0,1.847,164.0,1.943,2025-10-13 05:28:13
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.24,1.632,2.5,1.917,-2.5,1.869,164.0,1.847,164.0,1.943,2025-10-13 05:34:43
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.24,1.632,2.5,1.917,-2.5,1.869,164.0,1.847,164.0,1.943,2025-10-13 05:47:09
GTK Gliwice,Zielona Gora,https://www.pinnacle.com/en/basketball/poland-basket-liga/gtk-gliwice-vs-zielona-gora/1617231082/,2.24,1.632,2.5,1.917,-2.5,1.869,164.0,1.847,164.0,1.943,2025-10-13 06:00:57
