team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
SKK Polonia Warszawa,Wisla Krakow,https://www.pinnacle.com/en/basketball/poland-blk-women/skk-polonia-warszawa-vs-wisla-krakow/1621643181/,2.77,1.392,5.0,1.909,-5.0,1.833,144.0,1.847,144.0,1.892,2025-12-30 17:07:02
KS Basket 25 Bydgoszcz,AZS UMCS Lublin,https://www.pinnacle.com/en/basketball/poland-blk-women/ks-basket-25-bydgoszcz-vs-azs-umcs-lublin/1621627799/,5.58,1.092,14.0,1.862,-14.0,1.877,154.5,1.877,154.5,1.862,2025-12-30 17:07:02
SKK Polonia Warszawa,Wisla Krakow,https://www.pinnacle.com/en/basketball/poland-blk-women/skk-polonia-warszawa-vs-wisla-krakow/1621643181/,2.77,1.392,5.0,1.909,-5.0,1.833,144.0,1.847,144.0,1.892,2025-12-30 17:47:26
KS Basket 25 Bydgoszcz,AZS UMCS Lublin,https://www.pinnacle.com/en/basketball/poland-blk-women/ks-basket-25-bydgoszcz-vs-azs-umcs-lublin/1621627799/,5.56,1.092,14.0,1.854,-14.0,1.884,154.5,1.952,154.5,1.787,2025-12-30 17:47:26
SKK Polonia Warszawa,Wisla Krakow,https://www.pinnacle.com/en/basketball/poland-blk-women/skk-polonia-warszawa-vs-wisla-krakow/1621643181/,2.77,1.392,5.0,1.909,-5.0,1.833,144.0,1.847,144.0,1.892,2025-12-30 17:58:40
KS Basket 25 Bydgoszcz,AZS UMCS Lublin,https://www.pinnacle.com/en/basketball/poland-blk-women/ks-basket-25-bydgoszcz-vs-azs-umcs-lublin/1621627799/,5.56,1.092,14.0,1.854,-14.0,1.884,154.5,1.952,154.5,1.787,2025-12-30 17:58:40
Zaglebie Sosnowiec,SKK Polonia Warszawa,https://www.pinnacle.com/en/basketball/poland-blk-women/zaglebie-sosnowiec-vs-skk-polonia-warszawa/1621694197/,1.034,8.29,-17.5,1.952,17.5,1.793,152.5,1.892,152.5,1.847,2026-01-02 15:36:55
Sleza Wroclaw,Arka Gdynia,https://www.pinnacle.com/en/basketball/poland-blk-women/sleza-wroclaw-vs-arka-gdynia/1621690370/,1.165,4.25,-16.0,1.917,16.0,1.826,161.5,1.826,161.5,1.917,2026-01-02 15:36:55
KS Basket 25 Bydgoszcz,AZS Poznan,https://www.pinnacle.com/en/basketball/poland-blk-women/ks-basket-25-bydgoszcz-vs-azs-poznan/1621698174/,4.28,1.163,9.5,1.869,-9.5,1.869,151.0,1.8,151.0,1.943,2026-01-02 15:36:55
Energa Katarzynki Torun,AZS UMCS Lublin,https://www.pinnacle.com/en/basketball/poland-blk-women/energa-katarzynki-torun-vs-azs-umcs-lublin/1621690383/,2.96,1.342,6.0,1.952,-6.0,1.793,147.0,1.892,147.0,1.84,2026-01-02 15:36:55
KS Basket 25 Bydgoszcz,AZS Poznan,https://www.pinnacle.com/en/basketball/poland-blk-women/ks-basket-25-bydgoszcz-vs-azs-poznan/1621698174/,4.28,1.163,9.5,1.869,-9.5,1.869,151.0,1.8,151.0,1.943,2026-01-02 15:55:01
Zaglebie Sosnowiec,SKK Polonia Warszawa,https://www.pinnacle.com/en/basketball/poland-blk-women/zaglebie-sosnowiec-vs-skk-polonia-warszawa/1621694197/,1.034,8.29,-17.5,1.952,17.5,1.793,152.5,1.892,152.5,1.847,2026-01-02 15:55:01
Sleza Wroclaw,Arka Gdynia,https://www.pinnacle.com/en/basketball/poland-blk-women/sleza-wroclaw-vs-arka-gdynia/1621690370/,1.165,4.25,-16.0,1.917,16.0,1.826,161.5,1.826,161.5,1.917,2026-01-02 15:55:01
Energa Katarzynki Torun,AZS UMCS Lublin,https://www.pinnacle.com/en/basketball/poland-blk-women/energa-katarzynki-torun-vs-azs-umcs-lublin/1621690383/,2.96,1.342,6.0,1.952,-6.0,1.793,147.0,1.892,147.0,1.84,2026-01-02 15:55:01
Zaglebie Sosnowiec,SKK Polonia Warszawa,https://www.pinnacle.com/en/basketball/poland-blk-women/zaglebie-sosnowiec-vs-skk-polonia-warszawa/1621694197/,1.032,8.55,-17.5,1.909,17.5,1.833,152.5,1.892,152.5,1.847,2026-01-02 16:40:20
