Market,Selection,Odds,matchup,timestamp
Money Line – Game,Wisla Krakow II,1.552,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Money Line – Game,Contimax MOSiR II Bochnia,2.33,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -2.0,1.621,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +2.0,2.16,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -2.5,1.662,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +2.5,2.1,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -3.0,1.714,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +3.0,2.02,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -3.5,1.781,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +3.5,1.952,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -4.0,1.854,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +4.0,1.877,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -4.5,1.943,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +4.5,1.8,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -5.0,2.03,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +5.0,1.724,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -5.5,2.11,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +5.5,1.662,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -6.0,2.2,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +6.0,1.602,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -6.5,2.28,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +6.5,1.558,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Wisla Krakow II -7.0,2.37,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Handicap – Game,Contimax MOSiR II Bochnia +7.0,1.515,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Total – Game,Over 133,1.666,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Total – Game,Under 133,2.12,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Total – Game,Over 133.5,1.704,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Total – Game,Under 133.5,2.07,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
Total – Game,Over 134,1.746,Wisla Krakow II vs Contimax MOSiR II Bochnia,2026-01-02 15:37:16
