Market,Selection,Odds,matchup,timestamp
Money Line – Game,CB Viana/Nortaluga,1.961,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Money Line – Game,GD Gafanha,1.714,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Handicap – Game,CB Viana/Nortaluga +1.5,1.869,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Handicap – Game,GD Gafanha -1.5,1.793,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Total – Game,Over 145.5,1.84,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Total – Game,Under 145.5,1.826,CB Viana/Nortaluga vs GD Gafanha,2025-10-04 19:58:48
Total – Game,Under 142.5,1.884,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Total – Game,Over 142.5,1.787,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Handicap – Game,Carnide Clube -16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Handicap – Game,SIMECQ +16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Money Line – Game,Carnide Clube,1.028,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Money Line – Game,SIMECQ,7.01,SIMECQ vs Carnide Clube,2025-10-19 17:03:56
Total – Game,Under 142.5,1.884,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Total – Game,Over 142.5,1.787,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Handicap – Game,Carnide Clube -16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Money Line – Game,Carnide Clube,1.028,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Money Line – Game,SIMECQ,7.01,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Handicap – Game,SIMECQ +16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:28:38
Total – Game,Over 137.5,1.84,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Handicap – Game,FAC Credito Agricola -18.5,1.819,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Total – Game,Under 137.5,1.826,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Handicap – Game,UAA Aroso +18.5,1.847,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Money Line – Game,FAC Credito Agricola,1.018,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Money Line – Game,UAA Aroso,7.75,UAA Aroso vs FAC Credito Agricola,2025-10-19 17:28:38
Total – Game,Over 142.5,1.787,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Handicap – Game,Carnide Clube -16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Total – Game,Under 142.5,1.884,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Money Line – Game,Carnide Clube,1.028,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Money Line – Game,SIMECQ,7.01,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Handicap – Game,SIMECQ +16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 17:45:24
Money Line – Game,SIMECQ,7.01,SIMECQ vs Carnide Clube,2025-10-19 19:27:55
Money Line – Game,Carnide Clube,1.028,SIMECQ vs Carnide Clube,2025-10-19 19:27:55
Handicap – Game,SIMECQ +16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 19:27:55
Handicap – Game,Carnide Clube -16.5,1.833,SIMECQ vs Carnide Clube,2025-10-19 19:27:55
