team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.854,1.813,1.5,1.769,-1.5,1.9,145.5,1.84,145.5,1.826,2025-10-04 18:38:27
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.854,1.813,1.5,1.769,-1.5,1.9,145.5,1.84,145.5,1.826,2025-10-04 18:44:41
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.854,1.813,1.5,1.769,-1.5,1.9,145.5,1.84,145.5,1.826,2025-10-04 19:00:22
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.854,1.813,1.5,1.769,-1.5,1.9,145.5,1.84,145.5,1.826,2025-10-04 19:21:42
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.854,1.813,1.5,1.769,-1.5,1.9,145.5,1.84,145.5,1.826,2025-10-04 19:31:09
CB Viana/Nortaluga,GD Gafanha,https://www.pinnacle.com/en/basketball/portugal-cup/cb-viananortaluga-vs-gd-gafanha/1616885553/,1.961,1.714,1.5,1.869,-1.5,1.793,145.5,1.84,145.5,1.826,2025-10-04 19:58:48
UAA Aroso,FAC Credito Agricola,https://www.pinnacle.com/en/basketball/portugal-cup/uaa-aroso-vs-fac-credito-agricola/1617836852/,7.75,1.018,18.5,1.847,-18.5,1.819,137.5,1.84,137.5,1.826,2025-10-19 17:03:56
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 17:03:56
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 17:28:38
UAA Aroso,FAC Credito Agricola,https://www.pinnacle.com/en/basketball/portugal-cup/uaa-aroso-vs-fac-credito-agricola/1617836852/,7.75,1.018,18.5,1.847,-18.5,1.819,137.5,1.84,137.5,1.826,2025-10-19 17:28:38
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 17:45:24
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 17:58:07
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 18:05:24
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 18:37:06
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 18:58:02
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 19:05:57
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 19:21:15
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 19:27:55
SIMECQ,Carnide Clube,https://www.pinnacle.com/en/basketball/portugal-cup/simecq-vs-carnide-clube/1617838836/,7.01,1.028,16.5,1.833,-16.5,1.833,142.5,1.787,142.5,1.884,2025-10-19 19:57:29
Maia Basket Clube,SC Lusitania,https://www.pinnacle.com/en/basketball/portugal-cup/maia-basket-clube-vs-sc-lusitania/1620093356/,1.228,3.33,-7.5,1.847,7.5,1.819,149.5,1.869,149.5,1.8,2025-11-23 19:35:40
Maia Basket Clube,SC Lusitania,https://www.pinnacle.com/en/basketball/portugal-cup/maia-basket-clube-vs-sc-lusitania/1620093356/,1.228,3.33,-7.5,1.847,7.5,1.819,149.5,1.869,149.5,1.8,2025-11-23 19:48:06
Beira Mar,Illiabum Clube,https://www.pinnacle.com/en/basketball/portugal-cup/beira-mar-vs-illiabum-clube/1620560609/,6.52,1.036,15.0,1.847,-15.0,1.819,145.5,1.781,145.5,1.892,2025-11-30 18:41:31
Beira Mar,Illiabum Clube,https://www.pinnacle.com/en/basketball/portugal-cup/beira-mar-vs-illiabum-clube/1620560609/,6.52,1.036,15.0,1.847,-15.0,1.819,145.5,1.781,145.5,1.892,2025-11-30 19:02:35
Beira Mar,Illiabum Clube,https://www.pinnacle.com/en/basketball/portugal-cup/beira-mar-vs-illiabum-clube/1620560609/,6.52,1.036,15.0,1.847,-15.0,1.819,145.5,1.781,145.5,1.892,2025-11-30 19:31:05
Beira Mar,Illiabum Clube,https://www.pinnacle.com/en/basketball/portugal-cup/beira-mar-vs-illiabum-clube/1620560609/,6.52,1.036,15.0,1.847,-15.0,1.819,145.5,1.781,145.5,1.892,2025-11-30 19:44:15
Beira Mar,Illiabum Clube,https://www.pinnacle.com/en/basketball/portugal-cup/beira-mar-vs-illiabum-clube/1620560609/,6.52,1.036,15.0,1.847,-15.0,1.819,145.5,1.781,145.5,1.892,2025-11-30 19:58:00
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.819,1.781,1.5,1.735,-1.5,1.869,157.5,1.806,157.5,1.793,2025-11-30 23:37:39
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.819,1.781,1.5,1.735,-1.5,1.869,157.5,1.806,157.5,1.793,2025-11-30 23:59:12
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.819,1.781,1.5,1.735,-1.5,1.869,157.5,1.806,157.5,1.793,2025-12-01 02:38:40
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.813,1.787,1.5,1.735,-1.5,1.869,152.5,1.793,152.5,1.806,2025-12-01 04:08:53
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.813,1.787,1.5,1.735,-1.5,1.869,152.5,1.793,152.5,1.806,2025-12-01 05:14:20
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.813,1.787,1.5,1.735,-1.5,1.869,152.5,1.787,152.5,1.813,2025-12-01 05:51:37
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.813,1.787,1.5,1.735,-1.5,1.869,152.5,1.787,152.5,1.813,2025-12-01 06:09:46
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 07:00:36
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 07:33:35
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 07:51:31
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 09:15:21
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 10:14:39
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 10:47:31
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 11:13:48
FC Barreirense,Sampaense Basket,https://www.pinnacle.com/en/basketball/portugal-cup/fc-barreirense-vs-sampaense-basket/1620565404/,1.847,1.819,1.5,1.769,-1.5,1.9,152.5,1.819,152.5,1.847,2025-12-01 11:31:31
CAB Madeira,FC Porto,https://www.pinnacle.com/en/basketball/portugal-cup/cab-madeira-vs-fc-porto/1622105057/,5.43,1.065,13.0,1.847,-13.0,1.819,166.5,1.806,166.5,1.862,2026-01-14 18:55:15
CAB Madeira,FC Porto,https://www.pinnacle.com/en/basketball/portugal-cup/cab-madeira-vs-fc-porto/1622105057/,5.43,1.065,13.0,1.847,-13.0,1.819,166.5,1.806,166.5,1.862,2026-01-14 19:06:53
CAB Madeira,FC Porto,https://www.pinnacle.com/en/basketball/portugal-cup/cab-madeira-vs-fc-porto/1622105057/,6.78,1.031,15.5,1.854,-15.5,1.813,166.5,1.787,166.5,1.877,2026-01-14 19:42:41
CAB Madeira,FC Porto,https://www.pinnacle.com/en/basketball/portugal-cup/cab-madeira-vs-fc-porto/1622105057/,6.88,1.03,16.0,1.806,-16.0,1.862,166.5,1.781,166.5,1.884,2026-01-14 19:57:24
CP Esgueira,FC Porto,https://www.pinnacle.com/en/basketball/portugal-cup/cp-esgueira-vs-fc-porto/1622449115/,5.820,1.053,+13.5,1.826,-13.5,1.840,175.5,1.813,175.5,1.854,2026-01-18 17:52:55
