Market,Selection,Odds,matchup,timestamp
Handicap – Game,Cp Natacao -24.5,1.833,Cp Natacao vs Academico,2025-10-11 18:33:31
Handicap – Game,Academico +24.5,1.833,Cp Natacao vs Academico,2025-10-11 18:33:31
Total – Game,Over 122.5,1.884,Cp Natacao vs Academico,2025-10-11 18:33:31
Total – Game,Under 122.5,1.787,Cp Natacao vs Academico,2025-10-11 18:33:31
Money Line – Game,Boa Viagem,1.917,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Money Line – Game,SIMECQ,1.757,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Handicap – Game,Boa Viagem +1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Handicap – Game,SIMECQ -1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Total – Game,Over 121.5,1.877,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Total – Game,Under 121.5,1.793,Boa Viagem vs SIMECQ,2025-10-11 18:33:31
Total – Game,Over 122.5,1.884,Cp Natacao vs Academico,2025-10-11 19:03:44
Total – Game,Under 122.5,1.787,Cp Natacao vs Academico,2025-10-11 19:03:44
Handicap – Game,Cp Natacao -24.5,1.833,Cp Natacao vs Academico,2025-10-11 19:03:44
Handicap – Game,Academico +24.5,1.833,Cp Natacao vs Academico,2025-10-11 19:03:44
Handicap – Game,Cp Natacao -24.5,1.833,Cp Natacao vs Academico,2025-10-11 19:21:26
Handicap – Game,Academico +24.5,1.833,Cp Natacao vs Academico,2025-10-11 19:21:26
Total – Game,Over 122.5,1.884,Cp Natacao vs Academico,2025-10-11 19:21:26
Total – Game,Under 122.5,1.787,Cp Natacao vs Academico,2025-10-11 19:21:26
Money Line – Game,Boa Viagem,1.917,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Money Line – Game,SIMECQ,1.757,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Handicap – Game,Boa Viagem +1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Handicap – Game,SIMECQ -1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Total – Game,Over 121.5,1.877,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Total – Game,Under 121.5,1.793,Boa Viagem vs SIMECQ,2025-10-11 19:21:26
Handicap – Game,SIMECQ -1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 19:30:22
Total – Game,Under 121.5,1.793,Boa Viagem vs SIMECQ,2025-10-11 19:30:22
Total – Game,Over 121.5,1.877,Boa Viagem vs SIMECQ,2025-10-11 19:30:22
Handicap – Game,Boa Viagem +1.5,1.833,Boa Viagem vs SIMECQ,2025-10-11 19:30:22
Money Line – Game,SIMECQ,1.757,Boa Viagem vs SIMECQ,2025-10-11 19:30:22
Total – Game,Under 122.5,1.787,Cp Natacao vs Academico,2025-10-11 19:30:22
Total – Game,Over 122.5,1.884,Cp Natacao vs Academico,2025-10-11 19:30:22
