team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
SC Braga,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/sc-braga-vs-ca-queluz/1617155061/,1.636,2.08,-3.0,1.862,3.0,1.806,160.5,1.854,160.5,1.813,2025-10-11 18:33:58
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 18:33:58
SC Braga,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/sc-braga-vs-ca-queluz/1617155061/,1.636,2.08,-3.0,1.862,3.0,1.806,160.5,1.854,160.5,1.813,2025-10-11 18:49:50
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 18:49:50
SC Braga,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/sc-braga-vs-ca-queluz/1617155061/,1.636,2.08,-3.0,1.862,3.0,1.806,160.5,1.854,160.5,1.813,2025-10-11 19:04:29
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 19:04:29
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 19:21:41
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 19:30:38
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 19:42:28
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.427,2.5,-4.5,1.854,4.5,1.813,163.5,1.826,163.5,1.84,2025-10-11 19:48:11
CP Esgueira,Galitos Barreiro,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-galitos-barreiro/1617155552/,1.338,2.79,-5.0,1.813,5.0,1.854,163.5,1.819,163.5,1.847,2025-10-11 19:57:24
CP Esgueira,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-ca-queluz/1618586532/,1.568,2.19,-3.0,1.8,3.0,1.869,159.0,1.819,159.0,1.847,2025-11-01 19:48:20
CP Esgueira,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-ca-queluz/1618586532/,1.568,2.19,-3.0,1.8,3.0,1.869,159.0,1.819,159.0,1.847,2025-11-01 20:01:16
CP Esgueira,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-ca-queluz/1618586532/,1.568,2.19,-3.0,1.8,3.0,1.869,159.0,1.819,159.0,1.847,2025-11-01 20:14:43
CP Esgueira,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-ca-queluz/1618586532/,1.571,2.19,-3.0,1.806,3.0,1.862,156.5,1.813,156.5,1.854,2025-11-01 20:46:06
CP Esgueira,CA Queluz,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-ca-queluz/1618586532/,1.571,2.19,-3.0,1.806,3.0,1.862,156.5,1.813,156.5,1.854,2025-11-01 20:55:27
Vasco Da Gama II,Imortal BC,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/vasco-da-gama-ii-vs-imortal-bc/1621671957/,1.9,1.769,1.5,1.819,-1.5,1.847,168.5,1.84,168.5,1.826,2025-12-28 17:32:54
CP Esgueira,Vitoria Sport Clube,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-vitoria-sport-clube/1621673814/,1.595,2.14,-3.0,1.806,3.0,1.862,176.0,1.793,176.0,1.877,2025-12-28 17:32:54
Vasco Da Gama II,Imortal BC,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/vasco-da-gama-ii-vs-imortal-bc/1621671957/,1.9,1.769,1.5,1.819,-1.5,1.847,168.5,1.84,168.5,1.826,2025-12-28 17:48:46
CP Esgueira,Vitoria Sport Clube,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/cp-esgueira-vs-vitoria-sport-clube/1621673814/,1.595,2.14,-3.0,1.806,3.0,1.862,176.0,1.793,176.0,1.877,2025-12-28 17:48:46
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.147,4.01,-9.5,1.877,9.5,1.787,165.5,1.775,165.5,1.892,2026-01-06 17:52:24
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.144,4.04,-9.5,1.854,9.5,1.813,170.0,1.833,170.0,1.833,2026-01-06 18:02:47
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.149,3.99,-9.5,1.892,9.5,1.781,170.0,1.877,170.0,1.793,2026-01-06 18:56:51
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.149,3.99,-9.5,1.892,9.5,1.781,170.0,1.877,170.0,1.793,2026-01-06 19:12:35
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.149,3.99,-9.5,1.892,9.5,1.781,170.0,1.877,170.0,1.793,2026-01-06 19:36:58
FC Porto,Ovarense Basquetebol,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/fc-porto-vs-ovarense-basquetebol/1621991564/,1.124,4.29,-10.5,1.847,10.5,1.819,170.0,1.862,170.0,1.8,2026-01-06 19:53:53
Sporting Cp,Imortal BC,https://www.pinnacle.com/en/basketball/portugal-liga-portuguesa-de-basquetebol/sporting-cp-vs-imortal-bc/1622065723/,1.065,5.42,-11.0,1.84,11.0,1.826,166.5,1.787,166.5,1.877,2026-01-09 19:17:23
