team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.96,1.084,14.0,1.787,-14.0,1.884,135.5,1.84,135.5,1.826,2025-10-10 18:41:50
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,5.01,1.082,14.0,1.847,-14.0,1.819,135.5,1.833,135.5,1.833,2025-10-10 19:00:38
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,5.01,1.082,14.0,1.847,-14.0,1.819,135.5,1.833,135.5,1.833,2025-10-10 19:09:36
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.95,1.085,14.0,1.813,-14.0,1.854,135.5,1.84,135.5,1.826,2025-10-10 19:23:52
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.95,1.085,14.0,1.813,-14.0,1.854,135.5,1.84,135.5,1.826,2025-10-10 19:30:53
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.95,1.085,14.0,1.813,-14.0,1.854,135.5,1.84,135.5,1.826,2025-10-10 19:43:08
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.95,1.085,14.0,1.813,-14.0,1.854,135.5,1.84,135.5,1.826,2025-10-10 19:58:55
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.56,1.106,12.5,1.819,-12.5,1.847,135.5,1.869,135.5,1.793,2025-10-10 20:08:30
FC Gaia,CD Povoa U23,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/fc-gaia-vs-cd-povoa-u23/1617157593/,4.73,1.096,12.5,1.917,-12.5,1.757,135.5,1.854,135.5,1.806,2025-10-10 20:31:23
Academico FC,Guifoes SC,https://www.pinnacle.com/en/basketball/portugal-nacional-1division/academico-fc-vs-guifoes-sc/1617212381/,3.12,1.265,7.0,1.869,-7.0,1.8,146.5,1.819,146.5,1.847,2025-10-11 18:34:35
