Market,Selection,Odds,matchup,timestamp
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 18:40:01
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:00:24
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:05:03
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:24:15
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:30:55
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 19:56:59
Money Line – Game,Beira Mar U23,1.14,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Money Line – Game,Sangalhos U23,4.09,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Handicap – Game,Beira Mar U23 -9.5,1.826,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Handicap – Game,Sangalhos U23 +9.5,1.84,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Total – Game,Over 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Total – Game,Under 129.5,1.833,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:04:05
Total – Game,Over 135,1.847,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Total – Game,Under 135,1.819,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Handicap – Game,Sangalhos U23 +9.5,1.909,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Money Line – Game,Sangalhos U23,4.15,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Handicap – Game,Beira Mar U23 -9.5,1.769,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Money Line – Game,Beira Mar U23,1.135,Beira Mar U23 vs Sangalhos U23,2025-10-08 20:30:23
Total – Game,Under 133.5,1.826,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Total – Game,Over 133.5,1.84,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Handicap – Game,Galitos Barreiro II +19.5,1.833,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Handicap – Game,BAC -19.5,1.833,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Money Line – Game,Galitos Barreiro II,8.05,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Money Line – Game,BAC,1.015,BAC vs Galitos Barreiro II,2025-10-09 17:46:33
Total – Game,Under 135.5,1.826,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Total – Game,Over 135.5,1.84,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Handicap – Game,Guifoes SC -1.0,1.826,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Handicap – Game,GDB Leca +1.0,1.84,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Money Line – Game,Guifoes SC,1.787,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Money Line – Game,GDB Leca,1.877,GDB Leca vs Guifoes SC,2025-10-09 17:46:33
Total – Game,Under 126.5,1.892,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 17:46:33
Total – Game,Over 126.5,1.787,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 17:46:33
Handicap – Game,Gavioes De Sao Bras +37.0,1.877,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 17:46:33
Handicap – Game,Quarteira Tubaroes -37.0,1.793,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 17:46:33
Total – Game,Under 126.5,1.892,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:00:12
Total – Game,Over 126.5,1.787,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:00:12
Handicap – Game,Gavioes De Sao Bras +37.0,1.877,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:00:12
Handicap – Game,Quarteira Tubaroes -37.0,1.793,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:00:12
Total – Game,Over 133.5,1.84,BAC vs Galitos Barreiro II,2025-10-09 18:39:31
Handicap – Game,Galitos Barreiro II +19.5,1.833,BAC vs Galitos Barreiro II,2025-10-09 18:39:31
Handicap – Game,BAC -19.5,1.833,BAC vs Galitos Barreiro II,2025-10-09 18:39:31
Money Line – Game,Galitos Barreiro II,8.05,BAC vs Galitos Barreiro II,2025-10-09 18:39:31
Money Line – Game,BAC,1.015,BAC vs Galitos Barreiro II,2025-10-09 18:39:31
Total – Game,Under 135.5,1.826,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Total – Game,Over 135.5,1.84,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Handicap – Game,Guifoes SC -1.0,1.826,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Handicap – Game,GDB Leca +1.0,1.84,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Money Line – Game,Guifoes SC,1.787,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Money Line – Game,GDB Leca,1.877,GDB Leca vs Guifoes SC,2025-10-09 18:39:31
Total – Game,Under 126.5,1.892,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:39:31
Total – Game,Over 126.5,1.787,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:39:31
Handicap – Game,Gavioes De Sao Bras +37.0,1.877,Quarteira Tubaroes vs Gavioes De Sao Bras,2025-10-09 18:39:31
