Market,Selection,Odds,matchup,timestamp
Money Line – Game,Portimonense SC,1.241,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Money Line – Game,ABC Santo Andre,3.25,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Handicap – Game,Portimonense SC -7.0,1.8,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Handicap – Game,ABC Santo Andre +7.0,1.869,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Total – Game,Over 148.5,1.826,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Total – Game,Under 148.5,1.84,Portimonense SC vs ABC Santo Andre,2025-10-04 18:38:51
Money Line – Game,Portimonense SC,1.241,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Money Line – Game,ABC Santo Andre,3.25,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Handicap – Game,Portimonense SC -7.0,1.8,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Handicap – Game,ABC Santo Andre +7.0,1.869,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Total – Game,Over 148.5,1.826,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Total – Game,Under 148.5,1.84,Portimonense SC vs ABC Santo Andre,2025-10-04 18:45:06
Total – Game,Under 148.5,1.833,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Total – Game,Over 148.5,1.833,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Handicap – Game,ABC Santo Andre +7.0,1.826,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Money Line – Game,ABC Santo Andre,3.11,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Money Line – Game,Portimonense SC,1.266,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Handicap – Game,Portimonense SC -7.0,1.84,Portimonense SC vs ABC Santo Andre,2025-10-04 19:22:07
Total – Game,Under 148.5,1.833,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Money Line – Game,Portimonense SC,1.266,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Money Line – Game,ABC Santo Andre,3.11,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Handicap – Game,Portimonense SC -7.0,1.84,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Handicap – Game,ABC Santo Andre +7.0,1.826,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Total – Game,Over 148.5,1.833,Portimonense SC vs ABC Santo Andre,2025-10-04 19:31:49
Money Line – Game,ABC Santo Andre,1.301,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Money Line – Game,S.L. Benfica II,2.95,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Handicap – Game,ABC Santo Andre -6.0,1.826,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Handicap – Game,S.L. Benfica II +6.0,1.84,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:33:20
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Handicap – Game,S.L. Benfica II +6.0,1.84,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Money Line – Game,S.L. Benfica II,2.95,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Money Line – Game,ABC Santo Andre,1.301,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Handicap – Game,ABC Santo Andre -6.0,1.826,ABC Santo Andre vs S.L. Benfica II,2025-10-09 17:46:49
Money Line – Game,ABC Santo Andre,1.301,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Money Line – Game,S.L. Benfica II,2.95,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Handicap – Game,ABC Santo Andre -6.0,1.826,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Handicap – Game,S.L. Benfica II +6.0,1.84,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 18:39:46
Money Line – Game,ABC Santo Andre,1.301,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Money Line – Game,S.L. Benfica II,2.95,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Handicap – Game,ABC Santo Andre -6.0,1.826,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Handicap – Game,S.L. Benfica II +6.0,1.84,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:00:17
Handicap – Game,S.L. Benfica II +6.0,1.793,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Handicap – Game,ABC Santo Andre -6.0,1.877,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Money Line – Game,ABC Santo Andre,1.334,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Money Line – Game,S.L. Benfica II,2.81,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:44:00
Money Line – Game,ABC Santo Andre,1.334,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Money Line – Game,S.L. Benfica II,2.81,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Handicap – Game,ABC Santo Andre -6.0,1.877,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Handicap – Game,S.L. Benfica II +6.0,1.793,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Total – Game,Over 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Total – Game,Under 143.5,1.833,ABC Santo Andre vs S.L. Benfica II,2025-10-09 19:57:17
Total – Game,Under 151,1.819,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Total – Game,Over 151,1.775,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Handicap – Game,Portimonense SC -5.0,1.793,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Money Line – Game,Imortal BC U23,2.72,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Money Line – Game,Portimonense SC,1.314,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Handicap – Game,Imortal BC U23 +5.0,1.806,Imortal BC U23 vs Portimonense SC,2025-10-14 03:12:33
Total – Game,Over 151,1.775,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Total – Game,Under 151,1.819,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Handicap – Game,Portimonense SC -5.0,1.793,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Handicap – Game,Imortal BC U23 +5.0,1.806,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Money Line – Game,Portimonense SC,1.314,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Money Line – Game,Imortal BC U23,2.72,Imortal BC U23 vs Portimonense SC,2025-10-14 03:27:43
Money Line – Game,Imortal BC U23,2.72,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Money Line – Game,Portimonense SC,1.314,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Handicap – Game,Imortal BC U23 +5.0,1.806,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Handicap – Game,Portimonense SC -5.0,1.793,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Total – Game,Over 151,1.775,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Total – Game,Under 151,1.819,Imortal BC U23 vs Portimonense SC,2025-10-14 04:01:56
Money Line – Game,Imortal BC U23,2.71,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Money Line – Game,Portimonense SC,1.315,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Handicap – Game,Imortal BC U23 +5.0,1.793,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Handicap – Game,Portimonense SC -5.0,1.806,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Total – Game,Over 148,1.769,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Total – Game,Under 148,1.833,Imortal BC U23 vs Portimonense SC,2025-10-14 06:45:46
Total – Game,Under 148,1.833,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Total – Game,Over 148,1.769,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Handicap – Game,Portimonense SC -5.0,1.806,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Money Line – Game,Portimonense SC,1.315,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Money Line – Game,Imortal BC U23,2.71,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Handicap – Game,Imortal BC U23 +5.0,1.793,Imortal BC U23 vs Portimonense SC,2025-10-14 07:02:41
Total – Game,Under 148,1.892,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Money Line – Game,Imortal BC U23,2.78,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Money Line – Game,Portimonense SC,1.341,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Handicap – Game,Imortal BC U23 +5.0,1.826,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Handicap – Game,Portimonense SC -5.0,1.84,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Total – Game,Over 148,1.775,Imortal BC U23 vs Portimonense SC,2025-10-14 16:37:58
Money Line – Game,Imortal BC U23,2.78,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Money Line – Game,Portimonense SC,1.341,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Handicap – Game,Imortal BC U23 +5.0,1.826,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Handicap – Game,Portimonense SC -5.0,1.84,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Total – Game,Over 148,1.775,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Total – Game,Under 148,1.892,Imortal BC U23 vs Portimonense SC,2025-10-14 16:48:21
Total – Game,Over 148,1.781,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Total – Game,Under 148,1.884,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Handicap – Game,Portimonense SC -3.5,1.847,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Money Line – Game,Portimonense SC,1.469,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Money Line – Game,Imortal BC U23,2.39,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Handicap – Game,Imortal BC U23 +3.5,1.819,Imortal BC U23 vs Portimonense SC,2025-10-14 17:58:51
Money Line – Game,AAC Efapel,3.56,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Money Line – Game,Sangalhos DC,1.196,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Handicap – Game,AAC Efapel +8.0,1.854,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Handicap – Game,Sangalhos DC -8.0,1.813,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Total – Game,Over 142.5,1.819,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Total – Game,Under 142.5,1.847,AAC Efapel vs Sangalhos DC,2025-10-31 21:15:16
Total – Game,Under 142.5,1.806,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Total – Game,Over 142.5,1.862,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Handicap – Game,Sangalhos DC -4.0,1.793,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Money Line – Game,AAC Efapel,2.63,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Money Line – Game,Sangalhos DC,1.383,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Handicap – Game,AAC Efapel +4.0,1.877,AAC Efapel vs Sangalhos DC,2025-10-31 21:27:27
Total – Game,Under 149.5,1.826,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Total – Game,Over 149.5,1.84,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Handicap – Game,S.L. Benfica II +9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Money Line – Game,S.L. Benfica II,3.95,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Money Line – Game,Portimonense SC,1.153,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Handicap – Game,Portimonense SC -9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 19:59:18
Money Line – Game,Portimonense SC,1.153,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Money Line – Game,S.L. Benfica II,3.95,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Handicap – Game,Portimonense SC -9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Handicap – Game,S.L. Benfica II +9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Total – Game,Over 149.5,1.84,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Total – Game,Under 149.5,1.826,Portimonense SC vs S.L. Benfica II,2025-11-14 21:02:33
Handicap – Game,S.L. Benfica II +9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Handicap – Game,Portimonense SC -9.5,1.833,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Total – Game,Over 149.5,1.84,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Money Line – Game,Portimonense SC,1.153,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Money Line – Game,S.L. Benfica II,3.95,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Total – Game,Under 149.5,1.826,Portimonense SC vs S.L. Benfica II,2025-11-14 21:15:33
Money Line – Game,AAC Efapel,7.01,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Money Line – Game,Ginasio Figueirense,1.028,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Handicap – Game,AAC Efapel +16.5,1.819,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Handicap – Game,Ginasio Figueirense -16.5,1.847,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Total – Game,Over 141.5,1.884,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Total – Game,Under 141.5,1.787,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:00:22
Money Line – Game,AAC Efapel,7.01,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Money Line – Game,Ginasio Figueirense,1.028,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Handicap – Game,AAC Efapel +16.5,1.819,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Handicap – Game,Ginasio Figueirense -16.5,1.847,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Total – Game,Over 141.5,1.884,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Total – Game,Under 141.5,1.787,AAC Efapel vs Ginasio Figueirense,2025-11-22 20:16:41
Money Line – Game,Portimonense SC,1.224,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Money Line – Game,Imortal BC U23,3.36,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Handicap – Game,Portimonense SC -7.5,1.892,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Handicap – Game,Imortal BC U23 +7.5,1.775,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Total – Game,Over 159.5,1.833,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Total – Game,Under 159.5,1.833,Portimonense SC vs Imortal BC U23,2025-11-26 19:37:21
Money Line – Game,Portimonense SC,1.224,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
Money Line – Game,Imortal BC U23,3.36,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
Handicap – Game,Portimonense SC -7.5,1.892,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
Handicap – Game,Imortal BC U23 +7.5,1.775,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
Total – Game,Over 159.5,1.833,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
Total – Game,Under 159.5,1.833,Portimonense SC vs Imortal BC U23,2025-11-26 19:51:31
