Market,Selection,Odds,matchup,timestamp
Money Line – Game,Coimbroes,3.17,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Money Line – Game,GDESSA Barreiro,1.255,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Handicap – Game,Coimbroes +7.0,1.819,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Handicap – Game,GDESSA Barreiro -7.0,1.847,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Total – Game,Over 135.5,1.8,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Total – Game,Under 135.5,1.862,Coimbroes vs GDESSA Barreiro,2026-02-04 20:01:25
Handicap – Game,CLIP +26.0,1.847,CLIP vs SL Benfica,2026-02-20 19:21:52
Handicap – Game,SL Benfica -26.0,1.819,CLIP vs SL Benfica,2026-02-20 19:21:52
Total – Game,Over 139,1.84,CLIP vs SL Benfica,2026-02-20 19:21:52
Total – Game,Under 139,1.826,CLIP vs SL Benfica,2026-02-20 19:21:52
Handicap – Game,CLIP +26.0,1.847,CLIP vs SL Benfica,2026-02-20 19:58:53
Handicap – Game,SL Benfica -26.0,1.819,CLIP vs SL Benfica,2026-02-20 19:58:53
Total – Game,Over 139,1.840,CLIP vs SL Benfica,2026-02-20 19:58:53
Total – Game,Under 139,1.826,CLIP vs SL Benfica,2026-02-20 19:58:53
