team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Cf Os Belenenses,ACD Ferragudo Cidade Lagoa,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/cf-os-belenenses-vs-acd-ferragudo-cidade-lagoa/1616984345/,3.66,1.184,8.5,1.877,-8.5,1.793,123.5,1.8,123.5,1.869,2025-10-05 16:33:16
Vitoria Guimaraes,Jose Regio,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/vitoria-guimaraes-vs-jose-regio/1619728040/,8.09,1.015,20.5,1.84,-20.5,1.826,123.0,1.813,123.0,1.854,2025-11-18 17:53:16
Vitoria Guimaraes,Jose Regio,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/vitoria-guimaraes-vs-jose-regio/1619728040/,8.09,1.015,20.5,1.84,-20.5,1.826,123.0,1.813,123.0,1.854,2025-11-18 18:02:59
Vitoria Guimaraes,Jose Regio,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/vitoria-guimaraes-vs-jose-regio/1619728040/,8.18,1.014,20.5,1.892,-20.5,1.781,123.0,1.8,123.0,1.869,2025-11-18 19:27:14
Vitoria Guimaraes,Jose Regio,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/vitoria-guimaraes-vs-jose-regio/1619728040/,8.46,1.012,21.5,1.854,-21.5,1.813,123.0,1.763,123.0,1.909,2025-11-18 19:56:51
Vitoria Guimaraes,Jose Regio,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/vitoria-guimaraes-vs-jose-regio/1619728040/,8.46,1.012,21.5,1.854,-21.5,1.813,123.0,1.763,123.0,1.909,2025-11-18 20:02:54
Coimbroes,GDESSA Barreiro,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/coimbroes-vs-gdessa-barreiro/1623185529/,3.17,1.255,7.0,1.819,-7.0,1.847,135.5,1.8,135.5,1.862,2026-02-04 18:37:59
Coimbroes,GDESSA Barreiro,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/coimbroes-vs-gdessa-barreiro/1623185529/,3.17,1.255,7.0,1.819,-7.0,1.847,135.5,1.8,135.5,1.862,2026-02-04 20:01:25
CLIP,SL Benfica,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/clip-vs-sl-benfica/1624166428/,,,26.0,1.847,-26.0,1.819,139.0,1.84,139.0,1.826,2026-02-20 19:21:52
CLIP,SL Benfica,https://www.pinnacle.com/en/basketball/portugal-taca-de-portugal-women/clip-vs-sl-benfica/1624166428/,N/A,N/A,+26.0,1.847,-26.0,1.819,139,1.840,139,1.826,2026-02-20 19:58:53
