Market,Selection,Odds,matchup,timestamp
Money Line – Game,Atleticos de San German,1.312,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Money Line – Game,Osos de Manati,3.1,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -3.5,1.588,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +3.5,2.22,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -4.0,1.632,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +4.0,2.15,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -4.5,1.684,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +4.5,2.07,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -5.0,1.746,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +5.0,1.99,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -5.5,1.819,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +5.5,1.917,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -6.0,1.9,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +6.0,1.84,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -6.5,1.98,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +6.5,1.757,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -7.0,2.06,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +7.0,1.694,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -7.5,2.15,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +7.5,1.632,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -8.0,2.23,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Osos de Manati +8.0,1.584,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
Handicap – Game,Atleticos de San German -8.5,2.31,Atleticos de San German vs Osos de Manati,2026-03-22 18:33:16
