team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.312,3.1,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.892,2026-03-22 18:33:16
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.312,3.1,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.892,2026-03-22 19:16:13
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.312,3.1,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.892,2026-03-22 19:59:44
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.312,3.1,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.892,2026-03-22 20:25:01
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.312,3.1,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.892,2026-03-22 21:04:29
Atleticos de San German,Osos de Manati,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-osos-de-manati/1626677336/,1.321,3.06,-6.0,1.9,6.0,1.84,183.0,1.847,183.0,1.884,2026-03-22 21:51:58
Cangrejeros de Santurce,Vaqueros de Bayamon,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/cangrejeros-de-santurce-vs-vaqueros-de-bayamon/1626673545/,1.649,2.15,-2.5,1.854,2.5,1.884,165.5,1.847,165.5,1.892,2026-03-22 23:53:26
Leones de Ponce,Atleticos de San German,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/leones-de-ponce-vs-atleticos-de-san-german/1626829756/,1.584,2.26,-3.0,1.833,3.0,1.909,175.5,1.9,175.5,1.833,2026-03-27 00:01:33
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 17:30:19
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 18:37:15
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 19:57:38
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 20:28:45
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 21:00:30
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.22,1.609,3.0,1.84,-3.0,1.9,190.5,1.862,190.5,1.877,2026-03-29 21:29:54
Osos de Manati,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/osos-de-manati-vs-mets-de-guaynabo/1626830810/,2.15,1.649,3.0,1.826,-3.0,1.917,190.5,1.847,190.5,1.884,2026-03-29 21:57:57
Aguada Santeros,Capitanes de Arecibo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/aguada-santeros-vs-capitanes-de-arecibo/1626949262/,2.02,1.74,1.5,1.934,-1.5,1.813,174.5,1.819,174.5,1.925,2026-03-29 22:27:45
Aguada Santeros,Capitanes de Arecibo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/aguada-santeros-vs-capitanes-de-arecibo/1626949262/,2.02,1.74,1.5,1.934,-1.5,1.813,174.5,1.819,174.5,1.925,2026-03-29 23:01:31
Aguada Santeros,Capitanes de Arecibo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/aguada-santeros-vs-capitanes-de-arecibo/1626949262/,2.02,1.74,1.5,1.934,-1.5,1.813,174.5,1.819,174.5,1.925,2026-03-29 23:34:43
Atleticos de San German,Piratas de Quebradillas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-piratas-de-quebradillas/1626829267/,1.363,2.88,-6.0,1.833,6.0,1.9,177.5,1.862,177.5,1.877,2026-03-30 23:23:56
Atleticos de San German,Piratas de Quebradillas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/atleticos-de-san-german-vs-piratas-de-quebradillas/1626829267/,1.321,3.06,-6.0,1.833,6.0,1.909,177.5,1.869,177.5,1.869,2026-03-31 00:01:49
Capitanes de Arecibo,Piratas de Quebradillas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/capitanes-de-arecibo-vs-piratas-de-quebradillas/1626948918/,1.378,2.82,-6.0,1.869,6.0,1.869,173.5,1.847,173.5,1.892,2026-04-02 23:34:50
Cangrejeros de Santurce,Criollos de Caguas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/cangrejeros-de-santurce-vs-criollos-de-caguas/1626948532/,1.917,1.819,1.0,1.877,-1.0,1.862,175.5,1.925,175.5,1.819,2026-04-02 23:34:50
Aguada Santeros,Criollos de Caguas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/aguada-santeros-vs-criollos-de-caguas/1627425804/,2.81,1.38,5.5,1.806,-5.5,1.943,180.0,1.862,180.0,1.877,2026-04-05 23:02:29
Aguada Santeros,Criollos de Caguas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/aguada-santeros-vs-criollos-de-caguas/1627425804/,2.81,1.38,5.5,1.806,-5.5,1.943,180.0,1.862,180.0,1.877,2026-04-05 23:38:18
Capitanes de Arecibo,Gigantes de Carolina,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/capitanes-de-arecibo-vs-gigantes-de-carolina/1627159445/,1.495,2.46,-4.0,1.877,4.0,1.862,177.5,1.892,177.5,1.847,2026-04-06 23:55:13
Piratas de Quebradillas,Mets de Guaynabo,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/piratas-de-quebradillas-vs-mets-de-guaynabo/1627159185/,1.833,1.909,-1.0,1.877,1.0,1.862,172.5,1.862,172.5,1.877,2026-04-06 23:55:13
Capitanes de Arecibo,Leones de Ponce,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/capitanes-de-arecibo-vs-leones-de-ponce/1627338181/,1.401,2.73,-5.0,1.884,5.0,1.854,185.5,1.892,185.5,1.847,2026-04-08 22:14:00
Indios de Mayaguez,Piratas de Quebradillas,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/indios-de-mayaguez-vs-piratas-de-quebradillas/1627337463/,1.602,2.23,-3.0,1.884,3.0,1.854,167.0,1.925,167.0,1.819,2026-04-08 23:02:51
Capitanes de Arecibo,Leones de Ponce,https://www.pinnacle.com/en/basketball/puerto-rico-superior-nacional/capitanes-de-arecibo-vs-leones-de-ponce/1627338181/,1.401,2.73,-5.0,1.884,5.0,1.854,185.5,1.892,185.5,1.847,2026-04-08 23:02:51
