team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Al Wakrah,Al Sadd,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-wakrah-vs-al-sadd/1617872188/,3.91,1.196,8.5,1.869,-8.5,1.869,166.5,1.869,166.5,1.869,2025-10-20 16:04:53
Al Wakrah,Al Sadd,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-wakrah-vs-al-sadd/1617872188/,3.91,1.196,8.5,1.869,-8.5,1.869,166.5,1.869,166.5,1.869,2025-10-20 16:40:02
Al Wakrah,Al Sadd,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-wakrah-vs-al-sadd/1617872188/,3.91,1.196,8.5,1.869,-8.5,1.869,166.5,1.869,166.5,1.869,2025-10-20 16:48:37
Al Wakrah,Al Sadd,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-wakrah-vs-al-sadd/1617872188/,3.91,1.196,8.5,1.869,-8.5,1.869,166.5,1.869,166.5,1.869,2025-10-20 17:01:20
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-26 22:25:56
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-26 22:45:48
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-26 22:51:31
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-26 23:43:55
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-26 23:56:43
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 00:05:17
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 03:41:45
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 03:56:29
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 04:24:02
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 04:30:44
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 04:56:38
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 05:07:43
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 05:30:43
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 05:49:33
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 06:01:50
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 06:09:38
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 06:49:01
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 07:04:41
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 07:12:44
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 07:35:45
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 07:41:57
Al Rayyan,Al Ahli,https://www.pinnacle.com/en/basketball/qatar-basketball-league/al-rayyan-vs-al-ahli/1618180979/,1.049,5.96,-14.0,1.847,14.0,1.819,168.5,1.813,168.5,1.854,2025-10-27 07:59:23
