team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Al Wakrah,AL Shamal,https://www.pinnacle.com/en/basketball/qatar-cup/al-wakrah-vs-al-shamal/1628071728/,2.1,1.684,2.5,1.833,-2.5,1.909,165.0,1.862,165.0,1.877,2026-04-13 14:10:54
Al Rayyan,Al Arabi,https://www.pinnacle.com/en/basketball/qatar-cup/al-rayyan-vs-al-arabi/1628305849/,2.8,1.383,6.0,1.847,-6.0,1.892,168.5,1.869,168.5,1.869,2026-04-13 14:10:54
Al Ahli Qatar,Al Arabi,https://www.pinnacle.com/en/basketball/qatar-cup/al-ahli-qatar-vs-al-arabi/1629500837/,4.63,1.102,10.5,1.869,-10.5,1.8,160.5,1.793,160.5,1.869,2026-05-04 00:17:28
Al Sadd,Al Rayyan,https://www.pinnacle.com/en/basketball/qatar-cup/al-sadd-vs-al-rayyan/1629500359/,1.869,1.735,1.5,1.8,-1.5,1.8,168.0,1.862,168.0,1.806,2026-05-04 00:17:28
Al Ahli Qatar,Al Arabi,https://www.pinnacle.com/en/basketball/qatar-cup/al-ahli-qatar-vs-al-arabi/1629500837/,4.63,1.102,10.5,1.869,-10.5,1.8,160.5,1.793,160.5,1.869,2026-05-04 04:14:15
Al Sadd,Al Rayyan,https://www.pinnacle.com/en/basketball/qatar-cup/al-sadd-vs-al-rayyan/1629500359/,1.869,1.735,1.5,1.8,-1.5,1.8,169.0,1.8,169.0,1.862,2026-05-04 04:14:15
Al Ahli Qatar,Al Arabi,https://www.pinnacle.com/en/basketball/qatar-cup/al-ahli-qatar-vs-al-arabi/1629500837/,4.63,1.102,10.5,1.869,-10.5,1.8,160.5,1.793,160.5,1.869,2026-05-04 07:26:08
Al Sadd,Al Rayyan,https://www.pinnacle.com/en/basketball/qatar-cup/al-sadd-vs-al-rayyan/1629500359/,1.869,1.735,1.5,1.8,-1.5,1.8,169.0,1.847,169.0,1.819,2026-05-04 07:26:08
Al Ahli Qatar,Al Arabi,https://www.pinnacle.com/en/basketball/qatar-cup/al-ahli-qatar-vs-al-arabi/1629500837/,4.93,1.12,10.5,1.909,-10.5,1.833,160.5,1.826,160.5,1.909,2026-05-04 11:31:31
Al Sadd,Al Rayyan,https://www.pinnacle.com/en/basketball/qatar-cup/al-sadd-vs-al-rayyan/1629500359/,1.869,1.735,1.5,1.8,-1.5,1.8,168.0,1.833,168.0,1.833,2026-05-04 11:31:31
Al Sadd,Al Rayyan,https://www.pinnacle.com/en/basketball/qatar-cup/al-sadd-vs-al-rayyan/1629500359/,1.869,1.735,+1.5,1.800,-1.5,1.800,168.5,1.813,168.5,1.925,2026-05-04 15:29:24
