Market,Selection,Odds,matchup,timestamp
Money Line – Game,Csm Targu Mures,1.196,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 164.5,2.12,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 165,1.641,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 165,2.07,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 165.5,1.68,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 165.5,2.01,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 166,1.724,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 166,1.961,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 166.5,1.769,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 166.5,1.9,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 164.5,1.609,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 167,1.847,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 167.5,1.793,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 168,1.925,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 168,1.746,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 168.5,1.98,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 168.5,1.704,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 169,2.04,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 169,1.666,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 169.5,2.09,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Under 169.5,1.628,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 167.5,1.877,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +11.0,1.5,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Total – Game,Over 167,1.819,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +10.5,1.54,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -11.0,2.3,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Money Line – Game,CSU Sibiu,3.56,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -6.0,1.571,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +6.0,2.15,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -6.5,1.617,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +6.5,2.08,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -7.0,1.666,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -7.5,1.729,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +7.5,1.934,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -8.0,1.8,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +7.0,2.01,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +10.0,1.584,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,Csm Targu Mures -8.5,1.884,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
Handicap – Game,CSU Sibiu +8.5,1.781,Csm Targu Mures vs CSU Sibiu,2025-10-19 23:38:33
