team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CS Rapid Bucuresti,Csm Targu Mures,https://www.pinnacle.com/en/basketball/romania-division-a/cs-rapid-bucuresti-vs-csm-targu-mures/1616574708/,1.52,2.4,-4.0,1.854,4.0,1.884,163.5,1.819,163.5,1.925,2025-10-01 17:26:06
Csm Targu Mures,CSU Sibiu,https://www.pinnacle.com/en/basketball/romania-division-a/csm-targu-mures-vs-csu-sibiu/1617646823/,1.196,3.56,-8.5,1.884,8.5,1.781,167.0,1.819,167.0,1.847,2025-10-19 23:27:19
Csm Targu Mures,CSU Sibiu,https://www.pinnacle.com/en/basketball/romania-division-a/csm-targu-mures-vs-csu-sibiu/1617646823/,1.196,3.56,-8.5,1.884,8.5,1.781,167.0,1.819,167.0,1.847,2025-10-19 23:38:33
Csm Targu Mures,CSU Sibiu,https://www.pinnacle.com/en/basketball/romania-division-a/csm-targu-mures-vs-csu-sibiu/1617646823/,1.196,3.56,-8.5,1.884,8.5,1.781,167.0,1.819,167.0,1.847,2025-10-19 23:59:24
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.454,2.43,-4.0,1.819,4.0,1.847,165.0,1.909,165.0,1.763,2025-10-26 23:44:00
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.454,2.43,-4.0,1.819,4.0,1.847,165.0,1.909,165.0,1.763,2025-10-26 23:56:48
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.454,2.43,-4.0,1.819,4.0,1.847,165.0,1.909,165.0,1.763,2025-10-27 00:05:23
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.456,2.43,-4.0,1.826,4.0,1.84,163.5,1.917,163.5,1.751,2025-10-27 03:42:06
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.456,2.43,-4.0,1.826,4.0,1.84,163.5,1.917,163.5,1.751,2025-10-27 03:56:50
CS Dinamo Bucuresti,SCM Timisoara,https://www.pinnacle.com/en/basketball/romania-division-a/cs-dinamo-bucuresti-vs-scm-timisoara/1618181032/,1.456,2.43,-4.0,1.826,4.0,1.84,162.0,1.84,162.0,1.826,2025-10-27 04:24:21
