team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-12 23:25:01
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-12 23:31:21
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-12 23:43:18
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-12 23:48:44
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-12 23:56:56
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 00:03:33
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 02:02:16
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 02:08:22
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 03:19:45
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 03:26:56
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 03:54:39
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 04:34:22
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 04:40:42
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 05:28:17
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 05:34:48
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 05:47:30
Universitatea Cluj Napoca 2,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/romania-liga-1/universitatea-cluj-napoca-2-vs-universitatea-cluj-napoca/1617312422/,5.51,1.035,14.0,1.813,-14.0,1.787,142.5,1.793,142.5,1.806,2025-10-13 06:01:03
