Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Novosibirsk,1.078,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 151,2.12,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 151.5,1.704,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 151.5,2.07,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 152,1.74,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 152,2.01,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 152.5,1.787,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 152.5,1.961,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 153,1.833,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 153.5,1.854,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 151,1.666,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 153.5,1.813,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 154,1.8,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 154.5,2.0,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 154.5,1.751,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 155,2.06,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 155,1.709,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 155.5,2.12,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 155.5,1.671,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 156,2.17,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 156,1.636,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Over 154,1.943,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,Universitet Yugra Surgut +14.0,1.552,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Total – Game,Under 153,1.909,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,Universitet Yugra Surgut +13.5,1.595,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,BC Novosibirsk -14.0,2.3,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,BC Novosibirsk -9.0,1.581,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,Universitet Yugra Surgut +9.0,2.24,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,BC Novosibirsk -9.5,1.625,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,Universitet Yugra Surgut +9.5,2.16,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,BC Novosibirsk -10.0,1.675,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,Universitet Yugra Surgut +10.0,2.08,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
Handicap – Game,BC Novosibirsk -10.5,1.735,BC Novosibirsk vs Universitet Yugra Surgut,2025-10-12 22:49:51
