team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
REG BBC,UGB,https://www.pinnacle.com/en/basketball/rwanda-national-league/reg-bbc-vs-ugb/1624790699/,1.041,6.28,-14.5,1.826,14.5,1.84,157.0,1.781,157.0,1.884,2026-02-25 17:38:45
REG BBC,UGB,https://www.pinnacle.com/en/basketball/rwanda-national-league/reg-bbc-vs-ugb/1624790699/,1.041,6.28,-14.5,1.826,14.5,1.84,157.0,1.781,157.0,1.884,2026-02-25 17:47:07
APR BBC,Kepler,https://www.pinnacle.com/en/basketball/rwanda-national-league/apr-bbc-vs-kepler/1624859073/,,,-21.0,1.9,21.0,1.769,155.5,1.813,155.5,1.854,2026-02-27 18:06:40
APR BBC,REG BBC,https://www.pinnacle.com/en/basketball/rwanda-national-league/apr-bbc-vs-reg-bbc/1625775925/,1.068,5.35,-12.5,1.917,12.5,1.757,156.5,1.909,156.5,1.763,2026-03-15 17:59:16
Patriots BC,East African University Rwanda,https://www.pinnacle.com/en/basketball/rwanda-national-league/patriots-bc-vs-east-african-university-rwanda/1627350758/,1.012,8.42,-22.0,1.819,22.0,1.847,164.5,1.847,164.5,1.819,2026-04-05 16:34:16
Patriots BC,East African University Rwanda,https://www.pinnacle.com/en/basketball/rwanda-national-league/patriots-bc-vs-east-african-university-rwanda/1627350758/,1.012,8.42,-22.0,1.819,22.0,1.847,164.5,1.847,164.5,1.819,2026-04-05 17:07:50
Patriots BC,East African University Rwanda,https://www.pinnacle.com/en/basketball/rwanda-national-league/patriots-bc-vs-east-african-university-rwanda/1627350758/,1.012,8.42,-22.0,1.819,22.0,1.847,164.5,1.847,164.5,1.819,2026-04-05 17:53:27
Patriots BC,UGB,https://www.pinnacle.com/en/basketball/rwanda-national-league/patriots-bc-vs-ugb/1628640461/,1.147,4.01,-8.5,1.8,8.5,1.869,160.5,1.869,160.5,1.8,2026-04-19 17:52:53
UGB,Inspired Generation,https://www.pinnacle.com/en/basketball/rwanda-national-league/ugb-vs-inspired-generation/1629691145/,,,-37.5,1.826,37.5,1.84,157.0,1.833,157.0,1.833,2026-05-03 17:31:21
UGB,Inspired Generation,https://www.pinnacle.com/en/basketball/rwanda-national-league/ugb-vs-inspired-generation/1629691145/,N/A,N/A,-37.5,1.826,+37.5,1.840,157,1.833,157,1.833,2026-05-03 18:13:55
