team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Al Ula,Uhud Medina,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-ula-vs-uhud-medina/1616744573/,,,-49.5,1.492,49.5,2.34,173.5,1.833,173.5,1.833,2025-10-05 22:25:17
Al Fateh,Al-Ahli Jeddah,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-fateh-vs-al-ahli-jeddah/1616763901/,,,23.5,1.862,-23.5,1.806,162.5,1.8,162.5,1.869,2025-10-05 22:25:17
Modar,Al Khaleej,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/modar-vs-al-khaleej/1616775160/,1.467,2.4,-4.0,1.806,4.0,1.862,152.5,1.833,152.5,1.833,2025-10-05 22:25:17
Al Nassr,Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-nassr-vs-al-ittihad-jeddah/1616744572/,,,,,,,,,,,2025-10-05 22:44:18
Al Ula,Uhud Medina,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-ula-vs-uhud-medina/1616744573/,,,-49.5,1.492,49.5,2.34,173.5,1.833,173.5,1.833,2025-10-05 22:44:18
Modar,Al Khaleej,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/modar-vs-al-khaleej/1616775160/,1.467,2.4,-4.0,1.806,4.0,1.862,152.5,1.833,152.5,1.833,2025-10-05 22:44:18
Al Fateh,Al-Ahli Jeddah,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-fateh-vs-al-ahli-jeddah/1616763901/,,,23.5,1.862,-23.5,1.806,162.5,1.8,162.5,1.869,2025-10-05 22:44:18
Al Nassr,Al-Ittihad Jeddah,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-nassr-vs-al-ittihad-jeddah/1616744572/,,,,,,,,,,,2025-10-05 22:56:06
Al Ula,Uhud Medina,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-ula-vs-uhud-medina/1616744573/,,,-49.5,1.492,49.5,2.34,173.5,1.833,173.5,1.833,2025-10-05 22:56:06
Modar,Al Khaleej,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/modar-vs-al-khaleej/1616775160/,1.467,2.4,-4.0,1.806,4.0,1.862,152.5,1.833,152.5,1.833,2025-10-05 22:56:06
Al Fateh,Al-Ahli Jeddah,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/al-fateh-vs-al-ahli-jeddah/1616763901/,,,23.5,1.862,-23.5,1.806,162.5,1.8,162.5,1.869,2025-10-05 22:56:06
Modar,Al Khaleej,https://www.pinnacle.com/en/basketball/saudi-arabia-premier-league/modar-vs-al-khaleej/1616775160/,1.467,2.4,-4.0,1.806,4.0,1.862,152.5,1.833,152.5,1.833,2025-10-05 23:02:51
