Market,Selection,Odds,matchup,timestamp
Money Line – Game,Jagodina,1.143,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Money Line – Game,KK Dunav Stari Banovci,4.06,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Handicap – Game,Jagodina -10.5,1.8,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Handicap – Game,KK Dunav Stari Banovci +10.5,1.862,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Total – Game,Over 169.5,1.813,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Total – Game,Under 169.5,1.854,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:34:36
Money Line – Game,Jagodina,1.143,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Money Line – Game,KK Dunav Stari Banovci,4.06,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Handicap – Game,Jagodina -10.5,1.8,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Handicap – Game,KK Dunav Stari Banovci +10.5,1.862,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Total – Game,Over 169.5,1.813,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Total – Game,Under 169.5,1.854,Jagodina vs KK Dunav Stari Banovci,2025-12-26 15:43:47
Money Line – Game,Jagodina,1.143,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Money Line – Game,KK Dunav Stari Banovci,4.06,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Handicap – Game,Jagodina -10.5,1.8,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Handicap – Game,KK Dunav Stari Banovci +10.5,1.862,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Total – Game,Over 169.5,1.813,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Total – Game,Under 169.5,1.854,Jagodina vs KK Dunav Stari Banovci,2025-12-26 16:38:08
Money Line – Game,Okk Novi Pazar,3.36,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Money Line – Game,Zdravlje Leskovac,1.223,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Handicap – Game,Okk Novi Pazar +7.5,1.84,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Handicap – Game,Zdravlje Leskovac -7.5,1.826,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Total – Game,Over 174.5,1.833,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Total – Game,Under 174.5,1.826,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 17:54:29
Money Line – Game,Okk Novi Pazar,3.44,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Money Line – Game,Zdravlje Leskovac,1.211,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Handicap – Game,Okk Novi Pazar +7.5,1.892,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Handicap – Game,Zdravlje Leskovac -7.5,1.775,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Total – Game,Over 176,1.833,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Total – Game,Under 176,1.833,Okk Novi Pazar vs Zdravlje Leskovac,2025-12-29 18:58:04
Money Line – Game,Kolubara,1.025,Kolubara vs IBC,2026-02-24 02:34:21
Money Line – Game,IBC,5.94,Kolubara vs IBC,2026-02-24 02:34:21
Handicap – Game,Kolubara -15.5,1.8,Kolubara vs IBC,2026-02-24 02:34:21
Handicap – Game,IBC +15.5,1.8,Kolubara vs IBC,2026-02-24 02:34:21
Total – Game,Over 166.5,1.806,Kolubara vs IBC,2026-02-24 02:34:21
Total – Game,Under 166.5,1.793,Kolubara vs IBC,2026-02-24 02:34:21
Money Line – Game,KK Pirot,1.087,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Money Line – Game,KK Mladost SP,4.35,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Handicap – Game,KK Pirot -10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Handicap – Game,KK Mladost SP +10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Total – Game,Over 162.5,1.806,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Total – Game,Under 162.5,1.793,KK Pirot vs KK Mladost SP,2026-02-24 02:34:21
Money Line – Game,Kolubara,1.025,Kolubara vs IBC,2026-02-24 05:54:45
Money Line – Game,IBC,5.94,Kolubara vs IBC,2026-02-24 05:54:45
Handicap – Game,Kolubara -15.5,1.8,Kolubara vs IBC,2026-02-24 05:54:45
Handicap – Game,IBC +15.5,1.8,Kolubara vs IBC,2026-02-24 05:54:45
Total – Game,Over 166.5,1.806,Kolubara vs IBC,2026-02-24 05:54:45
Total – Game,Under 166.5,1.793,Kolubara vs IBC,2026-02-24 05:54:45
Money Line – Game,KK Pirot,1.087,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Money Line – Game,KK Mladost SP,4.35,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Handicap – Game,KK Pirot -10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Handicap – Game,KK Mladost SP +10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Total – Game,Over 162.5,1.806,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Total – Game,Under 162.5,1.793,KK Pirot vs KK Mladost SP,2026-02-24 05:54:45
Money Line – Game,Kolubara,1.025,Kolubara vs IBC,2026-02-24 06:45:27
Money Line – Game,IBC,5.94,Kolubara vs IBC,2026-02-24 06:45:27
Handicap – Game,Kolubara -15.5,1.8,Kolubara vs IBC,2026-02-24 06:45:27
Handicap – Game,IBC +15.5,1.8,Kolubara vs IBC,2026-02-24 06:45:27
Total – Game,Over 166.5,1.806,Kolubara vs IBC,2026-02-24 06:45:27
Total – Game,Under 166.5,1.793,Kolubara vs IBC,2026-02-24 06:45:27
Money Line – Game,KK Pirot,1.087,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Money Line – Game,KK Mladost SP,4.35,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Handicap – Game,KK Pirot -10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Handicap – Game,KK Mladost SP +10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Total – Game,Over 162.5,1.806,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Total – Game,Under 162.5,1.793,KK Pirot vs KK Mladost SP,2026-02-24 06:45:27
Money Line – Game,Kolubara,1.025,Kolubara vs IBC,2026-02-24 07:57:05
Money Line – Game,IBC,5.94,Kolubara vs IBC,2026-02-24 07:57:05
Handicap – Game,Kolubara -15.5,1.8,Kolubara vs IBC,2026-02-24 07:57:05
Handicap – Game,IBC +15.5,1.8,Kolubara vs IBC,2026-02-24 07:57:05
Total – Game,Over 166.5,1.806,Kolubara vs IBC,2026-02-24 07:57:05
Total – Game,Under 166.5,1.793,Kolubara vs IBC,2026-02-24 07:57:05
Money Line – Game,KK Pirot,1.087,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Money Line – Game,KK Mladost SP,4.35,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Handicap – Game,KK Pirot -10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Handicap – Game,KK Mladost SP +10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Total – Game,Over 162.5,1.806,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Total – Game,Under 162.5,1.793,KK Pirot vs KK Mladost SP,2026-02-24 07:57:05
Money Line – Game,Kolubara,1.025,Kolubara vs IBC,2026-02-24 09:18:39
Money Line – Game,IBC,5.94,Kolubara vs IBC,2026-02-24 09:18:39
Handicap – Game,Kolubara -15.5,1.8,Kolubara vs IBC,2026-02-24 09:18:39
Handicap – Game,IBC +15.5,1.8,Kolubara vs IBC,2026-02-24 09:18:39
Total – Game,Over 166.5,1.806,Kolubara vs IBC,2026-02-24 09:18:39
Total – Game,Under 166.5,1.793,Kolubara vs IBC,2026-02-24 09:18:39
Money Line – Game,KK Pirot,1.087,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
Money Line – Game,KK Mladost SP,4.35,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
Handicap – Game,KK Pirot -10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
Handicap – Game,KK Mladost SP +10.5,1.8,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
Total – Game,Over 162.5,1.806,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
Total – Game,Under 162.5,1.793,KK Pirot vs KK Mladost SP,2026-02-24 09:18:39
