team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Jagodina,KK Dunav Stari Banovci,https://www.pinnacle.com/en/basketball/serbia-2mls/jagodina-vs-kk-dunav-stari-banovci/1621666731/,1.143,4.06,-10.5,1.8,10.5,1.862,169.5,1.813,169.5,1.854,2025-12-26 15:34:36
Jagodina,KK Dunav Stari Banovci,https://www.pinnacle.com/en/basketball/serbia-2mls/jagodina-vs-kk-dunav-stari-banovci/1621666731/,1.143,4.06,-10.5,1.8,10.5,1.862,169.5,1.813,169.5,1.854,2025-12-26 15:43:47
Jagodina,KK Dunav Stari Banovci,https://www.pinnacle.com/en/basketball/serbia-2mls/jagodina-vs-kk-dunav-stari-banovci/1621666731/,1.143,4.06,-10.5,1.8,10.5,1.862,169.5,1.813,169.5,1.854,2025-12-26 16:02:09
Jagodina,KK Dunav Stari Banovci,https://www.pinnacle.com/en/basketball/serbia-2mls/jagodina-vs-kk-dunav-stari-banovci/1621666731/,1.143,4.06,-10.5,1.8,10.5,1.862,169.5,1.813,169.5,1.854,2025-12-26 16:38:08
Okk Novi Pazar,Zdravlje Leskovac,https://www.pinnacle.com/en/basketball/serbia-2mls/okk-novi-pazar-vs-zdravlje-leskovac/1621763801/,3.36,1.223,7.5,1.84,-7.5,1.826,174.5,1.833,174.5,1.826,2025-12-29 17:17:49
Okk Novi Pazar,Zdravlje Leskovac,https://www.pinnacle.com/en/basketball/serbia-2mls/okk-novi-pazar-vs-zdravlje-leskovac/1621763801/,3.36,1.223,7.5,1.84,-7.5,1.826,174.5,1.833,174.5,1.826,2025-12-29 17:37:47
Okk Novi Pazar,Zdravlje Leskovac,https://www.pinnacle.com/en/basketball/serbia-2mls/okk-novi-pazar-vs-zdravlje-leskovac/1621763801/,3.36,1.223,7.5,1.84,-7.5,1.826,174.5,1.833,174.5,1.826,2025-12-29 17:54:29
Okk Novi Pazar,Zdravlje Leskovac,https://www.pinnacle.com/en/basketball/serbia-2mls/okk-novi-pazar-vs-zdravlje-leskovac/1621763801/,3.44,1.211,7.5,1.892,-7.5,1.775,176.0,1.833,176.0,1.833,2025-12-29 18:58:04
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 02:34:21
KK Pirot,KK Mladost SP,https://www.pinnacle.com/en/basketball/serbia-2mls/kk-pirot-vs-kk-mladost-sp/1624747962/,1.087,4.35,-10.5,1.8,10.5,1.8,162.5,1.806,162.5,1.793,2026-02-24 02:34:21
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 05:54:45
KK Pirot,KK Mladost SP,https://www.pinnacle.com/en/basketball/serbia-2mls/kk-pirot-vs-kk-mladost-sp/1624747962/,1.087,4.35,-10.5,1.8,10.5,1.8,162.5,1.806,162.5,1.793,2026-02-24 05:54:45
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 06:45:27
KK Pirot,KK Mladost SP,https://www.pinnacle.com/en/basketball/serbia-2mls/kk-pirot-vs-kk-mladost-sp/1624747962/,1.087,4.35,-10.5,1.8,10.5,1.8,162.5,1.806,162.5,1.793,2026-02-24 06:45:27
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 07:57:05
KK Pirot,KK Mladost SP,https://www.pinnacle.com/en/basketball/serbia-2mls/kk-pirot-vs-kk-mladost-sp/1624747962/,1.087,4.35,-10.5,1.8,10.5,1.8,162.5,1.806,162.5,1.793,2026-02-24 07:57:05
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 09:18:39
KK Pirot,KK Mladost SP,https://www.pinnacle.com/en/basketball/serbia-2mls/kk-pirot-vs-kk-mladost-sp/1624747962/,1.087,4.35,-10.5,1.8,10.5,1.8,162.5,1.806,162.5,1.793,2026-02-24 09:18:39
Kolubara,IBC,https://www.pinnacle.com/en/basketball/serbia-2mls/kolubara-vs-ibc/1624757353/,1.025,5.94,-15.5,1.8,15.5,1.8,166.5,1.806,166.5,1.793,2026-02-24 11:11:56
