Market,Selection,Odds,matchup,timestamp
Money Line – Game,Kk Borac Cacak,1.497,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Money Line – Game,Kk Cacak 94,2.33,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Handicap – Game,Kk Borac Cacak -3.5,1.775,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Handicap – Game,Kk Cacak 94 +3.5,1.892,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Total – Game,Over 152,1.775,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Total – Game,Under 152,1.892,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 16:06:27
Money Line – Game,Kk Borac Cacak,1.5,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Money Line – Game,Kk Cacak 94,2.33,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Handicap – Game,Kk Borac Cacak -3.5,1.781,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Handicap – Game,Kk Cacak 94 +3.5,1.892,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Total – Game,Over 148.5,1.826,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Total – Game,Under 148.5,1.84,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:03:28
Money Line – Game,Kk Borac Cacak,1.5,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Money Line – Game,Kk Cacak 94,2.33,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Handicap – Game,Kk Borac Cacak -3.5,1.781,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Handicap – Game,Kk Cacak 94 +3.5,1.892,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Total – Game,Over 148.5,1.826,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Total – Game,Under 148.5,1.84,Kk Borac Cacak vs Kk Cacak 94,2025-12-15 17:27:19
Money Line – Game,Kk Cacak 94,1.027,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Money Line – Game,Sloga,7.07,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Handicap – Game,Kk Cacak 94 -16.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Handicap – Game,Sloga +16.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Total – Game,Over 150.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Total – Game,Under 150.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 18:00:57
Money Line – Game,Kk Cacak 94,1.027,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Money Line – Game,Sloga,7.07,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Handicap – Game,Kk Cacak 94 -16.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Handicap – Game,Sloga +16.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Total – Game,Over 150.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Total – Game,Under 150.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 18:56:56
Money Line – Game,Kk Cacak 94,1.027,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Money Line – Game,Sloga,7.07,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Handicap – Game,Kk Cacak 94 -16.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Handicap – Game,Sloga +16.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Total – Game,Over 150.5,1.84,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Total – Game,Under 150.5,1.826,Kk Cacak 94 vs Sloga,2025-12-22 19:13:23
Money Line – Game,Mega Basket,1.039,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Money Line – Game,Vojvodina,5.39,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Handicap – Game,Mega Basket -13.5,1.8,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Handicap – Game,Vojvodina +13.5,1.8,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Total – Game,Over 163.5,1.806,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Total – Game,Under 163.5,1.793,Mega Basket vs Vojvodina,2025-12-24 10:47:15
Money Line – Game,Mega Basket,1.049,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Money Line – Game,Vojvodina,5.94,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Handicap – Game,Mega Basket -13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Handicap – Game,Vojvodina +13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Total – Game,Over 163.5,1.84,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Total – Game,Under 163.5,1.826,Mega Basket vs Vojvodina,2025-12-24 12:00:25
Money Line – Game,Mega Basket,1.049,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Money Line – Game,Vojvodina,5.94,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Handicap – Game,Mega Basket -13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Handicap – Game,Vojvodina +13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Total – Game,Over 163.5,1.84,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Total – Game,Under 163.5,1.826,Mega Basket vs Vojvodina,2025-12-24 13:01:56
Money Line – Game,Mega Basket,1.049,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Money Line – Game,Vojvodina,5.94,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Handicap – Game,Mega Basket -13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Handicap – Game,Vojvodina +13.5,1.833,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Total – Game,Over 163.5,1.84,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Total – Game,Under 163.5,1.826,Mega Basket vs Vojvodina,2025-12-24 14:08:24
Money Line – Game,Mega Basket,1.049,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Money Line – Game,Vojvodina,5.97,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Handicap – Game,Mega Basket -13.5,1.819,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Handicap – Game,Vojvodina +13.5,1.847,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Total – Game,Over 163.5,1.833,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Total – Game,Under 163.5,1.833,Mega Basket vs Vojvodina,2025-12-24 14:47:32
Money Line – Game,Mega Basket,1.049,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Money Line – Game,Vojvodina,5.97,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Handicap – Game,Mega Basket -13.5,1.819,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Handicap – Game,Vojvodina +13.5,1.847,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Total – Game,Over 163.5,1.833,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Total – Game,Under 163.5,1.833,Mega Basket vs Vojvodina,2025-12-24 15:38:11
Money Line – Game,Kk Cacak 94,1.793,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Money Line – Game,Vojvodina,1.877,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Handicap – Game,Kk Cacak 94 -1.0,1.833,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Handicap – Game,Vojvodina +1.0,1.833,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Total – Game,Over 158.5,1.84,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Total – Game,Under 158.5,1.826,Kk Cacak 94 vs Vojvodina,2026-01-11 18:46:22
Money Line – Game,Sloboda,3.1,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Money Line – Game,Kk Cacak 94,1.268,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Handicap – Game,Sloboda +6.5,1.84,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Handicap – Game,Kk Cacak 94 -6.5,1.826,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Total – Game,Over 150.5,1.826,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Total – Game,Under 150.5,1.84,Sloboda vs Kk Cacak 94,2026-02-02 11:14:24
Money Line – Game,Dunav 2014,1.621,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Money Line – Game,KK Partizan Belgrade,2.02,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Handicap – Game,Dunav 2014 -2.0,1.763,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Handicap – Game,KK Partizan Belgrade +2.0,1.84,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Total – Game,Over 155,1.763,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Total – Game,Under 155,1.833,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:14:24
Money Line – Game,Sloboda,3.1,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Money Line – Game,Kk Cacak 94,1.268,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Handicap – Game,Sloboda +6.5,1.84,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Handicap – Game,Kk Cacak 94 -6.5,1.826,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Total – Game,Over 150.5,1.781,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Total – Game,Under 150.5,1.884,Sloboda vs Kk Cacak 94,2026-02-02 11:59:42
Money Line – Game,Dunav 2014,1.621,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Money Line – Game,KK Partizan Belgrade,2.02,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Handicap – Game,Dunav 2014 -2.0,1.763,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Handicap – Game,KK Partizan Belgrade +2.0,1.84,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Total – Game,Over 155,1.763,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Total – Game,Under 155,1.833,Dunav 2014 vs KK Partizan Belgrade,2026-02-02 11:59:42
Money Line – Game,Sloboda,3.1,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Money Line – Game,Kk Cacak 94,1.269,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Handicap – Game,Sloboda +6.5,1.833,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Handicap – Game,Kk Cacak 94 -6.5,1.833,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Total – Game,Over 149.5,1.892,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Total – Game,Under 149.5,1.775,Sloboda vs Kk Cacak 94,2026-02-02 12:49:46
Handicap – Game,Dynamic -29.5,1.793,Dynamic vs Sloboda,2026-02-16 01:53:21
Handicap – Game,Sloboda +29.5,1.806,Dynamic vs Sloboda,2026-02-16 01:53:21
Total – Game,Over 155.5,1.793,Dynamic vs Sloboda,2026-02-16 01:53:21
Total – Game,Under 155.5,1.806,Dynamic vs Sloboda,2026-02-16 01:53:21
Handicap – Game,Dynamic -29.5,1.793,Dynamic vs Sloboda,2026-02-16 04:25:57
Handicap – Game,Sloboda +29.5,1.806,Dynamic vs Sloboda,2026-02-16 04:25:57
Total – Game,Over 155.5,1.793,Dynamic vs Sloboda,2026-02-16 04:25:57
Total – Game,Under 155.5,1.806,Dynamic vs Sloboda,2026-02-16 04:25:57
Handicap – Game,Dynamic -29.5,1.793,Dynamic vs Sloboda,2026-02-16 06:04:18
Handicap – Game,Sloboda +29.5,1.806,Dynamic vs Sloboda,2026-02-16 06:04:18
Total – Game,Over 155.5,1.793,Dynamic vs Sloboda,2026-02-16 06:04:18
Total – Game,Under 155.5,1.806,Dynamic vs Sloboda,2026-02-16 06:04:18
Handicap – Game,Dynamic -29.5,1.793,Dynamic vs Sloboda,2026-02-16 07:01:45
Handicap – Game,Sloboda +29.5,1.806,Dynamic vs Sloboda,2026-02-16 07:01:45
Total – Game,Over 155.5,1.793,Dynamic vs Sloboda,2026-02-16 07:01:45
Total – Game,Under 155.5,1.806,Dynamic vs Sloboda,2026-02-16 07:01:45
Handicap – Game,Dynamic -29.5,1.826,Dynamic vs Sloboda,2026-02-16 08:01:58
Handicap – Game,Sloboda +29.5,1.84,Dynamic vs Sloboda,2026-02-16 08:01:58
Total – Game,Over 155.5,1.826,Dynamic vs Sloboda,2026-02-16 08:01:58
Total – Game,Under 155.5,1.84,Dynamic vs Sloboda,2026-02-16 08:01:58
Money Line – Game,Sloboda,2.04,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Money Line – Game,Mladost Veba,1.602,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Handicap – Game,Sloboda +2.5,1.8,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Handicap – Game,Mladost Veba -2.5,1.8,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Total – Game,Over 154.5,1.806,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Total – Game,Under 154.5,1.793,Sloboda vs Mladost Veba,2026-02-23 10:37:53
Money Line – Game,Sloboda,2.04,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Money Line – Game,Mladost Veba,1.602,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Handicap – Game,Sloboda +2.5,1.8,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Handicap – Game,Mladost Veba -2.5,1.8,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Total – Game,Over 154.5,1.806,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Total – Game,Under 154.5,1.793,Sloboda vs Mladost Veba,2026-02-23 11:38:44
Money Line – Game,Sloboda,2.08,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Money Line – Game,Mladost Veba,1.632,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Handicap – Game,Sloboda +2.5,1.833,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Handicap – Game,Mladost Veba -2.5,1.833,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Total – Game,Over 154.5,1.84,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Total – Game,Under 154.5,1.826,Sloboda vs Mladost Veba,2026-02-23 13:13:43
Money Line – Game,Dunav 2014,1.515,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Money Line – Game,Sloboda,2.2,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Handicap – Game,Dunav 2014 -3.5,1.8,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Handicap – Game,Sloboda +3.5,1.8,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Total – Game,Over 150.5,1.806,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Total – Game,Under 150.5,1.793,Dunav 2014 vs Sloboda,2026-03-03 01:32:58
Money Line – Game,Dunav 2014,1.515,Dunav 2014 vs Sloboda,2026-03-03 04:00:48
Money Line – Game,Sloboda,2.2,Dunav 2014 vs Sloboda,2026-03-03 04:00:48
