team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.497,2.33,-3.5,1.775,3.5,1.892,152.0,1.775,152.0,1.892,2025-12-15 15:10:37
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.497,2.33,-3.5,1.775,3.5,1.892,152.0,1.775,152.0,1.892,2025-12-15 16:06:27
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.497,2.33,-3.5,1.775,3.5,1.892,152.0,1.869,152.0,1.8,2025-12-15 16:18:55
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.497,2.33,-3.5,1.769,3.5,1.9,152.0,1.751,152.0,1.917,2025-12-15 17:03:28
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.5,2.33,-3.5,1.781,3.5,1.892,148.5,1.826,148.5,1.84,2025-12-15 17:27:19
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,1.5,2.33,-3.5,1.781,3.5,1.892,148.5,1.826,148.5,1.84,2025-12-15 17:52:04
Kk Borac Cacak,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-borac-cacak-vs-kk-cacak-94/1621316294/,,,,,,,,,,,2025-12-15 19:02:59
Kk Cacak 94,Sloga,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-cacak-94-vs-sloga/1621587375/,1.027,7.07,-16.5,1.826,16.5,1.84,150.5,1.84,150.5,1.826,2025-12-22 17:45:54
Kk Cacak 94,Sloga,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-cacak-94-vs-sloga/1621587375/,1.027,7.07,-16.5,1.826,16.5,1.84,150.5,1.84,150.5,1.826,2025-12-22 18:00:57
Kk Cacak 94,Sloga,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-cacak-94-vs-sloga/1621587375/,1.027,7.07,-16.5,1.826,16.5,1.84,150.5,1.84,150.5,1.826,2025-12-22 18:56:56
Kk Cacak 94,Sloga,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-cacak-94-vs-sloga/1621587375/,1.027,7.07,-16.5,1.826,16.5,1.84,150.5,1.84,150.5,1.826,2025-12-22 19:13:23
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.039,5.39,-13.5,1.8,13.5,1.8,163.5,1.806,163.5,1.793,2025-12-24 10:47:15
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.94,-13.5,1.833,13.5,1.833,163.5,1.84,163.5,1.826,2025-12-24 12:00:25
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.94,-13.5,1.833,13.5,1.833,163.5,1.84,163.5,1.826,2025-12-24 13:01:56
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.94,-13.5,1.833,13.5,1.833,163.5,1.84,163.5,1.826,2025-12-24 13:50:24
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.94,-13.5,1.833,13.5,1.833,163.5,1.84,163.5,1.826,2025-12-24 14:08:24
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.97,-13.5,1.819,13.5,1.847,163.5,1.833,163.5,1.833,2025-12-24 14:47:32
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.97,-13.5,1.819,13.5,1.847,163.5,1.833,163.5,1.833,2025-12-24 15:38:11
Mega Basket,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/mega-basket-vs-vojvodina/1621619883/,1.049,5.97,-13.5,1.819,13.5,1.847,163.5,1.833,163.5,1.833,2025-12-24 15:49:57
Kk Cacak 94,Vojvodina,https://www.pinnacle.com/en/basketball/serbia-championship-u19/kk-cacak-94-vs-vojvodina/1622221888/,1.793,1.877,-1.0,1.833,1.0,1.833,158.5,1.84,158.5,1.826,2026-01-11 18:46:22
Sloboda,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/sloboda-vs-kk-cacak-94/1623424793/,3.01,1.245,6.5,1.806,-6.5,1.793,150.5,1.793,150.5,1.806,2026-02-02 07:47:16
Dunav 2014,KK Partizan Belgrade,https://www.pinnacle.com/en/basketball/serbia-championship-u19/dunav-2014-vs-kk-partizan-belgrade/1623424174/,1.621,2.02,-2.0,1.763,2.0,1.84,155.0,1.763,155.0,1.833,2026-02-02 07:47:16
Sloboda,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/sloboda-vs-kk-cacak-94/1623424793/,3.1,1.268,6.5,1.84,-6.5,1.826,150.5,1.826,150.5,1.84,2026-02-02 11:14:24
Dunav 2014,KK Partizan Belgrade,https://www.pinnacle.com/en/basketball/serbia-championship-u19/dunav-2014-vs-kk-partizan-belgrade/1623424174/,1.621,2.02,-2.0,1.763,2.0,1.84,155.0,1.763,155.0,1.833,2026-02-02 11:14:24
Sloboda,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/sloboda-vs-kk-cacak-94/1623424793/,3.1,1.268,6.5,1.84,-6.5,1.826,150.5,1.826,150.5,1.84,2026-02-02 11:59:42
Dunav 2014,KK Partizan Belgrade,https://www.pinnacle.com/en/basketball/serbia-championship-u19/dunav-2014-vs-kk-partizan-belgrade/1623424174/,1.621,2.02,-2.0,1.763,2.0,1.84,155.0,1.763,155.0,1.833,2026-02-02 11:59:42
Sloboda,Kk Cacak 94,https://www.pinnacle.com/en/basketball/serbia-championship-u19/sloboda-vs-kk-cacak-94/1623424793/,,,,,,,,,,,2026-02-02 12:49:46
