Market,Selection,Odds,matchup,timestamp
Money Line – Game,Kk Hercegovac,1.226,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Money Line – Game,OKK Beograd,3.34,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -5.0,1.543,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +5.0,2.21,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -5.5,1.584,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +5.5,2.13,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -6.0,1.632,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +6.0,2.05,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -6.5,1.694,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +6.5,1.98,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -7.0,1.763,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +7.0,1.9,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -7.5,1.847,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +7.5,1.819,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -8.0,1.925,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +8.0,1.746,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -8.5,2.0,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +8.5,1.675,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -9.0,2.08,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +9.0,1.617,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -9.5,2.16,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +9.5,1.568,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,Kk Hercegovac -10.0,2.24,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Handicap – Game,OKK Beograd +10.0,1.526,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Over 174,1.632,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Under 174,2.08,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Over 174.5,1.666,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Under 174.5,2.03,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Over 175,1.704,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Under 175,1.98,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Over 175.5,1.751,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
Total – Game,Under 175.5,1.925,Kk Hercegovac vs OKK Beograd,2025-12-24 12:00:29
