team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:06:07
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:25:45
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:31:37
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:44:04
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:49:31
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-12 23:57:12
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 00:03:51
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 02:03:01
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 02:08:51
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 03:20:00
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 03:27:25
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 03:55:25
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 04:35:05
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 04:40:59
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 05:28:30
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 05:35:01
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 05:48:01
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 06:01:20
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 06:43:45
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.813,173.0,1.847,173.0,1.819,2025-10-13 06:50:34
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 07:32:24
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 07:46:04
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 07:51:34
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 09:02:46
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 09:36:42
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 09:45:33
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 09:57:39
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 10:05:51
OKK Beograd,KK Sloga Kraljevo,https://www.pinnacle.com/en/basketball/serbia-nasa-liga/okk-beograd-vs-kk-sloga-kraljevo/1617231043/,1.39,2.61,-5.5,1.847,5.5,1.819,174.0,1.909,174.0,1.763,2025-10-13 10:32:38
