Market,Selection,Odds,matchup,timestamp
Money Line – Game,Kosice Wolves,6.41,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 159.5,2.11,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 160,1.709,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 160,2.06,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 160.5,1.751,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 160.5,2.01,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 161,1.793,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 161,1.952,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 161.5,1.84,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 161.5,1.9,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 159.5,1.671,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 162,1.9,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 162.5,1.952,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 162.5,1.793,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 163,2.01,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 163,1.746,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 163.5,2.07,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 163.5,1.704,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 164,2.13,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 164,1.666,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Over 164.5,2.18,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 162,1.84,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -11.0,1.584,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Total – Game,Under 164.5,1.628,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -11.5,1.628,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Money Line – Game,PK Patrioti Levice,1.066,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +16.0,1.549,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -16.0,2.3,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +15.5,1.591,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -15.5,2.22,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +11.0,2.23,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -15.0,2.14,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +14.5,1.699,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -14.5,2.06,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +14.0,1.763,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +15.0,1.636,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +13.5,1.847,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -13.5,1.892,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,Kosice Wolves +13.0,1.925,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
Handicap – Game,PK Patrioti Levice -13.0,1.813,Kosice Wolves vs PK Patrioti Levice,2025-10-01 17:26:26
