team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Kosice Wolves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/kosice-wolves-vs-pk-patrioti-levice/1616614266/,6.59,1.062,13.5,1.909,-13.5,1.833,162.0,1.892,162.0,1.847,2025-10-01 17:26:26
Kosice Wolves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/kosice-wolves-vs-pk-patrioti-levice/1616614266/,6.59,1.062,13.5,1.909,-13.5,1.833,162.0,1.892,162.0,1.847,2025-10-01 17:33:55
Kosice Wolves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/kosice-wolves-vs-pk-patrioti-levice/1616614266/,6.35,1.068,13.5,1.833,-13.5,1.909,162.0,1.854,162.0,1.884,2025-10-01 17:47:58
Kosice Wolves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/kosice-wolves-vs-pk-patrioti-levice/1616614266/,6.47,1.065,13.5,1.833,-13.5,1.909,162.0,1.862,162.0,1.877,2025-10-01 18:00:51
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 00:18:20
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 02:26:13
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 03:44:55
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 04:29:41
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 04:59:55
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 05:49:22
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 06:04:27
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 07:33:19
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 08:15:07
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 08:47:17
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 09:09:31
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 09:49:40
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 10:06:03
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 10:39:54
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 11:12:49
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 11:33:39
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.082,5.02,-12.5,1.826,12.5,1.84,168.0,1.819,168.0,1.847,2025-12-02 11:51:39
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.106,5.23,-12.5,1.943,12.5,1.8,168.0,1.862,168.0,1.877,2025-12-02 13:09:11
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.129,4.78,-11.0,1.847,11.0,1.892,168.0,1.869,168.0,1.869,2025-12-02 14:09:16
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.129,4.78,-11.0,1.847,11.0,1.892,168.0,1.869,168.0,1.869,2025-12-02 16:03:45
BC Prievidza,MBK Rieker Komarno,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bc-prievidza-vs-mbk-rieker-komarno/1620501842/,1.104,5.28,-11.0,1.854,11.0,1.884,169.5,1.943,169.5,1.806,2025-12-02 16:46:03
MBK Lucenec,Nitra Blue Wings,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-nitra-blue-wings/1621931795/,1.961,1.787,1.5,1.9,-1.5,1.84,169.0,1.925,169.0,1.819,2026-01-05 15:56:13
MBK Lucenec,Nitra Blue Wings,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-nitra-blue-wings/1621931795/,1.961,1.787,1.5,1.9,-1.5,1.84,169.0,1.925,169.0,1.819,2026-01-05 16:17:49
MBK Lucenec,Nitra Blue Wings,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-nitra-blue-wings/1621931795/,1.961,1.787,1.5,1.9,-1.5,1.84,169.0,1.925,169.0,1.819,2026-01-05 16:43:51
Kosice Wolves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/kosice-wolves-vs-pk-patrioti-levice/1623440432/,,,27.0,1.934,-27.0,1.806,167.0,1.884,167.0,1.854,2026-02-04 18:38:19
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.2,-2.5,1.751,2.5,1.925,162.0,1.847,162.0,1.819,2026-02-15 23:54:33
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.2,-2.5,1.751,2.5,1.925,162.0,1.847,162.0,1.819,2026-02-16 01:53:26
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.2,-2.5,1.751,2.5,1.925,162.0,1.847,162.0,1.819,2026-02-16 04:26:02
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.2,-2.5,1.751,2.5,1.925,162.0,1.847,162.0,1.819,2026-02-16 06:04:23
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.2,-2.5,1.751,2.5,1.925,162.0,1.847,162.0,1.819,2026-02-16 07:01:49
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.19,-2.5,1.751,2.5,1.917,162.0,1.826,162.0,1.84,2026-02-16 08:02:03
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.19,-2.5,1.751,2.5,1.917,162.0,1.826,162.0,1.84,2026-02-16 09:35:15
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.564,2.19,-2.5,1.751,2.5,1.917,162.0,1.826,162.0,1.84,2026-02-16 10:33:49
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.598,2.23,-2.5,1.787,2.5,1.952,162.0,1.862,162.0,1.877,2026-02-16 12:02:30
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.598,2.23,-2.5,1.787,2.5,1.952,162.0,1.862,162.0,1.877,2026-02-16 13:04:42
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.598,2.23,-2.5,1.787,2.5,1.952,162.0,1.862,162.0,1.877,2026-02-16 14:04:01
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.641,2.16,-2.5,1.833,2.5,1.9,162.0,1.869,162.0,1.869,2026-02-16 15:51:36
BK Inter Bratislava,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-inter-bratislava-vs-bc-prievidza/1624124639/,1.641,2.16,-2.5,1.833,2.5,1.9,162.0,1.869,162.0,1.869,2026-02-16 16:21:13
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.5,1.427,5.0,1.757,-5.0,1.917,169.0,1.884,169.0,1.781,2026-03-16 00:11:04
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.5,1.427,5.0,1.757,-5.0,1.917,169.0,1.884,169.0,1.781,2026-03-16 02:07:32
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.5,1.427,5.0,1.757,-5.0,1.917,169.0,1.884,169.0,1.781,2026-03-16 04:53:27
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.5,1.427,5.0,1.757,-5.0,1.917,169.0,1.884,169.0,1.781,2026-03-16 06:22:44
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.5,1.427,5.0,1.757,-5.0,1.917,169.0,1.884,169.0,1.781,2026-03-16 07:53:28
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.43,1.452,4.0,1.84,-4.0,1.826,169.0,1.884,169.0,1.781,2026-03-16 08:54:58
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.43,1.452,4.0,1.84,-4.0,1.826,169.0,1.884,169.0,1.781,2026-03-16 10:04:22
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.41,1.462,4.0,1.826,-4.0,1.833,169.0,1.884,169.0,1.781,2026-03-16 10:59:56
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.3,1.51,4.0,1.775,-4.0,1.892,169.0,1.884,169.0,1.781,2026-03-16 11:56:51
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.25,1.595,3.0,1.884,-3.0,1.854,169.0,1.925,169.0,1.819,2026-03-16 12:55:14
MBK Lucenec,BC Prievidza,https://www.pinnacle.com/en/basketball/slovakia-extraliga/mbk-lucenec-vs-bc-prievidza/1626082825/,2.13,1.657,2.0,1.909,-2.0,1.833,169.0,1.925,169.0,1.813,2026-03-16 14:10:50
BK 04 AC LB Spisska Nova Ves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-04-ac-lb-spisska-nova-ves-vs-pk-patrioti-levice/1628669132/,4.32,1.122,11.0,1.819,-11.0,1.847,173.5,1.84,173.5,1.826,2026-04-20 07:45:04
BK 04 AC LB Spisska Nova Ves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-04-ac-lb-spisska-nova-ves-vs-pk-patrioti-levice/1628669132/,4.35,1.157,10.0,1.884,-10.0,1.854,173.0,1.869,173.0,1.869,2026-04-20 12:33:52
BK 04 AC LB Spisska Nova Ves,PK Patrioti Levice,https://www.pinnacle.com/en/basketball/slovakia-extraliga/bk-04-ac-lb-spisska-nova-ves-vs-pk-patrioti-levice/1628669132/,7.490,1.021,+17.5,1.819,-17.5,1.847,173,1.877,173,1.862,2026-04-20 15:49:15
