Market,Selection,Odds,matchup,timestamp
Handicap – Game,Slavia Banska Bystrica -23.5,1.833,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 05:48:44
Handicap – Game,BK Slovan Bratislava +23.5,1.763,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 05:48:44
Total – Game,Over 137,1.819,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 05:48:44
Total – Game,Under 137,1.775,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 05:48:44
Handicap – Game,Slavia Banska Bystrica -23.5,1.833,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 06:55:25
Handicap – Game,BK Slovan Bratislava +23.5,1.763,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 06:55:25
Total – Game,Over 137,1.819,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 06:55:25
Total – Game,Under 137,1.775,Slavia Banska Bystrica vs BK Slovan Bratislava,2025-11-25 06:55:25
Handicap – Game,BK SK Umb Banska Bystrica -29.0,1.884,BK SK Umb Banska Bystrica vs AS Trencin,2026-01-08 17:21:53
Handicap – Game,AS Trencin +29.0,1.787,BK SK Umb Banska Bystrica vs AS Trencin,2026-01-08 17:21:53
Total – Game,Over 129.5,1.917,BK SK Umb Banska Bystrica vs AS Trencin,2026-01-08 17:21:53
Total – Game,Under 129.5,1.757,BK SK Umb Banska Bystrica vs AS Trencin,2026-01-08 17:21:53
Money Line – Game,BK Slovan Bratislava,8.15,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Money Line – Game,Slavia Banska Bystrica,1.015,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Handicap – Game,BK Slovan Bratislava +20.0,1.781,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Handicap – Game,Slavia Banska Bystrica -20.0,1.884,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Total – Game,Over 125,1.826,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Total – Game,Under 125,1.84,BK Slovan Bratislava vs Slavia Banska Bystrica,2026-02-25 17:47:36
Money Line – Game,Piestanske Cajky,1.058,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Money Line – Game,Slavia Banska Bystrica,4.89,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Handicap – Game,Piestanske Cajky -12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Handicap – Game,Slavia Banska Bystrica +12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Total – Game,Over 137.5,1.826,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Total – Game,Under 137.5,1.769,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 01:33:03
Money Line – Game,Young Angels Kosice,1.588,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Money Line – Game,BK Slovan Bratislava,2.07,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Handicap – Game,Young Angels Kosice -3.0,1.84,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Handicap – Game,BK Slovan Bratislava +3.0,1.763,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Total – Game,Over 128,1.884,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Total – Game,Under 128,1.719,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 01:33:03
Handicap – Game,SBK Samorin +44.0,2.56,SBK Samorin vs MBK Ruzomberok,2026-03-03 04:00:53
Handicap – Game,MBK Ruzomberok -44.0,1.362,SBK Samorin vs MBK Ruzomberok,2026-03-03 04:00:53
Total – Game,Over 137.5,1.869,SBK Samorin vs MBK Ruzomberok,2026-03-03 04:00:53
Total – Game,Under 137.5,1.884,SBK Samorin vs MBK Ruzomberok,2026-03-03 04:00:53
Money Line – Game,Piestanske Cajky,1.058,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Money Line – Game,Slavia Banska Bystrica,4.89,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Handicap – Game,Piestanske Cajky -12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Handicap – Game,Slavia Banska Bystrica +12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Total – Game,Over 137.5,1.826,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Total – Game,Under 137.5,1.769,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 04:00:53
Money Line – Game,Young Angels Kosice,1.588,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Money Line – Game,BK Slovan Bratislava,2.07,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Handicap – Game,Young Angels Kosice -3.0,1.84,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Handicap – Game,BK Slovan Bratislava +3.0,1.763,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Total – Game,Over 128,1.884,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Total – Game,Under 128,1.719,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 04:00:53
Money Line – Game,Piestanske Cajky,1.058,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Money Line – Game,Slavia Banska Bystrica,4.89,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Handicap – Game,Piestanske Cajky -12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Handicap – Game,Slavia Banska Bystrica +12.5,1.8,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Total – Game,Over 137.5,1.826,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Total – Game,Under 137.5,1.769,Piestanske Cajky vs Slavia Banska Bystrica,2026-03-03 05:16:23
Money Line – Game,Young Angels Kosice,1.588,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 05:16:23
Money Line – Game,BK Slovan Bratislava,2.07,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 05:16:23
Handicap – Game,Young Angels Kosice -3.0,1.84,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 05:16:23
Handicap – Game,BK Slovan Bratislava +3.0,1.763,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 05:16:23
Total – Game,Over 128,1.884,Young Angels Kosice vs BK Slovan Bratislava,2026-03-03 05:16:23
