team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 03:41:04
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 05:48:44
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 06:02:51
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 06:55:25
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 07:35:50
Slavia Banska Bystrica,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/slavia-banska-bystrica-vs-bk-slovan-bratislava/1620020637/,,,-23.5,1.833,23.5,1.763,137.0,1.819,137.0,1.775,2025-11-25 08:04:00
BK SK Umb Banska Bystrica,AS Trencin,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/bk-sk-umb-banska-bystrica-vs-as-trencin/1621847688/,,,-29.0,1.884,29.0,1.787,129.5,1.917,129.5,1.757,2026-01-08 17:21:53
BK Slovan Bratislava,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/bk-slovan-bratislava-vs-slavia-banska-bystrica/1624444955/,8.15,1.015,20.0,1.781,-20.0,1.884,125.0,1.826,125.0,1.84,2026-02-25 17:47:36
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.57,-44.0,1.359,137.5,1.869,137.5,1.884,2026-03-03 01:33:03
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 01:33:03
Young Angels Kosice,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/young-angels-kosice-vs-bk-slovan-bratislava/1624804808/,1.588,2.07,-3.0,1.84,3.0,1.763,128.0,1.884,128.0,1.719,2026-03-03 01:33:03
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.56,-44.0,1.362,137.5,1.869,137.5,1.884,2026-03-03 04:00:53
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 04:00:53
Young Angels Kosice,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/young-angels-kosice-vs-bk-slovan-bratislava/1624804808/,1.588,2.07,-3.0,1.84,3.0,1.763,128.0,1.884,128.0,1.719,2026-03-03 04:00:53
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 05:16:23
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.56,-44.0,1.362,137.5,1.869,137.5,1.884,2026-03-03 05:16:23
Young Angels Kosice,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/young-angels-kosice-vs-bk-slovan-bratislava/1624804808/,1.588,2.07,-3.0,1.84,3.0,1.763,128.0,1.884,128.0,1.719,2026-03-03 05:16:23
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 06:08:26
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.53,-44.0,1.371,137.5,1.869,137.5,1.884,2026-03-03 06:08:26
Young Angels Kosice,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/young-angels-kosice-vs-bk-slovan-bratislava/1624804808/,1.588,2.07,-3.0,1.84,3.0,1.763,128.0,1.884,128.0,1.719,2026-03-03 06:08:26
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 07:14:51
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.53,-44.0,1.371,137.5,1.869,137.5,1.735,2026-03-03 07:14:51
Young Angels Kosice,BK Slovan Bratislava,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/young-angels-kosice-vs-bk-slovan-bratislava/1624804808/,1.584,2.07,-3.0,1.833,3.0,1.769,129.0,1.8,129.0,1.8,2026-03-03 07:14:51
SBK Samorin,MBK Ruzomberok,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/sbk-samorin-vs-mbk-ruzomberok/1624812923/,,,44.0,2.53,-44.0,1.371,137.5,1.862,137.5,1.74,2026-03-03 09:30:43
Piestanske Cajky,Slavia Banska Bystrica,https://www.pinnacle.com/en/basketball/slovakia-extraliga-women/piestanske-cajky-vs-slavia-banska-bystrica/1624812903/,1.058,4.89,-12.5,1.8,12.5,1.8,137.5,1.826,137.5,1.769,2026-03-03 09:30:43
