team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
ZKD Ilirija,Domel,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-ilirija-vs-domel/1618717777/,1.033,6.66,-15.0,1.751,15.0,1.917,130.0,1.751,130.0,1.917,2025-11-07 19:46:19
ZKD Ilirija,Domel,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-ilirija-vs-domel/1618717777/,1.033,6.66,-15.0,1.751,15.0,1.917,130.0,1.751,130.0,1.917,2025-11-07 19:55:31
ZKK Celje,Domel,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkk-celje-vs-domel/1619178079/,,,-42.5,1.869,42.5,1.8,144.0,1.8,144.0,1.869,2025-11-13 17:36:22
ZKK Celje,Domel,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkk-celje-vs-domel/1619178079/,,,-40.0,1.909,40.0,1.763,143.0,1.826,143.0,1.84,2025-11-13 17:53:29
Triglav,ZKD Jezica,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/triglav-vs-zkd-jezica/1620344948/,1.018,7.8,-19.0,1.884,19.0,1.787,134.0,1.84,134.0,1.826,2025-12-04 17:16:39
Triglav,ZKD Jezica,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/triglav-vs-zkd-jezica/1620344948/,1.022,7.44,-17.5,1.833,17.5,1.833,134.0,1.884,134.0,1.781,2025-12-04 18:02:45
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.769,1.833,-1.5,1.84,1.5,1.757,132.5,1.884,132.5,1.724,2026-02-24 02:34:30
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 05:54:55
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 06:45:37
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 07:57:14
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 09:18:48
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 11:12:07
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 12:13:08
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.763,1.833,-1.5,1.847,1.5,1.757,131.0,1.8,131.0,1.8,2026-02-24 14:11:30
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.793,1.869,-1.5,1.884,1.5,1.787,131.0,1.833,131.0,1.833,2026-02-24 16:27:52
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.793,1.869,-1.5,1.884,1.5,1.787,131.0,1.833,131.0,1.833,2026-02-24 17:31:56
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.735,1.943,-1.5,1.813,1.5,1.854,131.0,1.833,131.0,1.833,2026-02-24 18:17:52
ZKD Maribor,ZKD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-1skl-women/zkd-maribor-vs-zkd-ilirija/1624367607/,1.735,1.943,-1.5,1.813,1.5,1.854,131.0,1.833,131.0,1.833,2026-02-24 19:22:25
