team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Krka Novo Mesto,Kk Rogaska,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-krka-novo-mesto-vs-kk-rogaska/1621818925/,1.019,10.07,-20.5,1.869,20.5,1.869,166.5,1.819,166.5,1.917,2026-01-06 17:46:30
KK Krka Novo Mesto,Kk Rogaska,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-krka-novo-mesto-vs-kk-rogaska/1621818925/,1.019,10.07,-20.5,1.869,20.5,1.869,166.5,1.819,166.5,1.917,2026-01-06 17:52:29
KK Krka Novo Mesto,Kk Rogaska,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-krka-novo-mesto-vs-kk-rogaska/1621818925/,1.019,10.07,-20.5,1.869,20.5,1.869,166.5,1.819,166.5,1.917,2026-01-06 18:02:51
Zlatorog Lasko,Helios Domzale,https://www.pinnacle.com/en/basketball/slovenia-cup/zlatorog-lasko-vs-helios-domzale/1623527633/,3.12,1.31,7.0,1.862,-7.0,1.877,170.0,1.862,170.0,1.877,2026-02-10 17:06:03
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.039,6.36,-14.5,1.819,14.5,1.847,167.5,1.84,167.5,1.826,2026-02-16 01:53:36
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.039,6.36,-14.5,1.819,14.5,1.847,167.5,1.84,167.5,1.826,2026-02-16 04:26:12
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.039,6.36,-14.5,1.819,14.5,1.847,167.5,1.84,167.5,1.826,2026-02-16 06:04:35
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.039,6.36,-14.5,1.819,14.5,1.847,167.5,1.84,167.5,1.826,2026-02-16 07:02:00
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.039,6.36,-14.5,1.819,14.5,1.847,167.5,1.84,167.5,1.826,2026-02-16 08:02:14
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.04,6.34,-14.5,1.833,14.5,1.833,167.5,1.833,167.5,1.833,2026-02-16 09:35:40
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.04,6.34,-14.5,1.833,14.5,1.833,167.5,1.833,167.5,1.833,2026-02-16 10:34:13
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.048,5.98,-13.5,1.869,13.5,1.8,167.5,1.862,167.5,1.806,2026-02-16 12:02:56
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.061,6.63,-13.5,1.909,13.5,1.833,167.5,1.9,167.5,1.84,2026-02-16 13:05:09
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.061,6.63,-13.5,1.909,13.5,1.833,167.5,1.9,167.5,1.84,2026-02-16 14:04:28
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.056,6.86,-13.5,1.806,13.5,1.934,167.5,1.877,167.5,1.862,2026-02-16 15:51:47
KK Cedevita Olimpija Ljubljana,KD Ilirija,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-cedevita-olimpija-ljubljana-vs-kd-ilirija/1623892682/,1.067,6.36,-13.5,1.833,13.5,1.909,167.5,1.884,167.5,1.854,2026-02-16 16:21:24
KK Sencur,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-cup/kk-sencur-vs-kk-krka-novo-mesto/1624077535/,4.780,1.129,+10.5,1.833,-10.5,1.900,165.5,1.847,165.5,1.892,2026-02-19 18:10:45
