team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 01:56:02
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 02:02:57
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 03:08:23
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 03:47:13
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 03:52:15
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 04:00:38
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 04:07:01
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 04:33:26
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 04:41:09
KK Cedevita Olimpija Ljubljana,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/slovenia-super-cup/kk-cedevita-olimpija-ljubljana-vs-kk-krka-novo-mesto/1615985905/,1.14,3.71,-9.5,1.787,9.5,1.813,163.5,1.8,163.5,1.8,2025-09-23 05:06:32
