Market,Selection,Odds,matchup,timestamp
Money Line – Game,Club Joventut Badalona,1.344,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Total – Game,Under 170,1.925,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Total – Game,Over 170,1.877,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Handicap – Game,Barcelona +4.5,1.925,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Handicap – Game,Unicaja Malaga -4.5,1.877,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Money Line – Game,Barcelona,2.62,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Money Line – Game,Unicaja Malaga,1.492,Unicaja Malaga vs Barcelona,2025-10-18 22:32:26
Total – Game,Over 179,1.84,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Handicap – Game,Valencia BC -6.5,1.925,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Handicap – Game,Forca Lleida +6.5,1.877,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Money Line – Game,Valencia BC,1.35,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Money Line – Game,Forca Lleida,3.2,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Total – Game,Under 179,1.961,Forca Lleida vs Valencia BC,2025-10-18 22:32:26
Total – Game,Over 174.5,1.98,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Total – Game,Under 174.5,1.833,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Handicap – Game,Club Joventut Badalona -7.0,1.99,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Handicap – Game,Bilbao Basket +7.0,1.819,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Total – Game,Over 166,1.909,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Total – Game,Under 166,1.892,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Money Line – Game,Bilbao Basket,3.23,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:32:26
Money Line – Game,CB San Pablo Burgos,8.68,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Handicap – Game,Real Madrid -15.5,1.961,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Handicap – Game,CB San Pablo Burgos +15.5,1.847,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Money Line – Game,Real Madrid,1.075,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:32:26
Money Line – Game,Valencia BC,1.35,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Total – Game,Under 170,1.943,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Total – Game,Over 170,1.862,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Handicap – Game,Barcelona +4.5,1.934,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Handicap – Game,Unicaja Malaga -4.5,1.869,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Money Line – Game,Barcelona,2.63,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Money Line – Game,Unicaja Malaga,1.487,Unicaja Malaga vs Barcelona,2025-10-18 22:43:19
Total – Game,Under 179,1.961,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Handicap – Game,Valencia BC -6.5,1.925,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Handicap – Game,Forca Lleida +6.5,1.877,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Money Line – Game,Forca Lleida,3.2,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Total – Game,Over 179,1.84,Forca Lleida vs Valencia BC,2025-10-18 22:43:19
Total – Game,Over 174.5,1.98,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:43:19
Money Line – Game,Club Joventut Badalona,1.344,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:43:19
Money Line – Game,Bilbao Basket,3.23,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:43:19
Total – Game,Under 174.5,1.833,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:43:19
Handicap – Game,Bilbao Basket +7.0,1.819,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:43:19
Total – Game,Over 166,1.909,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:43:19
Handicap – Game,Club Joventut Badalona -7.0,1.99,Club Joventut Badalona vs Bilbao Basket,2025-10-18 22:43:19
Money Line – Game,Real Madrid,1.075,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:43:19
Money Line – Game,CB San Pablo Burgos,8.68,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:43:19
Handicap – Game,Real Madrid -15.5,1.961,Real Madrid vs CB San Pablo Burgos,2025-10-18 22:43:19
