team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.344,3.23,-7.0,1.99,7.0,1.819,166.0,1.909,166.0,1.892,2025-10-18 22:32:26
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.68,-15.5,1.961,15.5,1.847,174.5,1.98,174.5,1.833,2025-10-18 22:32:26
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.84,179.0,1.961,2025-10-18 22:32:26
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.72,1.46,5.5,1.806,-5.5,2.01,175.5,1.925,175.5,1.877,2025-10-18 22:32:26
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.492,2.62,-4.5,1.877,4.5,1.925,170.0,1.877,170.0,1.925,2025-10-18 22:32:26
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.492,2.62,-4.5,1.877,4.5,1.925,170.0,1.877,170.0,1.925,2025-10-18 22:43:19
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.84,179.0,1.961,2025-10-18 22:43:19
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.72,1.46,5.5,1.806,-5.5,2.01,175.5,1.925,175.5,1.877,2025-10-18 22:43:19
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.344,3.23,-7.0,1.99,7.0,1.819,166.0,1.909,166.0,1.892,2025-10-18 22:43:19
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.68,-15.5,1.961,15.5,1.847,174.5,1.98,174.5,1.833,2025-10-18 22:43:19
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.344,3.23,-7.0,1.99,7.0,1.819,166.0,1.909,166.0,1.892,2025-10-18 22:58:10
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.68,-15.5,1.961,15.5,1.847,174.5,1.98,174.5,1.833,2025-10-18 22:58:10
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.854,179.0,1.952,2025-10-18 22:58:10
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.72,1.46,5.5,1.806,-5.5,2.01,175.5,1.925,175.5,1.877,2025-10-18 22:58:10
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.478,2.66,-4.5,1.854,4.5,1.952,170.0,1.862,170.0,1.943,2025-10-18 22:58:10
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.478,2.66,-4.5,1.854,4.5,1.952,170.0,1.862,170.0,1.943,2025-10-18 23:25:01
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.72,1.46,5.5,1.806,-5.5,2.01,175.5,1.925,175.5,1.877,2025-10-18 23:25:01
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.854,179.0,1.952,2025-10-18 23:25:01
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.61,-15.5,1.98,15.5,1.826,174.5,1.98,174.5,1.833,2025-10-18 23:25:01
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.344,3.23,-7.0,1.99,7.0,1.819,166.0,1.909,166.0,1.892,2025-10-18 23:25:01
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.342,3.25,-7.0,1.98,7.0,1.826,166.0,1.877,166.0,1.925,2025-10-18 23:42:19
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.61,-15.5,1.98,15.5,1.826,174.5,1.98,174.5,1.833,2025-10-18 23:42:19
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.854,179.0,1.952,2025-10-18 23:42:19
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.65,1.483,4.5,1.917,-4.5,1.884,175.5,1.892,175.5,1.909,2025-10-18 23:42:19
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.478,2.66,-4.5,1.854,4.5,1.952,170.0,1.862,170.0,1.943,2025-10-18 23:42:19
Unicaja Malaga,Barcelona,https://www.pinnacle.com/en/basketball/spain-acb/unicaja-malaga-vs-barcelona/1617566143/,1.478,2.66,-4.5,1.854,4.5,1.952,170.0,1.862,170.0,1.943,2025-10-18 23:56:24
Granada,Baskonia Vitoria Gasteiz,https://www.pinnacle.com/en/basketball/spain-acb/granada-vs-baskonia-vitoria-gasteiz/1617566115/,2.65,1.483,4.5,1.917,-4.5,1.884,175.5,1.892,175.5,1.909,2025-10-18 23:56:24
Real Madrid,CB San Pablo Burgos,https://www.pinnacle.com/en/basketball/spain-acb/real-madrid-vs-cb-san-pablo-burgos/1617534977/,1.075,8.61,-15.5,1.98,15.5,1.826,174.5,1.98,174.5,1.833,2025-10-18 23:56:24
Club Joventut Badalona,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-acb/club-joventut-badalona-vs-bilbao-basket/1617535105/,1.342,3.25,-7.0,1.98,7.0,1.826,166.0,1.877,166.0,1.925,2025-10-18 23:56:24
Forca Lleida,Valencia BC,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-valencia-bc/1617557384/,3.2,1.35,6.5,1.877,-6.5,1.925,179.0,1.854,179.0,1.952,2025-10-18 23:56:24
Forca Lleida,Granada,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-granada/1617994077/,1.374,3.08,-6.0,1.917,6.0,1.884,166.5,1.98,166.5,1.826,2025-10-24 23:45:02
Barcelona,Breogan,https://www.pinnacle.com/en/basketball/spain-acb/barcelona-vs-breogan/1618022456/,1.075,8.64,-14.0,1.884,14.0,1.917,172.0,1.892,172.0,1.909,2025-10-24 23:45:02
La Laguna Tenerife,Unicaja Malaga,https://www.pinnacle.com/en/basketball/spain-acb/la-laguna-tenerife-vs-unicaja-malaga/1618022492/,1.689,2.17,-2.0,1.813,2.0,1.99,167.0,1.892,167.0,1.909,2025-10-24 23:45:02
CB San Pablo Burgos,Zaragoza,https://www.pinnacle.com/en/basketball/spain-acb/cb-san-pablo-burgos-vs-zaragoza/1618017252/,1.729,2.11,-2.5,1.943,2.5,1.862,180.5,1.952,180.5,1.854,2025-10-24 23:45:02
CB San Pablo Burgos,Zaragoza,https://www.pinnacle.com/en/basketball/spain-acb/cb-san-pablo-burgos-vs-zaragoza/1618017252/,1.729,2.11,-2.5,1.943,2.5,1.862,180.5,1.952,180.5,1.854,2025-10-24 23:59:04
La Laguna Tenerife,Unicaja Malaga,https://www.pinnacle.com/en/basketball/spain-acb/la-laguna-tenerife-vs-unicaja-malaga/1618022492/,1.689,2.17,-2.0,1.813,2.0,1.99,167.0,1.892,167.0,1.909,2025-10-24 23:59:04
Forca Lleida,Granada,https://www.pinnacle.com/en/basketball/spain-acb/forca-lleida-vs-granada/1617994077/,1.374,3.08,-6.0,1.917,6.0,1.884,166.5,1.98,166.5,1.826,2025-10-24 23:59:04
Barcelona,Breogan,https://www.pinnacle.com/en/basketball/spain-acb/barcelona-vs-breogan/1618022456/,1.075,8.64,-14.0,1.884,14.0,1.917,172.0,1.892,172.0,1.909,2025-10-24 23:59:04
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 20:38:45
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 20:45:29
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 20:58:56
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 21:06:54
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 21:24:47
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 21:32:03
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 21:58:26
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 22:06:51
Basquet Girona,CB Gran Canaria,https://www.pinnacle.com/en/basketball/spain-acb/basquet-girona-vs-cb-gran-canaria/1618080213/,2.28,1.628,2.5,1.99,-2.5,1.819,169.0,1.869,169.0,1.934,2025-10-25 22:14:45
