Market,Selection,Odds,matchup,timestamp
Money Line – Game,Real Madrid,1.364,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Money Line – Game,Unicaja Malaga,3.22,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Handicap – Game,Real Madrid -6.5,1.943,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Handicap – Game,Unicaja Malaga +6.5,1.892,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Total – Game,Over 173.5,1.862,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Total – Game,Under 173.5,1.97,Real Madrid vs Unicaja Malaga,2026-02-19 18:07:13
Money Line – Game,Real Madrid,1.349,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Money Line – Game,Unicaja Malaga,3.3,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Handicap – Game,Real Madrid -6.5,1.9,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Handicap – Game,Unicaja Malaga +6.5,1.934,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Total – Game,Over 173.5,1.925,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Total – Game,Under 173.5,1.909,Real Madrid vs Unicaja Malaga,2026-02-19 19:28:06
Money Line – Game,Real Madrid,1.341,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Money Line – Game,Unicaja Malaga,3.36,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Handicap – Game,Real Madrid -6.5,1.892,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Handicap – Game,Unicaja Malaga +6.5,1.943,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Total – Game,Over 173.5,1.925,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Total – Game,Under 173.5,1.909,Real Madrid vs Unicaja Malaga,2026-02-19 19:58:34
Money Line – Game,Barcelona,1.355,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Money Line – Game,UCAM Murcia,3.27,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Handicap – Game,Barcelona -5.5,1.833,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Handicap – Game,UCAM Murcia +5.5,2.01,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Total – Game,Over 167,2.0,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Total – Game,Under 167,1.847,Barcelona vs UCAM Murcia,2026-02-20 19:19:55
Money Line – Game,Barcelona,1.364,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
Money Line – Game,UCAM Murcia,3.220,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
Handicap – Game,Barcelona -5.5,1.854,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
Handicap – Game,UCAM Murcia +5.5,1.990,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
Total – Game,Over 167,2.030,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
Total – Game,Under 167,1.819,Barcelona vs UCAM Murcia,2026-02-20 19:57:42
