team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Mataro,Benicarlo,https://www.pinnacle.com/en/basketball/spain-copa-espana/mataro-vs-benicarlo/1615840022/,1.606,2.04,-2.5,1.8,2.5,1.8,145.5,1.806,145.5,1.793,2025-09-20 16:33:36
Cbc Valladolid,Ponferrada,https://www.pinnacle.com/en/basketball/spain-copa-espana/cbc-valladolid-vs-ponferrada/1615838210/,1.442,2.34,-4.0,1.833,4.0,1.769,150.5,1.8,150.5,1.8,2025-09-20 16:33:36
Molina Basket,Albacete,https://www.pinnacle.com/en/basketball/spain-copa-espana/molina-basket-vs-albacete/1615845224/,2.31,1.458,3.5,1.862,-3.5,1.74,152.5,1.8,152.5,1.8,2025-09-20 16:33:36
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.25,1.202,7.5,1.806,-7.5,1.793,145.5,1.8,145.5,1.793,2025-09-20 16:33:36
Mataro,Benicarlo,https://www.pinnacle.com/en/basketball/spain-copa-espana/mataro-vs-benicarlo/1615840022/,1.606,2.04,-2.5,1.8,2.5,1.8,145.5,1.806,145.5,1.793,2025-09-20 16:51:11
Cbc Valladolid,Ponferrada,https://www.pinnacle.com/en/basketball/spain-copa-espana/cbc-valladolid-vs-ponferrada/1615838210/,1.442,2.34,-4.0,1.833,4.0,1.769,150.5,1.8,150.5,1.8,2025-09-20 16:51:11
Molina Basket,Albacete,https://www.pinnacle.com/en/basketball/spain-copa-espana/molina-basket-vs-albacete/1615845224/,2.31,1.458,3.5,1.862,-3.5,1.74,152.5,1.8,152.5,1.8,2025-09-20 16:51:11
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.25,1.202,7.5,1.806,-7.5,1.793,145.5,1.8,145.5,1.793,2025-09-20 16:51:11
Mataro,Benicarlo,https://www.pinnacle.com/en/basketball/spain-copa-espana/mataro-vs-benicarlo/1615840022/,1.606,2.04,-2.5,1.8,2.5,1.8,145.5,1.806,145.5,1.793,2025-09-20 17:03:05
Cbc Valladolid,Ponferrada,https://www.pinnacle.com/en/basketball/spain-copa-espana/cbc-valladolid-vs-ponferrada/1615838210/,1.442,2.34,-4.0,1.833,4.0,1.769,150.5,1.8,150.5,1.8,2025-09-20 17:03:05
Molina Basket,Albacete,https://www.pinnacle.com/en/basketball/spain-copa-espana/molina-basket-vs-albacete/1615845224/,2.31,1.458,3.5,1.862,-3.5,1.74,152.5,1.8,152.5,1.8,2025-09-20 17:03:05
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.25,1.202,7.5,1.806,-7.5,1.793,145.5,1.8,145.5,1.793,2025-09-20 17:03:05
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.25,1.202,7.5,1.806,-7.5,1.793,145.5,1.8,145.5,1.793,2025-09-20 17:25:12
Molina Basket,Albacete,https://www.pinnacle.com/en/basketball/spain-copa-espana/molina-basket-vs-albacete/1615845224/,2.31,1.458,3.5,1.862,-3.5,1.74,152.5,1.8,152.5,1.8,2025-09-20 17:25:12
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.36,1.224,7.5,1.84,-7.5,1.826,145.5,1.833,145.5,1.826,2025-09-20 17:43:51
CB Valle De Egues,Iraurgi SB,https://www.pinnacle.com/en/basketball/spain-copa-espana/cb-valle-de-egues-vs-iraurgi-sb/1615838211/,3.36,1.224,7.5,1.84,-7.5,1.826,145.5,1.833,145.5,1.826,2025-09-20 17:48:15
CD Leonesa Basket,Circulo Gijon,https://www.pinnacle.com/en/basketball/spain-copa-espana/cd-leonesa-basket-vs-circulo-gijon/1615918068/,1.103,4.62,-10.5,1.833,10.5,1.833,156.5,1.84,156.5,1.826,2025-09-21 16:31:08
Caceres Ciudad del Baloncesto,Cbc Valladolid,https://www.pinnacle.com/en/basketball/spain-copa-espana/caceres-ciudad-del-baloncesto-vs-cbc-valladolid/1615926573/,1.319,2.87,-5.5,1.833,5.5,1.833,151.5,1.84,151.5,1.826,2025-09-21 16:31:08
Caceres Ciudad del Baloncesto,Cbc Valladolid,https://www.pinnacle.com/en/basketball/spain-copa-espana/caceres-ciudad-del-baloncesto-vs-cbc-valladolid/1615926573/,1.319,2.87,-5.5,1.833,5.5,1.833,151.5,1.84,151.5,1.826,2025-09-21 16:47:14
Caceres Ciudad del Baloncesto,Cbc Valladolid,https://www.pinnacle.com/en/basketball/spain-copa-espana/caceres-ciudad-del-baloncesto-vs-cbc-valladolid/1615926573/,1.319,2.87,-5.5,1.833,5.5,1.833,151.5,1.84,151.5,1.826,2025-09-21 16:51:19
