Market,Selection,Odds,matchup,timestamp
Money Line – Game,Fundacion Navarra Baloncesto Ardoi,3.01,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Money Line – Game,Celta Baloncesto,1.286,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Handicap – Game,Fundacion Navarra Baloncesto Ardoi +6.5,1.84,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Handicap – Game,Celta Baloncesto -6.5,1.826,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Total – Game,Over 134.5,1.884,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Total – Game,Under 134.5,1.787,Fundacion Navarra Baloncesto Ardoi vs Celta Baloncesto,2025-11-04 18:46:27
Money Line – Game,Al-Qazeres,1.059,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Money Line – Game,Santfeliuenc,5.6,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Handicap – Game,Al-Qazeres -13.0,1.862,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Handicap – Game,Santfeliuenc +13.0,1.806,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Total – Game,Over 136,1.819,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Total – Game,Under 136,1.847,Al-Qazeres vs Santfeliuenc,2025-12-08 17:15:44
Money Line – Game,Unicaja Malaga,5.94,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Money Line – Game,Fcb Mallorca,1.049,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Handicap – Game,Unicaja Malaga +15.0,1.862,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Handicap – Game,Fcb Mallorca -15.0,1.806,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Total – Game,Over 148,1.826,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Total – Game,Under 148,1.84,Unicaja Malaga vs Fcb Mallorca,2026-03-05 18:25:59
Money Line – Game,Fundacion Navarra Baloncesto Ardoi,1.155,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Money Line – Game,CD Adareva,3.58,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Handicap – Game,Fundacion Navarra Baloncesto Ardoi -8.0,1.833,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Handicap – Game,CD Adareva +8.0,1.769,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Total – Game,Over 136.5,1.892,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Total – Game,Under 136.5,1.719,Fundacion Navarra Baloncesto Ardoi vs CD Adareva,2026-04-05 23:38:22
Money Line – Game,CD Adareva,2.330,CD Adareva vs Iraurgi,2026-04-11 18:49:48
Money Line – Game,Iraurgi,1.500,CD Adareva vs Iraurgi,2026-04-11 18:49:48
Handicap – Game,CD Adareva +4.0,1.813,CD Adareva vs Iraurgi,2026-04-11 18:49:48
Handicap – Game,Iraurgi -4.0,1.854,CD Adareva vs Iraurgi,2026-04-11 18:49:48
Total – Game,Over 134,1.909,CD Adareva vs Iraurgi,2026-04-11 18:49:48
Total – Game,Under 134,1.763,CD Adareva vs Iraurgi,2026-04-11 18:49:48
