team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Fundacion Navarra Baloncesto Ardoi,Celta Baloncesto,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/fundacion-navarra-baloncesto-ardoi-vs-celta-baloncesto/1618944872/,3.01,1.286,6.5,1.84,-6.5,1.826,134.5,1.884,134.5,1.787,2025-11-04 18:46:27
Fundacion Navarra Baloncesto Ardoi,Celta Baloncesto,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/fundacion-navarra-baloncesto-ardoi-vs-celta-baloncesto/1618944872/,3.01,1.286,6.5,1.84,-6.5,1.826,134.5,1.884,134.5,1.787,2025-11-04 19:07:10
Fundacion Navarra Baloncesto Ardoi,Celta Baloncesto,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/fundacion-navarra-baloncesto-ardoi-vs-celta-baloncesto/1618944872/,2.68,1.369,5.0,1.819,-5.0,1.847,134.5,1.9,134.5,1.769,2025-11-04 19:26:33
CD Adareva,Fundacion Navarra Baloncesto Ardoi,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/cd-adareva-vs-fundacion-navarra-baloncesto-ardoi/1619940469/,1.606,2.12,-3.0,1.869,3.0,1.793,132.5,1.813,132.5,1.854,2025-11-22 20:00:27
NBF Castello,CD Adareva,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/nbf-castello-vs-cd-adareva/1620981447/,1.826,1.775,1.0,1.787,-1.0,1.813,127.5,1.813,127.5,1.787,2025-12-07 23:46:20
NBF Castello,CD Adareva,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/nbf-castello-vs-cd-adareva/1620981447/,1.826,1.775,1.0,1.787,-1.0,1.813,127.5,1.813,127.5,1.787,2025-12-07 23:58:28
Al-Qazeres,Santfeliuenc,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/al-qazeres-vs-santfeliuenc/1620988820/,1.059,5.6,-13.0,1.862,13.0,1.806,136.0,1.819,136.0,1.847,2025-12-08 17:15:44
Al-Qazeres,Santfeliuenc,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/al-qazeres-vs-santfeliuenc/1620988820/,1.059,5.6,-13.0,1.862,13.0,1.806,136.0,1.819,136.0,1.847,2025-12-08 17:42:50
Al-Qazeres,Santfeliuenc,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/al-qazeres-vs-santfeliuenc/1620988820/,1.14,4.09,-9.5,1.847,9.5,1.819,136.0,1.909,136.0,1.763,2025-12-08 18:00:14
Unicaja Malaga,Fcb Mallorca,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/unicaja-malaga-vs-fcb-mallorca/1625387804/,5.94,1.049,15.0,1.862,-15.0,1.806,148.0,1.826,148.0,1.84,2026-03-05 18:25:59
Fundacion Navarra Baloncesto Ardoi,CD Adareva,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/fundacion-navarra-baloncesto-ardoi-vs-cd-adareva/1627719492/,1.155,3.58,-8.0,1.833,8.0,1.769,136.5,1.892,136.5,1.719,2026-04-05 23:38:22
CD Adareva,Iraurgi,https://www.pinnacle.com/en/basketball/spain-lf-challenge-women/cd-adareva-vs-iraurgi/1628069828/,2.330,1.500,+4.0,1.813,-4.0,1.854,134,1.909,134,1.763,2026-04-11 18:49:48
