Market,Selection,Odds,matchup,timestamp
Money Line – Game,Oviedo BC,3.77,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Money Line – Game,CB Estudiantes,1.257,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Handicap – Game,Oviedo BC +7.5,2.0,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Handicap – Game,CB Estudiantes -7.5,1.826,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Total – Game,Over 162,1.892,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Total – Game,Under 162,1.925,Oviedo BC vs CB Estudiantes,2025-09-26 18:42:16
Money Line – Game,Tizona Burgos,1.355,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Money Line – Game,Club Melilla Baloncesto,3.14,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Handicap – Game,Tizona Burgos -6.0,1.925,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Handicap – Game,Club Melilla Baloncesto +6.0,1.892,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Total – Game,Over 171.5,1.952,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Total – Game,Under 171.5,1.869,Tizona Burgos vs Club Melilla Baloncesto,2025-09-26 18:42:16
Total – Game,Over 162,1.909,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Handicap – Game,FC Cartagena CB +14.0,1.877,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Total – Game,Under 162,1.909,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Money Line – Game,FC Cartagena CB,7.53,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Money Line – Game,CD Maristas Palencia,1.075,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Handicap – Game,CD Maristas Palencia -14.0,1.943,CD Maristas Palencia vs FC Cartagena CB,2025-10-03 18:41:39
Money Line – Game,Tizona Burgos,1.847,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Money Line – Game,Baloncesto Fuenlabrada,1.98,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Handicap – Game,Tizona Burgos -1.0,1.884,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Handicap – Game,Baloncesto Fuenlabrada +1.0,1.934,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Total – Game,Over 173,1.925,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Total – Game,Under 173,1.892,Tizona Burgos vs Baloncesto Fuenlabrada,2025-10-10 18:42:29
Total – Game,Under 161.5,1.9,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Total – Game,Over 161.5,1.917,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Handicap – Game,Zamora +2.5,1.943,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Money Line – Game,Zamora,2.18,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Money Line – Game,Fibwi Palma,1.694,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Handicap – Game,Fibwi Palma -2.5,1.869,Fibwi Palma vs Zamora,2025-10-19 17:05:16
Total – Game,Over 163.5,1.909,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Money Line – Game,CD Maristas Palencia,1.115,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Money Line – Game,Oviedo BC,5.95,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Handicap – Game,CD Maristas Palencia -11.5,1.884,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Handicap – Game,Oviedo BC +11.5,1.934,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Total – Game,Under 163.5,1.909,CD Maristas Palencia vs Oviedo BC,2025-11-14 19:59:23
Money Line – Game,HLA Alicante,1.246,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Money Line – Game,Oviedo BC,3.87,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Handicap – Game,HLA Alicante -8.0,1.892,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Handicap – Game,Oviedo BC +8.0,1.925,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Total – Game,Over 164.5,1.943,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Total – Game,Under 164.5,1.877,HLA Alicante vs Oviedo BC,2025-12-12 19:42:20
Money Line – Game,CD Maristas Palencia,1.113,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Money Line – Game,San Sebastian Gipuzkoa BC,6.0,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Handicap – Game,CD Maristas Palencia -11.5,1.934,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Handicap – Game,San Sebastian Gipuzkoa BC +11.5,1.884,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Total – Game,Over 158,1.909,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Total – Game,Under 158,1.909,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:42:20
Money Line – Game,CD Maristas Palencia,1.094,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Money Line – Game,San Sebastian Gipuzkoa BC,6.65,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Handicap – Game,CD Maristas Palencia -12.5,1.877,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Handicap – Game,San Sebastian Gipuzkoa BC +12.5,1.943,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Total – Game,Over 158,1.9,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Total – Game,Under 158,1.917,CD Maristas Palencia vs San Sebastian Gipuzkoa BC,2025-12-12 19:58:31
Money Line – Game,FC Cartagena CB,1.411,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Money Line – Game,CD Estela,2.89,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Handicap – Game,FC Cartagena CB -4.5,1.84,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Handicap – Game,CD Estela +4.5,1.99,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Total – Game,Over 161.5,1.917,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Total – Game,Under 161.5,1.9,FC Cartagena CB vs CD Estela,2025-12-17 19:19:04
Money Line – Game,Hestia Menorca,2.88,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Money Line – Game,CB Estudiantes,1.413,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Handicap – Game,Hestia Menorca +5.5,1.826,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Handicap – Game,CB Estudiantes -5.5,2.0,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Total – Game,Over 160,1.917,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Total – Game,Under 160,1.892,Hestia Menorca vs CB Estudiantes,2025-12-17 19:19:04
Money Line – Game,Leyma Basquet Coruna,1.077,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Money Line – Game,Club Ourense Baloncesto Sad,7.42,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Handicap – Game,Leyma Basquet Coruna -14.0,1.943,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Handicap – Game,Club Ourense Baloncesto Sad +14.0,1.877,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Total – Game,Over 168,1.877,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Total – Game,Under 168,1.943,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:19:04
Money Line – Game,Leyma Basquet Coruna,1.077,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Money Line – Game,Club Ourense Baloncesto Sad,7.42,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Handicap – Game,Leyma Basquet Coruna -14.0,1.943,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Handicap – Game,Club Ourense Baloncesto Sad +14.0,1.877,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Total – Game,Over 168,1.877,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Total – Game,Under 168,1.943,Leyma Basquet Coruna vs Club Ourense Baloncesto Sad,2025-12-17 19:42:03
Money Line – Game,CD Maristas Palencia,1.076,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Money Line – Game,Tizona Burgos,7.43,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Handicap – Game,CD Maristas Palencia -13.5,1.884,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Handicap – Game,Tizona Burgos +13.5,1.934,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Total – Game,Over 171,1.909,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Total – Game,Under 171,1.909,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:33:03
Money Line – Game,CD Maristas Palencia,1.076,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Money Line – Game,Tizona Burgos,7.43,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Handicap – Game,CD Maristas Palencia -13.5,1.884,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Handicap – Game,Tizona Burgos +13.5,1.934,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Total – Game,Over 171,1.909,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Total – Game,Under 171,1.909,CD Maristas Palencia vs Tizona Burgos,2025-12-28 17:48:53
Money Line – Game,Leyma Basquet Coruna,1.048,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Money Line – Game,Fibwi Palma,9.5,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Handicap – Game,Leyma Basquet Coruna -16.5,1.854,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Handicap – Game,Fibwi Palma +16.5,1.961,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Total – Game,Over 172.5,1.97,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Total – Game,Under 172.5,1.854,Leyma Basquet Coruna vs Fibwi Palma,2026-01-16 19:31:29
Money Line – Game,CD Maristas Palencia,1.144,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Money Line – Game,Club Ourense Baloncesto Sad,5.24,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Handicap – Game,CD Maristas Palencia -10.5,1.934,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Handicap – Game,Club Ourense Baloncesto Sad +10.5,1.884,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Total – Game,Over 162.5,1.884,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Total – Game,Under 162.5,1.934,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:31:29
Money Line – Game,CD Maristas Palencia,1.144,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Money Line – Game,Club Ourense Baloncesto Sad,5.24,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Handicap – Game,CD Maristas Palencia -10.5,1.934,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Handicap – Game,Club Ourense Baloncesto Sad +10.5,1.884,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Total – Game,Over 162.5,1.884,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Total – Game,Under 162.5,1.934,CD Maristas Palencia vs Club Ourense Baloncesto Sad,2026-01-16 19:52:14
Money Line – Game,Baloncesto Fuenlabrada,1.245,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Money Line – Game,Club Ourense Baloncesto Sad,3.87,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Handicap – Game,Baloncesto Fuenlabrada -8.0,1.952,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Handicap – Game,Club Ourense Baloncesto Sad +8.0,1.869,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Total – Game,Over 162.5,1.98,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Total – Game,Under 162.5,1.84,Baloncesto Fuenlabrada vs Club Ourense Baloncesto Sad,2026-02-04 18:38:25
Money Line – Game,Obradoiro CAB,1.114,Obradoiro CAB vs Hestia Menorca,2026-02-10 17:06:08
Money Line – Game,Hestia Menorca,5.97,Obradoiro CAB vs Hestia Menorca,2026-02-10 17:06:08
Handicap – Game,Obradoiro CAB -11.5,1.892,Obradoiro CAB vs Hestia Menorca,2026-02-10 17:06:08
