Market,Selection,Odds,matchup,timestamp
Money Line – Game,Lerida,3.12,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Money Line – Game,UCAM Murcia,1.265,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Handicap – Game,Lerida +6.5,1.833,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Handicap – Game,UCAM Murcia -6.5,1.833,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Total – Game,Over 153.5,1.84,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Total – Game,Under 153.5,1.826,Lerida vs UCAM Murcia,2026-02-13 19:28:13
Money Line – Game,Zaragoza,1.049,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Money Line – Game,Baxi Manresa,5.09,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Handicap – Game,Zaragoza -12.5,1.8,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Handicap – Game,Baxi Manresa +12.5,1.8,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Total – Game,Over 165.5,1.806,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Total – Game,Under 165.5,1.793,Zaragoza vs Baxi Manresa,2026-02-26 12:54:23
Money Line – Game,Zaragoza,1.061,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Money Line – Game,Baxi Manresa,5.55,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Handicap – Game,Zaragoza -12.5,1.833,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Handicap – Game,Baxi Manresa +12.5,1.833,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Total – Game,Over 165.5,1.84,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Total – Game,Under 165.5,1.826,Zaragoza vs Baxi Manresa,2026-02-26 16:11:04
Money Line – Game,UCAM Murcia,1.393,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Money Line – Game,Basquet Girona,2.61,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Handicap – Game,UCAM Murcia -4.5,1.769,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Handicap – Game,Basquet Girona +4.5,1.9,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Total – Game,Over 151.5,1.833,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Total – Game,Under 151.5,1.833,UCAM Murcia vs Basquet Girona,2026-02-27 18:06:45
Money Line – Game,Gran Canaria,4.08,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Money Line – Game,Barcelona,1.141,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Handicap – Game,Gran Canaria +9.5,1.833,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Handicap – Game,Barcelona -9.5,1.833,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Total – Game,Over 158.5,1.84,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Total – Game,Under 158.5,1.826,Gran Canaria vs Barcelona,2026-02-27 18:06:45
Money Line – Game,CB Canarias,1.049,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Money Line – Game,Baxi Manresa,5.94,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Handicap – Game,CB Canarias -13.5,1.833,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Handicap – Game,Baxi Manresa +13.5,1.833,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Total – Game,Over 160.5,1.84,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Total – Game,Under 160.5,1.826,CB Canarias vs Baxi Manresa,2026-03-13 19:52:06
Money Line – Game,Joventut,8.29,Joventut vs Barcelona,2026-03-24 17:10:29
Money Line – Game,Barcelona,1.013,Joventut vs Barcelona,2026-03-24 17:10:29
Handicap – Game,Joventut +20.5,1.84,Joventut vs Barcelona,2026-03-24 17:10:29
Handicap – Game,Barcelona -20.5,1.826,Joventut vs Barcelona,2026-03-24 17:10:29
Total – Game,Over 148.5,1.84,Joventut vs Barcelona,2026-03-24 17:10:29
Total – Game,Under 148.5,1.826,Joventut vs Barcelona,2026-03-24 17:10:29
Money Line – Game,Joventut,8.290,Joventut vs Barcelona,2026-03-24 18:18:46
Money Line – Game,Barcelona,1.013,Joventut vs Barcelona,2026-03-24 18:18:46
Handicap – Game,Joventut +20.5,1.840,Joventut vs Barcelona,2026-03-24 18:18:46
Handicap – Game,Barcelona -20.5,1.826,Joventut vs Barcelona,2026-03-24 18:18:46
Total – Game,Over 148.5,1.840,Joventut vs Barcelona,2026-03-24 18:18:46
Total – Game,Under 148.5,1.826,Joventut vs Barcelona,2026-03-24 18:18:46
