team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Lerida,UCAM Murcia,https://www.pinnacle.com/en/basketball/spain-liga-u/lerida-vs-ucam-murcia/1624047923/,3.12,1.265,6.5,1.833,-6.5,1.833,153.5,1.84,153.5,1.826,2026-02-13 19:20:22
Gran Canaria,Real Madrid,https://www.pinnacle.com/en/basketball/spain-liga-u/gran-canaria-vs-real-madrid/1624047918/,3.1,1.268,6.5,1.833,-6.5,1.833,158.5,1.84,158.5,1.826,2026-02-13 19:20:22
Lerida,UCAM Murcia,https://www.pinnacle.com/en/basketball/spain-liga-u/lerida-vs-ucam-murcia/1624047923/,3.12,1.265,6.5,1.833,-6.5,1.833,153.5,1.84,153.5,1.826,2026-02-13 19:28:13
Gran Canaria,Real Madrid,https://www.pinnacle.com/en/basketball/spain-liga-u/gran-canaria-vs-real-madrid/1624047918/,3.1,1.268,6.5,1.833,-6.5,1.833,158.5,1.84,158.5,1.826,2026-02-13 19:28:13
Zaragoza,Baxi Manresa,https://www.pinnacle.com/en/basketball/spain-liga-u/zaragoza-vs-baxi-manresa/1624918427/,1.049,5.09,-12.5,1.8,12.5,1.8,165.5,1.806,165.5,1.793,2026-02-26 12:01:03
Zaragoza,Baxi Manresa,https://www.pinnacle.com/en/basketball/spain-liga-u/zaragoza-vs-baxi-manresa/1624918427/,1.049,5.09,-12.5,1.8,12.5,1.8,165.5,1.806,165.5,1.793,2026-02-26 12:54:23
Zaragoza,Baxi Manresa,https://www.pinnacle.com/en/basketball/spain-liga-u/zaragoza-vs-baxi-manresa/1624918427/,1.061,5.55,-12.5,1.833,12.5,1.833,165.5,1.84,165.5,1.826,2026-02-26 16:11:04
UCAM Murcia,Basquet Girona,https://www.pinnacle.com/en/basketball/spain-liga-u/ucam-murcia-vs-basquet-girona/1624941709/,1.393,2.61,-4.5,1.769,4.5,1.9,151.5,1.833,151.5,1.833,2026-02-27 18:06:45
Gran Canaria,Barcelona,https://www.pinnacle.com/en/basketball/spain-liga-u/gran-canaria-vs-barcelona/1624941708/,4.08,1.141,9.5,1.833,-9.5,1.833,158.5,1.84,158.5,1.826,2026-02-27 18:06:45
CB Canarias,Baxi Manresa,https://www.pinnacle.com/en/basketball/spain-liga-u/cb-canarias-vs-baxi-manresa/1626011213/,1.049,5.94,-13.5,1.833,13.5,1.833,160.5,1.84,160.5,1.826,2026-03-13 19:52:06
Joventut,Barcelona,https://www.pinnacle.com/en/basketball/spain-liga-u/joventut-vs-barcelona/1626811873/,8.29,1.013,20.5,1.84,-20.5,1.826,148.5,1.84,148.5,1.826,2026-03-24 17:10:29
Joventut,Barcelona,https://www.pinnacle.com/en/basketball/spain-liga-u/joventut-vs-barcelona/1626811873/,8.29,1.013,20.5,1.84,-20.5,1.826,148.5,1.84,148.5,1.826,2026-03-24 18:18:46
UCAM Murcia,Bilbao Basket,https://www.pinnacle.com/en/basketball/spain-liga-u/ucam-murcia-vs-bilbao-basket/1627766926/,1.361,2.710,-5.5,1.819,+5.5,1.847,154.5,1.826,154.5,1.840,2026-04-06 15:12:59
