team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,3.18,1.297,7.0,1.833,-7.0,1.909,146.5,1.869,146.5,1.869,2025-11-06 17:36:33
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,3.18,1.297,7.0,1.833,-7.0,1.909,146.5,1.869,146.5,1.869,2025-11-06 17:53:40
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,3.18,1.297,7.0,1.833,-7.0,1.909,146.5,1.869,146.5,1.869,2025-11-06 18:03:15
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,3.18,1.297,7.0,1.833,-7.0,1.909,146.5,1.869,146.5,1.869,2025-11-06 18:43:19
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,2.99,1.336,6.0,1.869,-6.0,1.869,146.5,1.877,146.5,1.862,2025-11-06 18:53:05
Club Joventut Badalona,Casademont Zaragoza,https://www.pinnacle.com/en/basketball/spain-liga-women/club-joventut-badalona-vs-casademont-zaragoza/1618981495/,3.45,1.253,8.0,1.806,-8.0,1.943,146.5,1.869,146.5,1.869,2025-11-06 19:27:42
AE Sedis,Ferrol,https://www.pinnacle.com/en/basketball/spain-liga-women/ae-sedis-vs-ferrol/1618727580/,1.649,2.15,-3.0,1.925,3.0,1.819,142.5,1.909,142.5,1.826,2025-11-07 19:46:24
AE Sedis,Ferrol,https://www.pinnacle.com/en/basketball/spain-liga-women/ae-sedis-vs-ferrol/1618727580/,1.649,2.15,-3.0,1.925,3.0,1.819,142.5,1.909,142.5,1.826,2025-11-07 19:55:51
Cb Jairis,Spar Citylift Girona,https://www.pinnacle.com/en/basketball/spain-liga-women/cb-jairis-vs-spar-citylift-girona/1620293470/,3.69,1.221,8.0,1.934,-8.0,1.813,143.0,1.9,143.0,1.84,2025-12-03 19:09:42
Valencia Basket Club,Ferrol,https://www.pinnacle.com/en/basketball/spain-liga-women/valencia-basket-club-vs-ferrol/1627327218/,1.019,10.08,-21.0,1.84,21.0,1.9,146.5,1.854,146.5,1.884,2026-04-08 18:07:13
