Market,Selection,Odds,matchup,timestamp
Money Line – Game,Valencia BC,3.28,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Money Line – Game,Real Madrid,1.354,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Handicap – Game,Valencia BC +6.5,1.884,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Handicap – Game,Real Madrid -6.5,1.952,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Total – Game,Over 176.5,1.847,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Total – Game,Under 176.5,2.0,Valencia BC vs Real Madrid,2025-09-28 16:31:20
Total – Game,Over 176.5,1.847,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Handicap – Game,Real Madrid -6.5,1.952,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Total – Game,Under 176.5,2.0,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Money Line – Game,Real Madrid,1.354,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Money Line – Game,Valencia BC,3.28,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Handicap – Game,Valencia BC +6.5,1.884,Valencia BC vs Real Madrid,2025-09-28 16:38:28
Money Line – Game,Valencia BC,3.28,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Money Line – Game,Real Madrid,1.354,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Handicap – Game,Valencia BC +6.5,1.884,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Handicap – Game,Real Madrid -6.5,1.952,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Total – Game,Over 176.5,1.847,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Total – Game,Under 176.5,2.0,Valencia BC vs Real Madrid,2025-09-28 16:47:42
Total – Game,Over 176.5,1.847,Valencia BC vs Real Madrid,2025-09-28 16:58:53
Money Line – Game,Valencia BC,3.28,Valencia BC vs Real Madrid,2025-09-28 16:58:53
Money Line – Game,Real Madrid,1.354,Valencia BC vs Real Madrid,2025-09-28 16:58:53
Handicap – Game,Valencia BC +6.5,1.884,Valencia BC vs Real Madrid,2025-09-28 16:58:53
Handicap – Game,Real Madrid -6.5,1.952,Valencia BC vs Real Madrid,2025-09-28 16:58:53
Total – Game,Under 176.5,2.0,Valencia BC vs Real Madrid,2025-09-28 16:58:53
