Market,Selection,Odds,matchup,timestamp
Money Line – Game,Ciudad De Mostoles,6.63,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Money Line – Game,Fuenlabrada II,1.034,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Handicap – Game,Ciudad De Mostoles +17.5,1.847,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Handicap – Game,Fuenlabrada II -17.5,1.819,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Total – Game,Over 147.5,1.862,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Total – Game,Under 147.5,1.8,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:37:56
Total – Game,Under 147.5,1.8,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Handicap – Game,Fuenlabrada II -17.5,1.819,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Total – Game,Over 147.5,1.862,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Money Line – Game,Fuenlabrada II,1.034,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Money Line – Game,Ciudad De Mostoles,6.63,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Handicap – Game,Ciudad De Mostoles +17.5,1.847,Ciudad De Mostoles vs Fuenlabrada II,2025-10-26 18:45:21
Money Line – Game,Uros De Rivas,1.268,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Money Line – Game,Zentro Basket Madrid,3.1,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Handicap – Game,Uros De Rivas -6.5,1.826,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Handicap – Game,Zentro Basket Madrid +6.5,1.84,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Total – Game,Over 163,1.854,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Total – Game,Under 163,1.813,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 17:50:02
Total – Game,Over 163,1.854,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 18:46:07
Total – Game,Under 163,1.813,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 18:46:07
Handicap – Game,Zentro Basket Madrid +6.5,1.84,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 18:46:07
Money Line – Game,Zentro Basket Madrid,3.1,Uros De Rivas vs Zentro Basket Madrid,2025-10-30 18:46:07
