team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Ciudad De Mostoles,Fuenlabrada II,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ciudad-de-mostoles-vs-fuenlabrada-ii/1618323329/,6.63,1.034,17.5,1.847,-17.5,1.819,147.5,1.862,147.5,1.8,2025-10-26 18:37:56
Ciudad De Mostoles,Fuenlabrada II,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ciudad-de-mostoles-vs-fuenlabrada-ii/1618323329/,6.63,1.034,17.5,1.847,-17.5,1.819,147.5,1.862,147.5,1.8,2025-10-26 18:45:21
Ciudad De Mostoles,Fuenlabrada II,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ciudad-de-mostoles-vs-fuenlabrada-ii/1618323329/,6.63,1.034,17.5,1.847,-17.5,1.819,147.5,1.862,147.5,1.8,2025-10-26 18:58:31
Uros De Rivas,Zentro Basket Madrid,https://www.pinnacle.com/en/basketball/spain-tercera-feb/uros-de-rivas-vs-zentro-basket-madrid/1618531635/,1.268,3.1,-6.5,1.826,6.5,1.84,163.0,1.854,163.0,1.813,2025-10-30 17:08:32
Uros De Rivas,Zentro Basket Madrid,https://www.pinnacle.com/en/basketball/spain-tercera-feb/uros-de-rivas-vs-zentro-basket-madrid/1618531635/,1.268,3.1,-6.5,1.826,6.5,1.84,163.0,1.854,163.0,1.813,2025-10-30 17:50:02
Uros De Rivas,Zentro Basket Madrid,https://www.pinnacle.com/en/basketball/spain-tercera-feb/uros-de-rivas-vs-zentro-basket-madrid/1618531635/,1.268,3.1,-6.5,1.826,6.5,1.84,163.0,1.854,163.0,1.813,2025-10-30 18:06:49
Uros De Rivas,Zentro Basket Madrid,https://www.pinnacle.com/en/basketball/spain-tercera-feb/uros-de-rivas-vs-zentro-basket-madrid/1618531635/,1.268,3.1,-6.5,1.826,6.5,1.84,163.0,1.854,163.0,1.813,2025-10-30 18:16:52
Uros De Rivas,Zentro Basket Madrid,https://www.pinnacle.com/en/basketball/spain-tercera-feb/uros-de-rivas-vs-zentro-basket-madrid/1618531635/,1.268,3.1,-6.5,1.826,6.5,1.84,163.0,1.854,163.0,1.813,2025-10-30 18:46:07
NB Paterna,Basquet L'Horta Godella,https://www.pinnacle.com/en/basketball/spain-tercera-feb/nb-paterna-vs-basquet-lhorta-godella/1619121883/,1.757,1.917,-1.5,1.833,1.5,1.833,151.5,1.84,151.5,1.826,2025-11-06 17:36:39
NCS Alcobendas,Baloncesto Alcala,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ncs-alcobendas-vs-baloncesto-alcala/1619080607/,2.25,1.537,3.5,1.833,-3.5,1.833,139.5,1.84,139.5,1.826,2025-11-06 17:36:39
NB Paterna,Basquet L'Horta Godella,https://www.pinnacle.com/en/basketball/spain-tercera-feb/nb-paterna-vs-basquet-lhorta-godella/1619121883/,1.757,1.917,-1.5,1.833,1.5,1.833,151.5,1.84,151.5,1.826,2025-11-06 17:54:01
NCS Alcobendas,Baloncesto Alcala,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ncs-alcobendas-vs-baloncesto-alcala/1619080607/,2.25,1.537,3.5,1.833,-3.5,1.833,139.5,1.84,139.5,1.826,2025-11-06 17:54:01
NB Paterna,Basquet L'Horta Godella,https://www.pinnacle.com/en/basketball/spain-tercera-feb/nb-paterna-vs-basquet-lhorta-godella/1619121883/,1.757,1.917,-1.5,1.833,1.5,1.833,151.5,1.84,151.5,1.826,2025-11-06 18:03:34
NCS Alcobendas,Baloncesto Alcala,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ncs-alcobendas-vs-baloncesto-alcala/1619080607/,2.25,1.537,3.5,1.833,-3.5,1.833,139.5,1.84,139.5,1.826,2025-11-06 18:03:34
NCS Alcobendas,Baloncesto Alcala,https://www.pinnacle.com/en/basketball/spain-tercera-feb/ncs-alcobendas-vs-baloncesto-alcala/1619080607/,2.25,1.537,3.5,1.833,-3.5,1.833,139.5,1.84,139.5,1.826,2025-11-06 18:43:39
