Market,Selection,Odds,matchup,timestamp
Money Line – Game,Hogsbo Basket,1.97,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Total – Game,Under 172.5,1.884,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Total – Game,Over 172.5,1.854,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Handicap – Game,BC Lulea -2.5,1.877,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Handicap – Game,Nassjo Basket +2.5,1.862,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Money Line – Game,BC Lulea,1.671,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Money Line – Game,Nassjo Basket,2.11,Nassjo Basket vs BC Lulea,2025-09-21 23:09:46
Total – Game,Over 162.5,1.877,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Handicap – Game,Boras Basket -19.5,1.943,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Handicap – Game,Umea Basket +19.5,1.8,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Money Line – Game,Boras Basket,1.023,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Money Line – Game,Umea Basket,9.52,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Total – Game,Under 162.5,1.862,Umea Basket vs Boras Basket,2025-09-21 23:09:46
Total – Game,Over 152,1.847,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Total – Game,Under 152,1.892,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Handicap – Game,Hogsbo Basket +1.5,1.884,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Handicap – Game,Jamtland Basket -1.5,1.854,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Total – Game,Over 169.5,1.847,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Total – Game,Under 169.5,1.892,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Money Line – Game,Jamtland Basket,1.775,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:09:46
Money Line – Game,Sodertalje BBK,2.21,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Handicap – Game,Uppsala Basket -3.0,1.862,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Handicap – Game,Sodertalje BBK +3.0,1.877,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Money Line – Game,Uppsala Basket,1.613,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:09:46
Money Line – Game,Boras Basket,1.023,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Total – Game,Under 152,1.892,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Total – Game,Over 152,1.847,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Handicap – Game,Sodertalje BBK +3.0,1.877,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Handicap – Game,Uppsala Basket -3.0,1.862,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Money Line – Game,Sodertalje BBK,2.21,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Money Line – Game,Uppsala Basket,1.613,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:25:32
Total – Game,Over 162.5,1.877,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Handicap – Game,Boras Basket -19.5,1.943,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Handicap – Game,Umea Basket +19.5,1.8,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Money Line – Game,Umea Basket,9.52,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Total – Game,Under 162.5,1.862,Umea Basket vs Boras Basket,2025-09-21 23:25:32
Total – Game,Over 169.5,1.847,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Money Line – Game,BC Lulea,1.671,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Handicap – Game,Nassjo Basket +2.5,1.862,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Handicap – Game,BC Lulea -2.5,1.877,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Total – Game,Over 172.5,1.854,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Total – Game,Under 172.5,1.884,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Money Line – Game,Nassjo Basket,2.11,Nassjo Basket vs BC Lulea,2025-09-21 23:25:32
Money Line – Game,Hogsbo Basket,1.97,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Handicap – Game,Jamtland Basket -1.5,1.854,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Total – Game,Under 169.5,1.892,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Money Line – Game,Jamtland Basket,1.775,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Handicap – Game,Hogsbo Basket +1.5,1.884,Hogsbo Basket vs Jamtland Basket,2025-09-21 23:25:32
Money Line – Game,Umea Basket,9.52,Umea Basket vs Boras Basket,2025-09-21 23:30:25
Total – Game,Over 152,1.847,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:30:25
Handicap – Game,Sodertalje BBK +3.0,1.877,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:30:25
Handicap – Game,Uppsala Basket -3.0,1.862,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:30:25
Total – Game,Under 152,1.892,Uppsala Basket vs Sodertalje BBK,2025-09-21 23:30:25
