team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-21 23:09:46
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-21 23:09:46
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-21 23:09:46
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-21 23:09:46
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-21 23:25:32
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-21 23:25:32
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-21 23:25:32
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-21 23:25:32
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-21 23:30:25
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-21 23:30:25
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-21 23:30:25
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-21 23:30:25
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-21 23:44:12
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-21 23:44:12
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-21 23:44:12
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-21 23:44:12
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-21 23:48:55
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-21 23:48:55
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-21 23:48:55
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-21 23:48:55
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-22 02:03:45
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-22 02:03:45
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-22 02:03:45
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-22 02:03:45
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-22 02:07:45
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-22 02:07:45
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-22 02:07:45
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-22 02:07:45
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-22 03:17:24
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-22 03:17:24
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-22 03:17:24
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-22 03:17:24
Hogsbo Basket,Jamtland Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/hogsbo-basket-vs-jamtland-basket/1615847658/,1.97,1.775,1.5,1.884,-1.5,1.854,169.5,1.847,169.5,1.892,2025-09-22 03:21:52
Uppsala Basket,Sodertalje BBK,https://www.pinnacle.com/en/basketball/sweden-basketligan/uppsala-basket-vs-sodertalje-bbk/1615850322/,1.613,2.21,-3.0,1.862,3.0,1.877,152.0,1.847,152.0,1.892,2025-09-22 03:21:52
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-22 03:21:52
Nassjo Basket,BC Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan/nassjo-basket-vs-bc-lulea/1615856415/,2.11,1.671,2.5,1.862,-2.5,1.877,172.5,1.854,172.5,1.884,2025-09-22 03:21:52
Umea Basket,Boras Basket,https://www.pinnacle.com/en/basketball/sweden-basketligan/umea-basket-vs-boras-basket/1615850321/,9.52,1.023,19.5,1.8,-19.5,1.943,162.5,1.877,162.5,1.862,2025-09-22 03:51:37
