team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
RIG Lulea,Visby,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/rig-lulea-vs-visby/1619558902/,6.72,1.032,15.5,1.819,-15.5,1.847,144.5,1.813,144.5,1.854,2025-11-20 17:06:18
RIG Lulea,Visby,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/rig-lulea-vs-visby/1619558902/,6.79,1.031,15.5,1.862,-15.5,1.806,144.5,1.806,144.5,1.862,2025-11-20 17:48:31
Lulea BBK,RIG Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/lulea-bbk-vs-rig-lulea/1620936240/,,,-63.5,1.8,63.5,1.869,152.5,1.9,152.5,1.769,2025-12-09 17:16:08
Lulea BBK,RIG Lulea,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/lulea-bbk-vs-rig-lulea/1620936240/,,,-63.0,1.854,63.0,1.813,152.5,1.9,152.5,1.769,2025-12-09 17:40:08
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.129,3.83,-7.5,1.763,7.5,1.833,154.5,1.813,154.5,1.781,2026-02-24 02:34:35
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.129,3.83,-7.5,1.763,7.5,1.833,154.5,1.813,154.5,1.781,2026-02-24 05:55:00
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.129,3.83,-7.5,1.763,7.5,1.833,154.5,1.813,154.5,1.781,2026-02-24 06:45:41
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.129,3.83,-7.5,1.763,7.5,1.833,154.5,1.813,154.5,1.781,2026-02-24 07:57:18
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.129,3.83,-7.5,1.763,7.5,1.833,154.5,1.813,154.5,1.781,2026-02-24 09:18:53
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.132,3.79,-7.5,1.793,7.5,1.806,154.5,1.819,154.5,1.781,2026-02-24 11:12:12
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.132,3.79,-7.5,1.793,7.5,1.806,154.5,1.819,154.5,1.781,2026-02-24 12:13:14
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.151,3.96,-7.5,1.826,7.5,1.84,154.5,1.854,154.5,1.813,2026-02-24 14:11:35
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.174,3.74,-7.5,1.862,7.5,1.8,154.5,1.854,154.5,1.813,2026-02-24 16:27:56
IK Eos Lund,Malbas Malmo,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/ik-eos-lund-vs-malbas-malmo/1624367463/,1.174,3.74,-7.5,1.862,7.5,1.8,154.5,1.854,154.5,1.813,2026-02-24 17:32:01
Sodertalje,Norrkoping Dolphins,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/sodertalje-vs-norrkoping-dolphins/1627784972/,1.246,3.0,-6.0,1.826,6.0,1.775,154.0,1.869,154.0,1.74,2026-04-13 02:17:41
Sodertalje,Norrkoping Dolphins,https://www.pinnacle.com/en/basketball/sweden-basketligan-women/sodertalje-vs-norrkoping-dolphins/1627784972/,1.220,3.140,-7.0,1.781,+7.0,1.819,153,1.757,153,1.847,2026-04-13 14:11:29
