Market,Selection,Odds,matchup,timestamp
Money Line – Game,Fryshuset Basketbollklubb,1.884,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 164,2.09,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 164.5,1.662,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 164.5,2.04,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 165,1.699,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 165,1.98,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 165.5,1.746,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 165.5,1.934,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 166,1.793,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 166.5,1.847,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 164,1.628,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 166.5,1.819,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 167,1.769,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 167.5,1.952,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 167.5,1.724,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 168,2.01,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 168,1.68,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 168.5,2.06,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 168.5,1.645,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 169,2.12,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 169,1.609,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Over 167,1.9,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket +3.0,1.534,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Total – Game,Under 166,1.877,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket +2.5,1.578,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb -3.0,2.22,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb +3.5,1.568,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket -3.5,2.16,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb +3.0,1.613,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket -3.0,2.08,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb +2.5,1.666,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket -2.5,2.01,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb +2.0,1.724,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Eskilstuna Basket -2.0,1.934,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Handicap – Game,Fryshuset Basketbollklubb +1.5,1.787,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
Money Line – Game,Eskilstuna Basket,1.781,Fryshuset Basketbollklubb vs Eskilstuna Basket,2025-09-25 03:12:33
