team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 01:58:50
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 02:11:29
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 03:12:33
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 03:22:42
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 04:09:21
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 04:42:14
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 05:00:55
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 05:12:11
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 06:05:33
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 06:16:32
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 06:46:09
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 07:07:24
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 07:16:58
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 07:35:37
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 07:50:48
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 08:02:38
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.884,1.781,1.0,1.847,-1.0,1.819,166.5,1.847,166.5,1.819,2025-09-25 08:13:10
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.833,1.833,1.0,1.793,-1.0,1.869,166.5,1.847,166.5,1.819,2025-09-25 09:53:04
Fryshuset Basketbollklubb,Eskilstuna Basket,https://www.pinnacle.com/en/basketball/sweden-superettan/fryshuset-basketbollklubb-vs-eskilstuna-basket/1615821846/,1.735,1.943,-1.0,1.775,1.0,1.892,166.5,1.847,166.5,1.819,2025-09-25 10:07:51
