Market,Selection,Odds,matchup,timestamp
Handicap – Game,Starwings Basket +28.5,1.854,Starwings Basket vs Fribourg Olympic,2025-10-01 17:26:37
Handicap – Game,Fribourg Olympic -28.5,1.884,Starwings Basket vs Fribourg Olympic,2025-10-01 17:26:37
Total – Game,Over 170.5,1.869,Starwings Basket vs Fribourg Olympic,2025-10-01 17:26:37
Total – Game,Under 170.5,1.869,Starwings Basket vs Fribourg Olympic,2025-10-01 17:26:37
Money Line – Game,Geneva Lions,1.084,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Money Line – Game,BBC Lausanne,5.8,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Handicap – Game,Geneva Lions -13.0,1.884,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Handicap – Game,BBC Lausanne +13.0,1.854,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Total – Game,Over 168,1.847,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Total – Game,Under 168,1.892,Geneva Lions vs BBC Lausanne,2026-02-17 17:49:17
Money Line – Game,BBC Lausanne,1.401,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
Money Line – Game,Union Neuchatel Basket,2.740,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
Handicap – Game,BBC Lausanne -4.5,1.833,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
Handicap – Game,Union Neuchatel Basket +4.5,1.900,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
Total – Game,Over 166,1.800,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
Total – Game,Under 166,1.943,BBC Lausanne vs Union Neuchatel Basket,2026-04-28 17:24:12
