Market,Selection,Odds,matchup,timestamp
Money Line – Game,Fenerbahce,1.305,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Money Line – Game,Besiktas JK,3.14,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Handicap – Game,Fenerbahce -6.5,1.847,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Handicap – Game,Besiktas JK +6.5,1.892,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Total – Game,Over 163.5,1.909,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Total – Game,Under 163.5,1.833,Fenerbahce vs Besiktas JK,2025-09-24 16:07:37
Total – Game,Under 163.5,1.833,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Total – Game,Over 163.5,1.909,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Handicap – Game,Besiktas JK +6.5,1.877,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Handicap – Game,Fenerbahce -6.5,1.862,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Money Line – Game,Besiktas JK,3.11,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Money Line – Game,Fenerbahce,1.31,Fenerbahce vs Besiktas JK,2025-09-24 16:41:04
Money Line – Game,Fenerbahce,1.31,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
Money Line – Game,Besiktas JK,3.11,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
Handicap – Game,Fenerbahce -6.5,1.862,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
Handicap – Game,Besiktas JK +6.5,1.877,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
Total – Game,Over 163.5,1.909,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
Total – Game,Under 163.5,1.833,Fenerbahce vs Besiktas JK,2025-09-24 17:29:45
